first_output_step,last_output_step,output_node_count,output_nodes,output_energy,peak_output,traversed_edge_count,active_node_count,experience_no,similarity_to_initial,similarity_to_final
1,3,10,4 29 75 114 310 330 412 423 532 585,3.078603043710973,0.42152502112187057,201,117,0,0.9999999999999999,0.8805960431683237
1,3,11,9 29 75 114 310 330 412 423 425 532 585,2.9506362837272877,0.4196410867465365,195,125,1,0.9723892732514036,0.8758627901377665
1,3,10,4 29 75 114 310 330 412 423 532 585,3.2940097025631565,0.4247807414370444,196,119,2,0.9892485215330599,0.8978452903335211
1,3,11,4 21 29 75 114 310 330 412 423 532 585,3.410089678789565,0.42078703820579205,203,123,5,0.9881025944414075,0.9035890131843047
1,3,13,4 9 21 29 75 114 310 330 412 423 425 532 585,3.812981232032012,0.4213908050737197,203,125,10,0.9640559162036482,0.934158485425479
1,3,14,4 9 21 29 75 114 310 330 412 423 425 510 532 585,4.127478275651074,0.41302758198838246,203,126,20,0.9437841745821428,0.9524046958392063
1,4,14,4 9 21 29 75 114 310 330 412 423 425 510 532 585,4.482403603879533,0.42237208937595744,209,129,30,0.9253948479520472,0.9634531251980417
1,4,14,4 9 21 29 75 114 310 330 412 423 425 510 532 585,4.952623797500951,0.40888090016514406,194,119,50,0.8984358820688901,0.9871743523008606
1,4,14,4 9 21 29 75 114 310 330 412 423 425 510 532 585,5.074007347110416,0.41754682714998453,184,114,75,0.8956607642337684,0.9832236990837496
1,4,15,4 9 21 29 75 114 310 330 367 412 423 425 510 532 585,5.366867177044489,0.4075906505960648,188,114,100,0.8805960431683237,1.0
