experience_no,rank,source,target,usage,weight
1,1,554,75,1,0.6374453682349369
1,2,293,150,1,0.6319917593275948
1,3,150,293,1,0.6273853528228475
1,4,293,114,1,0.624975203372062
1,5,75,554,1,0.6185341172268279
1,6,75,265,1,0.5907249914936394
1,7,293,310,1,0.5869952177655337
1,8,585,330,1,0.5745407504224026
1,9,75,423,1,0.5635805140016632
1,10,285,458,1,0.5585173730279163
1,11,458,585,1,0.5469639434556333
1,12,265,29,1,0.5437610354819521
2,1,554,75,2,0.6489481089273953
2,2,293,114,2,0.6368868961933289
2,3,75,554,2,0.6306570418898466
2,4,293,310,2,0.6001524431147748
2,5,75,423,2,0.5775056115526717
2,6,532,459,1,0.6438304363702159
2,7,293,150,1,0.6317389626238638
2,8,150,293,1,0.6271343986817184
2,9,459,532,1,0.61529561043704
2,10,412,29,1,0.6034176941714257
2,11,29,412,1,0.5928331679928572
2,12,75,265,1,0.590488701497042
5,1,554,75,5,0.6771744846104752
5,2,293,114,5,0.666122028185378
5,3,75,554,5,0.6604132164147785
5,4,293,310,5,0.6324599122023183
5,5,29,412,4,0.6280154768143975
5,6,585,330,4,0.6111451096039661
5,7,75,423,4,0.6011311108789589
5,8,458,585,4,0.5860377294183537
5,9,82,458,3,0.5707343090731449
5,10,310,532,3,0.5658380923440031
5,11,75,4,3,0.5408310101330742
5,12,532,459,2,0.6546257088351434
10,1,554,75,10,0.7106813399640536
10,2,293,114,10,0.7008401256791057
10,3,75,554,10,0.6957569443675443
10,4,293,310,10,0.6708670514653212
10,5,585,330,9,0.6540739720586428
10,6,458,585,9,0.6318588341292668
10,7,82,458,8,0.6209972463522739
10,8,75,4,8,0.594724777207558
10,9,585,29,7,0.6280692417994754
10,10,29,412,6,0.6456895233386246
10,11,75,423,6,0.6202232821702401
10,12,585,21,6,0.578134072767109
20,1,554,75,20,0.7520680250116957
20,2,293,114,20,0.743759388911385
20,3,75,554,20,0.739467814464697
20,4,293,310,20,0.7184540394657545
20,5,585,330,19,0.706200751903581
20,6,75,4,18,0.658847588298139
20,7,585,29,17,0.6890206057327468
20,8,458,585,17,0.6782803312283169
20,9,82,458,16,0.6709001174416311
20,10,585,21,16,0.6507083680609769
20,11,388,402,14,0.7077122705293277
20,12,402,388,14,0.7046573620246295
30,1,554,75,30,0.7771612834839772
30,2,293,114,30,0.7698192677796899
30,3,75,554,30,0.7660269718356514
30,4,293,310,30,0.7474579234159197
30,5,75,4,28,0.6968943042955699
30,6,585,330,27,0.7317231183489527
30,7,585,29,27,0.724414714284601
30,8,585,21,25,0.688547285934533
30,9,388,402,24,0.7440610318687636
30,10,402,388,24,0.7414247823498168
30,11,310,532,24,0.6998380394360765
30,12,402,425,24,0.6685088829762235
50,1,554,75,50,0.8063714551052622
50,2,293,114,50,0.800233526667004
50,3,75,554,50,0.7970631655483793
50,4,293,310,50,0.781539432699332
50,5,75,4,48,0.7410744678069617
50,6,585,29,46,0.7630266695182943
50,7,388,402,44,0.7836650031643234
50,8,402,388,44,0.7815114773416104
50,9,310,532,44,0.7475396836613807
50,10,402,425,44,0.7219472095972945
50,11,114,293,43,0.7863700909190237
50,12,532,510,37,0.7170321253374797
75,1,554,75,75,0.8255189053532043
75,2,293,114,75,0.8202814865319179
75,3,293,310,75,0.8043300461431865
75,4,75,554,74,0.816650949361609
75,5,75,4,73,0.7707443931822423
75,6,388,402,69,0.8086469565017124
75,7,402,388,69,0.8068337487031112
75,8,585,29,69,0.7881118604466475
75,9,310,532,69,0.7782304598157465
75,10,402,425,69,0.7566823209129877
75,11,114,293,68,0.8113773719130465
75,12,532,510,62,0.7571067691394431
100,1,554,75,100,0.8359432645589246
100,2,293,114,100,0.831301600130667
100,3,293,310,100,0.817164630001236
100,4,75,4,98,0.7878766646994733
100,5,388,402,94,0.8222400405131697
100,6,402,388,94,0.8206446252463474
100,7,585,29,94,0.8041715070680847
100,8,310,532,94,0.7954770058441827
100,9,402,425,94,0.7765171106774005
100,10,114,293,93,0.8248627654921308
100,11,75,554,90,0.8219164461251166
100,12,532,510,87,0.7789959011644075
