source,target,before,after,delta
0,1,0.40766557038378576,0.40766557038380696,2.120525977034049e-14
0,2,0.43323146051996914,0.4332314605200203,5.1181281435219717e-14
0,3,0.4191456264852337,0.4191456264854117,1.7802426199864385e-13
0,4,0.4432368699190946,0.4432368699193597,2.650657471292561e-13
0,5,0.4426547211071634,0.44265472110772325,5.598299601672352e-13
0,6,0.4062149960820687,0.4062149960820869,1.8207657603852567e-14
0,7,0.4215444400814196,0.42154444008145253,3.291811268013589e-14
0,8,0.42301430758019287,0.4230143075808638,6.709077737809821e-13
1,0,0.39924125975355,0.39924125975355973,9.71445146547012e-15
1,2,0.44107939017386316,0.44107939017386855,5.384581669432009e-15
1,3,0.4350740659715235,0.43507406597153975,1.6264767310758543e-14
1,4,0.43706712837380796,0.43706712837384837,4.04121180963557e-14
1,6,0.42754248190779,0.4275424819077913,1.3322676295501878e-15
1,9,0.4131732339115316,0.4131732339116431,1.1152190282359697e-13
1,11,0.41080161474501065,0.4108016147450207,1.0047518372857667e-14
1,14,0.4360412492474989,0.43604124924750576,6.8833827526759706e-15
2,0,0.40407477889985316,0.40407477889989507,4.191091917959966e-14
2,1,0.4105903711387367,0.41059037113875,1.3322676295501878e-14
2,3,0.4077981593769499,0.4077981593770453,9.536815781530095e-14
2,4,0.42199322831714653,0.4219932283173017,1.5515366769136563e-13
2,5,0.42270987653682784,0.4227098765371192,2.9137803281287233e-13
2,7,0.4215033470917449,0.4215033470917656,2.070565940925917e-14
2,10,0.4092749817045262,0.40927498170467813,1.5193402091995267e-13
2,12,0.40613490542981284,0.4061349054301716,3.5876857040761934e-13
2,15,0.43034435368087093,0.43034435368089474,2.3814283878209608e-14
3,0,0.40121309836371144,0.40121309836397806,2.6662005936373134e-13
3,1,0.4108629606053646,0.41086296060542843,6.38378239159465e-14
3,2,0.41950927795237825,0.4195092779525483,1.7003065622134272e-13
3,5,0.3961097159244888,0.39610971592705285,2.564060075371799e-12
3,6,0.42836621406487757,0.42836621406493197,5.440092820663267e-14
3,8,0.42083815932805607,0.4208381593310948,3.0387359295502847e-12
3,11,0.43330788870239273,0.43330788870267223,2.7949864644938316e-13
3,13,0.41708057481869815,0.4170805748249992,6.301070776260076e-12
3,16,0.4018019348711576,0.40180193487456023,3.4026115258711798e-12
4,0,0.41679269633502153,0.41679269633511734,9.581224702515101e-14
4,1,0.4039779169970445,0.40397791699709895,5.445643935786393e-14
4,2,0.4274427207130693,0.42744272071315076,8.143485885625523e-14
4,6,0.4014950312569814,0.40149503125702796,4.657385588302532e-14
4,7,0.43289435524305686,0.4328943552431538,9.692247004977617e-14
4,9,0.406132525745487,0.4061325257475707,2.0836665726164938e-12
4,12,0.4048843295338634,0.4048843295356599,1.796507387297197e-12
4,17,0.4238067795230999,0.42380677954338236,2.028244239227206e-11
5,0,0.4195037588354776,0.41950375883675334,1.2757572775967674e-12
5,2,0.421704665901642,0.42170466590242234,7.803202528577913e-13
5,3,0.42471637098325343,0.4247163709868723,3.6188829710681603e-12
5,8,0.4302653006027669,0.43026530062023877,1.7471857294282245e-11
5,10,0.4236241236003062,0.4236241236059613,5.655087509381929e-12
5,13,0.4061670781373513,0.4061670781783795,4.10281808527202e-11
5,18,0.42666227752304714,0.4266622775612332,3.818606542083103e-11
5,26,0.4294814314790898,0.42948143162111674,1.420269457597101e-10
6,0,0.41860710796236833,0.4186071079623764,8.049116928532385e-15
6,1,0.41945956368264986,0.4194595636826511,1.2212453270876722e-15
6,3,0.41302061970133985,0.41302061970135345,1.3600232051658168e-14
6,4,0.4178262395484885,0.4178262395485232,3.469446951953614e-14
6,9,0.44799809755319836,0.44799809755329306,9.470202400052585e-14
6,11,0.41623304947820877,0.4162330494782177,8.93729534823251e-15
6,14,0.4322474260473867,0.432247426047392,5.329070518200751e-15
6,19,0.42480916859658946,0.42480916859658946,0.0
6,27,0.40767188198702875,0.407671881987034,5.2735593669694936e-15
7,0,0.4301111344960714,0.4301111344960817,1.0269562977782698e-14
7,2,0.40952615456808117,0.4095261545680881,6.938893903907228e-15
7,4,0.4214251105822736,0.4214251105823205,4.6906922790412864e-14
7,10,0.4203474784152346,0.4203474784152691,3.447242491461111e-14
7,12,0.40865443714278127,0.40865443714289135,1.1007861289158427e-13
7,15,0.41303417474994963,0.4130341747499564,6.772360450213455e-15
7,20,0.4202657261763159,0.4202657261765153,1.9939605522267811e-13
7,28,0.4282879909243368,0.42828799092435343,1.6653345369377348e-14
8,0,0.42321609391754555,0.4232160939190318,1.486255563065697e-12
8,3,0.39043004924685093,0.390430049251041,4.190092717237803e-12
8,5,0.42711571094550826,0.4271157109625701,1.7061851931288174e-11
8,11,0.4098372762839346,0.4098372762854698,1.5351608873004352e-12
8,13,0.4336079793941978,0.43360797944102397,4.6826154065371384e-11
8,16,0.4154939509027476,0.4154939509247555,2.2007895505993247e-11
8,21,0.4234305508377254,0.4234305510082379,1.7051249301403004e-10
8,29,0.43986739551542825,0.4398673956003114,8.488315605958974e-11
9,1,0.4351565195557171,0.4351565195558698,1.5271117703719028e-13
9,4,0.3991718431458491,0.3991718431479965,2.1473933742299778e-12
9,6,0.42032460249165093,0.420324602491781,1.300626273348371e-13
9,12,0.40353980097139075,0.40353980097640574,5.014988424534295e-12
9,14,0.44539745935501146,0.44539745935545266,4.412026299860372e-13
9,17,0.4350191636227149,0.4350191636788839,5.616895837334823e-11
9,22,0.42149336159421674,0.42149336160728235,1.3065604154149923e-11
9,30,0.409785214394116,0.4097852144894045,9.528849931328409e-11
10,2,0.4262998161819549,0.4262998161822147,2.5979218776228663e-13
10,5,0.42003861530127357,0.42003861530498016,3.706590590013548e-12
10,7,0.42537421285358606,0.4253742128537367,1.5065726444163374e-13
10,13,0.4221764739884337,0.42217647399710756,8.67383942448896e-12
10,15,0.4174368885353816,0.4174368885355687,1.8712809080057013e-13
10,18,0.41454241796712626,0.41454241797634034,9.214073948271562e-12
10,23,0.43099882601747397,0.430998826018753,1.2790324355194116e-12
10,31,0.4113944852658434,0.41139448527506245,9.219069951882375e-12
11,1,0.44075452136916715,0.44075452136919063,2.348121697082206e-14
11,3,0.41115451262617664,0.41115451262635627,1.7963408538435033e-13
11,6,0.4371709415932337,0.43717094159325365,1.992850329202156e-14
11,8,0.43420181339432373,0.4342018133949862,6.624700787938309e-13
11,14,0.41517690645913713,0.41517690645917943,4.2299497238218464e-14
