repetition,delay,a_strength,c_strength,steps,changed_edges
1,3,0.9633366471497837,1.1068462723900157,8,827
2,4,0.9687693989397062,1.0288658011540646,9,823
3,3,1.0600443915425797,0.9502587248535406,8,820
4,3,1.062572888201776,0.9190311435837484,8,815
5,3,0.9308597283789354,1.1091654078466306,8,824
6,1,0.915999368063909,1.0404032675481294,6,814
7,5,0.9808522023991926,1.1142551025199117,10,830
8,5,0.8906575129390311,0.9438635189432762,10,803
9,3,1.189790354344496,0.9087981397523232,8,824
10,3,0.8848350627875681,1.0969436470556861,8,815
11,2,0.9822519260757594,1.1196935201654161,7,831
12,1,1.003894220659323,0.8262669233365894,6,802
13,5,0.9086524568953706,0.9256186466025494,10,804
14,1,1.0526690466043485,1.0718827606180363,6,829
15,2,0.8719358775052846,0.9301076182902763,7,799
16,4,1.0608164626139043,1.0055691478028892,9,825
17,3,0.9657257831015404,0.9736894206953993,8,820
18,1,1.007730464729745,0.9314890245942543,6,816
19,5,1.014271363143583,1.0814570729620292,10,830
20,4,1.0141137630055461,1.0808472890505556,9,829
21,4,1.011900885831381,1.0785251516871823,9,827
22,5,0.832112481481843,0.8954965492204434,10,788
23,5,0.9872590993888832,0.9047456802399447,10,811
24,5,0.8713918724401399,0.9391818192313716,10,801
25,2,1.0204512731716198,0.9787130204766802,7,825
26,4,0.9402731719436568,1.0121729343520274,9,821
27,1,1.0072435091806322,1.0370549601930716,6,825
28,5,0.981685943441317,0.9618281728608365,10,821
29,1,1.0619839207791422,1.0434150203922723,6,828
30,2,0.8875408450455908,1.0541430597000099,7,812
31,2,0.8431193481586228,0.9184073370497903,7,796
32,3,0.979106864511243,1.0394615650388133,8,826
33,1,0.9485897956875273,0.8816387137381959,6,805
34,5,1.0771828609503455,0.9674192678678417,10,825
35,5,1.0162308178837878,1.0240239872992163,10,827
36,3,0.9577063432071364,1.0146962543985991,8,822
37,1,1.000911141212272,1.176296852332782,6,839
38,3,0.9099900525717759,0.9253188388520776,8,806
39,3,0.9691421684746472,1.0152524686135618,8,824
40,5,1.0564161792385072,0.9570342603815738,10,823
41,4,1.1264984349911513,1.0257933928221634,9,833
42,2,1.1041698338660029,0.996163921656324,7,829
43,3,0.842125100953866,0.8658374331505316,8,788
44,4,1.0207613817797978,0.8853169569505885,9,810
45,5,1.0452951595595505,0.9983010439292533,10,825
46,4,1.066149017194793,1.026813395845956,9,828
47,1,1.0668540796157575,1.0440722842364443,6,830
48,2,1.0993779031084898,1.1717549257881068,7,845
49,5,0.9816380938569361,0.8677188200102564,10,807
50,3,1.1353826399668236,0.9483638159321809,8,829
51,5,1.0539147566707672,0.9319985505088388,10,820
52,5,1.052231599428648,1.0813228448645642,10,832
53,2,1.0847464791163826,1.1595266045595007,7,838
54,3,0.9944261230865963,1.2609223070718498,8,847
55,3,1.0775971692197832,1.1315883972690095,8,836
56,2,1.0734482319883438,0.9775364427102108,7,827
57,2,1.045436727546913,1.0997914772924064,7,833
58,4,0.9646255070488388,0.9080117196471688,9,812
59,4,1.0122819358311135,1.0246554348827588,9,827
60,2,1.0576114566270458,1.0074210418525116,7,828
61,1,1.0542823576733096,1.0509340008872057,6,830
62,4,0.9882726984083094,0.9431462567376256,9,821
63,3,1.0640528762613282,0.9907254754771818,8,826
64,4,0.9868878144057612,0.9112035022932923,9,816
65,2,1.0418161341358738,0.962137739387637,7,824
66,5,0.9451767716863915,1.1507076124676658,10,831
67,2,0.8571304497331523,0.9228871768902487,7,800
68,1,1.0165356133752064,0.9242237584574293,6,820
69,3,0.9412758510236507,1.114524655033837,8,828
70,4,1.0182224761206358,0.982236072992021,9,825
71,4,0.9985820344922396,0.9604218945058711,9,822
72,5,0.8448555357583138,1.1598535203255982,10,820
73,2,0.9804830536081464,1.0854417803006455,7,830
74,2,1.019807400700299,1.0292996305650857,7,828
75,1,0.9037123419378189,1.0725639521973058,6,819
76,2,0.9357765516506376,1.0516490799430407,7,824
77,4,1.1644924670662835,0.9405177732031823,9,834
78,3,1.0337239247747254,1.0374181087225003,8,829
79,1,0.9824234534598861,0.9901672201064751,6,823
80,2,0.9713528230282572,1.0662293350090128,7,829
81,4,0.9306938554262639,0.977734622687406,9,820
82,4,0.8858512331951447,1.010964894277489,9,813
83,2,0.9453197192347013,1.1158407395504608,7,829
84,4,1.135793907445662,0.9419619020563299,9,831
85,5,1.0405372390973557,0.9695907438030977,10,825
86,2,1.0467794510049477,0.9305559326007985,7,823
87,2,1.0074284523485058,0.9897852081806733,7,825
88,4,0.9655249250971748,1.0573444841793922,9,827
89,1,1.058453568980855,1.0465994614092462,6,830
90,4,1.0060055257899498,1.0043043968530483,9,827
91,2,1.0451029153574627,1.0921786360004573,7,833
92,4,1.0399544120950968,1.154995756271678,9,842
93,1,0.8788126747915916,1.037606079666225,6,814
94,1,1.0276212206791335,1.0080901509619247,6,827
95,1,0.9683196666206203,1.0933067342014606,6,831
96,1,1.0741925082791708,0.9841412669046193,6,827
97,1,1.143976323479659,1.0173437185566534,6,837
98,5,0.853074276628123,0.952061376019465,10,805
99,2,1.1035943100750993,1.0113779224774249,7,833
100,1,1.0710709721615996,1.0054399893623458,6,829
