brain,seed,baseline_winner,trained_winner,trained_correct,lesioned_winner,lesioned_correct,C_integral,B_integral,D_integral,changed_edges,conductivity_std
1,2701,D,D,0,D,0,0.0,4.785522231006924e-08,7.62093347991173e-07,1133,0.013202164815239515
2,2702,D,D,0,D,0,0.0,4.684533703655715e-08,7.438228209315197e-07,1133,0.01276704325155927
3,2703,D,D,0,D,0,0.0,4.4911297226116355e-08,7.044859905866845e-07,1135,0.01348443051907578
4,2704,D,D,0,D,0,0.0,4.8927987372613505e-08,7.596902438161145e-07,1130,0.013040485660635882
5,2705,D,D,0,D,0,0.0,4.682508958133606e-08,7.206956951101166e-07,1131,0.01317771756572562
6,2706,D,D,0,D,0,0.0,4.5744719540101675e-08,7.628760063167963e-07,1134,0.012969017212939131
7,2707,D,D,0,D,0,0.0,4.5703245039720595e-08,7.886355739452226e-07,1132,0.013375701000144019
8,2708,D,D,0,D,0,0.0,4.779236728876253e-08,7.099356605661973e-07,1133,0.013392796342716937
9,2709,D,D,0,D,0,0.0,4.418806220450445e-08,7.474129788501292e-07,1130,0.01316343087772533
10,2710,D,D,0,D,0,0.0,4.804366664494897e-08,7.215508033620577e-07,1132,0.013309960505512837
