repetition,delay,a_strength,c_strength,steps,local_edges,reflection_edges,reflection_change
1,2,1.0207468046723434,0.9689208513763297,7,823,1972,0.02439672081913713
2,5,0.9456388384316399,1.008995039937018,10,819,1972,0.024231484743219345
3,1,1.1180328733543416,0.9657394669753253,6,827,1972,0.023198937985143553
4,5,0.8825720352535366,0.8839071267090527,10,795,1972,0.02516603174221982
5,1,0.9627679065166421,1.0004965572264235,6,821,1972,0.024170014207601676
6,4,0.9164011381646099,0.8995761409953991,9,800,1972,0.024973553450091
7,2,0.8295932662348819,0.9685484918908116,7,802,1972,0.023038240492468443
8,1,1.0480465431673462,1.0728182231272407,6,828,1972,0.024310681813246693
9,5,1.0309153911435445,1.0239563223659656,10,826,1972,0.025154990570766034
10,3,1.1145558302730953,0.9613512483487677,8,827,1972,0.02318712118337568
