brain,checkpoint,mode,winner,c_integral,c_peak,c_first_step,c_selectivity,c_ratio,c_change_from_baseline,terrain_total_change,terrain_changed_edges,ac_path_cost,ac_path_mean,ac_path_edges,ac_path_cost_change,ac_path_mean_change
1,0,control,D,0.0,0.0,-1,-3.5941845435433794e-07,0.0,0.0,0.0,0,21.45912602563089,0.4200383773510138,9,0.0,0.0
1,0,multiscale,D,0.0,0.0,-1,-3.5941845435433794e-07,0.0,0.0,0.0,0,21.45912602563089,0.4200383773510138,9,0.0,0.0
1,100,control,D,0.0,0.0,-1,-3.6503736965079556e-07,0.0,0.0,1.224975376420554,1127,21.41784778514424,0.4207914639171241,9,-0.041278240486651185,0.0007530865661102837
1,100,multiscale,D,0.0,0.0,-1,-3.6641480466209523e-07,0.0,0.0,6.048013141511414,1972,21.260450829082476,0.42397519828010544,9,-0.1986751965484146,0.0039368209290916445
1,200,control,D,0.0,0.0,-1,-3.707039364673404e-07,0.0,0.0,2.480597860569543,1187,21.37711465816021,0.421557443097827,9,-0.08201136747068105,0.0015190657468132085
1,200,multiscale,D,0.0,0.0,-1,-3.734058520050505e-07,0.0,0.0,12.205408662811962,1972,21.065518709774924,0.42795997254584894,9,-0.39360731585596653,0.007921595194835152
1,300,control,D,0.0,0.0,-1,-3.7670698661499427e-07,0.0,0.0,3.836116927454632,1223,21.334886875733748,0.4223764245785411,9,-0.12423914989714291,0.0023380472275272846
1,300,multiscale,D,0.0,0.0,-1,-3.8069745550737453e-07,0.0,0.0,18.4636445372506,1972,20.87393071909338,0.4320006536099233,9,-0.5851953065375106,0.011962276258909499
1,400,control,D,0.0,0.0,-1,-3.826362148997232e-07,0.0,0.0,5.191450837391979,1254,21.29410167246135,0.42319234620173,9,-0.16502435316954234,0.0031539688507162267
1,400,multiscale,D,0.0,0.0,-1,-3.8790853744307957e-07,0.0,0.0,24.884727100479097,1972,20.678182266422905,0.4371483156603868,9,-0.780943759207986,0.01710993830937302
1,500,control,D,0.0,0.0,-1,-3.886774047807046e-07,0.0,0.0,6.578015577910787,1274,21.249152915278252,0.4252178956238864,9,-0.20997311035263877,0.0051795182728726075
1,500,multiscale,D,0.0,0.0,-1,-3.9519518171090314e-07,0.0,0.0,31.548717077215606,1972,20.454177772887398,0.44257334233121814,9,-1.0049482527434925,0.022534964980204353
