repetition,steps,local_edges,reflection_edges,reflection_change,intervals,corridor_mass
1,8,834,1972,0.025039353687089594,1,20.80481280852807
2,9,830,1972,0.06891500908898907,3,256.3688389389944
3,9,830,1972,0.06932007920971306,3,257.55505848225494
4,9,811,1972,0.06743316390318604,3,252.02411759440784
5,8,831,1972,0.0256019278826477,1,19.868123188623727
6,6,828,1972,0.056294082408943735,1,42.2485282278454
7,8,792,1972,0.025457899551580065,1,20.001960120483044
8,10,815,1972,0.06658987728174615,3,251.37619899302223
9,8,796,1972,0.025305601861787874,1,20.179466794232056
10,9,812,1972,0.06927736737788515,3,257.4322296669452
11,8,829,1972,0.025316214908065682,1,20.16215703040799
12,9,830,1972,0.06985081377151398,3,259.11038572235407
13,10,808,1972,0.06794964238821766,3,255.3248501437882
14,7,833,1972,0.039237877212963124,1,30.984333899692412
15,10,807,1972,0.06627682472471219,3,250.47724416700552
16,6,833,1972,0.054012228288786324,1,40.50337614667865
17,9,788,1972,0.06877029263377066,3,255.95051156524963
18,8,835,1972,0.02524381147599364,1,20.25439949754805
19,7,803,1972,0.03925347693730419,1,31.7985941924421
20,6,820,1972,0.05749816014123982,1,44.61081566521636
21,8,826,1972,0.02525192444333446,1,20.240769326925637
22,8,826,1972,0.025399924312424493,1,20.04885751497178
23,8,801,1972,0.025218533054330472,1,20.29042124926924
24,9,808,1972,0.06693931235595119,3,250.5786551125209
25,8,824,1972,0.025324160288372644,1,20.136412674590243
26,7,828,1972,0.03925465554142826,1,30.777898644842644
27,8,830,1972,0.025277918697975577,1,20.196478831285695
28,6,830,1972,0.05590425617906286,1,41.94689419219532
29,7,822,1972,0.03941522996978725,1,30.211337308611846
30,9,817,1972,0.06902047987071397,3,256.68597843311755
31,8,823,1972,0.02523009998853898,1,20.26324244704425
32,10,828,1972,0.06723312836504702,3,253.27101383201068
33,9,829,1972,0.06899675871087013,3,256.61784697277807
34,9,843,1972,0.0671130424435466,3,251.09307620891747
35,9,832,1972,0.06795383110988407,3,253.56251815358496
36,10,825,1972,0.06852284099756062,3,257.01561079802224
37,6,821,1972,0.05681719098247073,1,43.018917363741096
38,9,824,1972,0.0690997125589684,3,256.92139842004883
39,9,814,1972,0.06955868920639358,3,258.26471809291445
40,7,815,1972,0.03903248971157408,1,29.5391446176383
41,10,818,1972,0.0676911912700941,3,254.61165116258314
42,10,827,1972,0.06787501673065732,3,255.14575909308053
43,7,830,1972,0.039342255154315,1,30.358970403864916
44,6,810,1972,0.0581434710691765,1,45.86620959417999
45,9,814,1972,0.0694439555156891,3,257.9313321176545
46,6,813,1972,0.05631583682596153,1,42.251257528778744
47,10,823,1972,0.06715979354883578,3,253.07874407252552
48,8,821,1972,0.0250722667398407,1,20.556412003241057
49,7,814,1972,0.03848379987598777,1,29.063199162520384
50,7,837,1972,0.03927324494343559,1,29.74857018404566
51,9,816,1972,0.06835296172276423,3,254.73913772123638
52,9,818,1972,0.06891385682966156,3,256.3826190301122
53,10,859,1972,0.06730559387049023,3,253.5087281512929
54,8,836,1972,0.025109833790459446,1,20.45094150519717
55,6,839,1972,0.053866298450676864,1,40.37771407402251
56,9,834,1972,0.06785729569635002,3,253.28814001255097
57,9,832,1972,0.07069142837015208,3,261.5816537527176
58,6,824,1972,0.05090535258477302,1,38.02965821474912
59,10,823,1972,0.06674805849507087,3,251.89527558617962
60,7,836,1972,0.039496508193844926,1,29.960636802560117
61,8,825,1972,0.02504893487684534,1,20.59393570696192
62,9,810,1972,0.07040941501862447,3,260.7603746069444
63,10,832,1972,0.06826656584935409,3,256.30034173692826
64,7,827,1972,0.03883434559221782,1,29.372023925765056
65,10,826,1972,0.0681073057090526,3,255.83883417298443
66,8,803,1972,0.02497203411022625,1,20.994605002718952
67,7,814,1972,0.038226192739973186,1,28.841725644966928
68,9,832,1972,0.0675868082641003,3,252.49996960741126
69,7,821,1972,0.03927142335743061,1,30.49520971954912
70,8,840,1972,0.025175124644481184,1,20.30032963909864
71,8,826,1972,0.025107545076610838,1,20.428497939902662
72,8,825,1972,0.02498134810607,1,21.333047349441976
73,10,828,1972,0.06851754987582032,3,257.0278218255846
74,7,823,1972,0.03944485406600157,1,29.901130063299153
75,10,806,1972,0.0669512576889163,3,252.48536550889042
76,7,826,1972,0.03929780651386172,1,29.774683962160232
77,6,824,1972,0.056527039245396205,1,42.398322959961334
78,10,826,1972,0.06770307792581637,3,254.6665665199395
79,8,828,1972,0.025119859450846216,1,20.396232522413612
80,7,839,1972,0.039181851431064396,1,30.91094265945541
81,10,823,1972,0.0676806688373226,3,254.60156579767215
82,8,844,1972,0.025565630492896174,1,19.837696768467584
83,9,835,1972,0.06831151406314212,3,254.6308034135437
84,7,840,1972,0.039048501652536705,1,29.56062285708867
85,9,825,1972,0.06871551676061932,3,255.81529628220397
86,7,829,1972,0.039216441383557066,1,30.65613068337581
87,7,812,1972,0.03851179134554544,1,29.094480566963732
88,6,831,1972,0.057712736979767476,1,45.20836341271807
89,9,832,1972,0.06893899974500434,3,256.47105802391866
90,7,824,1972,0.03866906702661416,1,29.231910678220494
91,8,835,1972,0.025097422860409557,1,20.43077780460151
92,8,832,1972,0.0253460750019196,1,20.04779935405132
93,8,824,1972,0.02510071009257525,1,20.421495364622995
94,9,832,1972,0.06890921152852941,3,256.38565543323625
95,9,829,1972,0.07079651076282789,3,261.90262816884405
96,9,825,1972,0.06797552141980756,3,253.65132933945182
97,9,839,1972,0.0687606311803724,3,255.95273382337916
98,6,844,1972,0.05523252830920872,1,41.4132463965892
99,7,826,1972,0.039025231021786344,1,29.542886461601945
100,6,822,1972,0.05760730300876349,1,45.040551962824345
101,8,830,1972,0.025201840464919967,1,20.230646689167422
102,9,830,1972,0.06855479959692962,3,255.3519190681227
103,7,827,1972,0.03939008562139951,1,30.083576486319867
104,6,840,1972,0.052488409348154574,1,39.281936323722434
105,6,823,1972,0.056908707005058345,1,43.55799884139813
106,9,831,1972,0.06844939861439275,3,255.04493235804688
107,6,812,1972,0.058509944073805,1,46.58928840339092
108,10,838,1972,0.06799699305005441,3,255.52289852482144
109,7,826,1972,0.03926692105871915,1,30.3915567690987
110,9,831,1972,0.0702916506670982,3,260.4353357880692
111,9,834,1972,0.0678944528831868,3,253.42063963848793
112,6,825,1972,0.05711932886529936,1,44.07367331345604
113,8,833,1972,0.025413991756811305,1,19.962231194125167
114,6,816,1972,0.05666595134938507,1,42.9101638861293
115,6,834,1972,0.056914022209952675,1,43.59769810831176
116,9,837,1972,0.06919031172654766,3,257.2187101151102
117,9,810,1972,0.06962528830992054,3,258.49140052919853
118,8,819,1972,0.025423363385728592,1,19.950984880241
119,8,819,1972,0.026052443139570336,1,19.494003193177072
120,10,830,1972,0.06829173202508793,3,256.3798615017733
121,6,795,1972,0.05678932920002849,1,43.29371795165703
122,7,824,1972,0.03945696473864202,1,29.9243720128313
123,7,825,1972,0.03932029476157578,1,30.214159321977526
124,7,827,1972,0.039381934729404766,1,30.070353978063267
125,10,834,1972,0.06731917982778063,3,253.55978690500217
126,7,830,1972,0.039346045500189664,1,30.14681088658165
127,7,838,1972,0.0392331770739599,1,30.463781970575006
128,8,829,1972,0.02559972980346753,1,19.79203956174092
129,8,830,1972,0.025020348486069877,1,20.600903307421852
130,8,825,1972,0.02495019161232581,1,21.051057882259208
131,9,823,1972,0.06771047847006822,3,252.88829377740015
132,10,828,1972,0.06764561405374958,3,254.50696887675792
133,6,843,1972,0.054698251807258014,1,40.99357775617351
134,6,827,1972,0.05624286152177871,1,42.165440723663686
135,6,825,1972,0.056666351100927104,1,42.99013194096307
136,7,825,1972,0.0382088358894655,1,28.834246747827834
137,6,828,1972,0.05625600360090949,1,42.17427343901768
138,6,825,1972,0.056779639680058114,1,43.32171209351411
139,8,821,1972,0.025693681513814737,1,19.720371698962317
140,7,829,1972,0.03943582701180315,1,29.89984002483996
141,10,828,1972,0.06761709438710622,3,254.42550984199465
142,10,822,1972,0.0673909753357595,3,253.77000044475045
143,8,824,1972,0.0250889181449932,1,20.420320710145965
144,9,828,1972,0.06853078805292756,3,255.29881410218505
145,6,834,1972,0.05667864555498653,1,43.06071269348431
146,8,819,1972,0.025196465475852914,1,20.226145398983412
147,8,836,1972,0.025768483071620496,1,19.666195293005025
148,8,830,1972,0.025362554391901382,1,20.012124672722454
149,9,819,1972,0.06813375197945526,3,254.13735638308364
150,9,839,1972,0.06862831086693827,3,255.58711252822468
151,9,831,1972,0.06834725005679282,3,254.7644325336774
152,10,834,1972,0.06785956867858994,3,255.13121116869223
153,10,821,1972,0.0678584970206334,3,255.12844214330192
154,7,835,1972,0.03911369932537878,1,31.232998837471484
155,8,823,1972,0.0258734852830117,1,19.59452005420673
156,9,839,1972,0.06754401556379525,3,252.4112430053931
157,7,826,1972,0.03921908142980579,1,29.715154563332998
158,7,826,1972,0.03929074842405855,1,32.41773552909266
159,8,823,1972,0.025001080275466048,1,20.65156194412223
160,7,847,1972,0.03939390232737955,1,29.998772815628993
161,9,820,1972,0.06860965108070799,3,255.5369100497477
162,9,824,1972,0.06857829873929783,3,255.44569912595344
163,9,830,1972,0.06902974081024743,3,256.7679671733991
164,9,825,1972,0.06841737386935459,3,254.97562674189788
165,6,831,1972,0.056659945881929075,1,43.06577389079046
166,7,832,1972,0.038847987441023246,1,29.39456236963214
167,10,834,1972,0.06822051098932663,3,256.1806466839708
168,6,825,1972,0.05666718854910202,1,43.09649953119063
169,6,837,1972,0.05604151286926201,1,42.0030033697128
170,8,831,1972,0.025006860519177165,1,20.626356154661458
171,10,843,1972,0.06847509628299475,3,256.91958285618
172,9,840,1972,0.0691580833674863,3,257.14818288774245
173,10,821,1972,0.06729854581407319,3,253.5088419957195
174,6,822,1972,0.054800574329370855,1,41.059473091453434
175,7,822,1972,0.039244298659103116,1,30.338874830154037
176,7,830,1972,0.03939587707400838,1,29.97775723361407
177,6,855,1972,0.05698448226604741,1,43.92354775439886
178,6,824,1972,0.055090567755810727,1,41.279703855581396
179,8,823,1972,0.02498137832522107,1,20.72743260529508
180,8,837,1972,0.025219381811777075,1,20.185120156098968
181,7,810,1972,0.03903181498063962,1,29.55422217963065
182,10,825,1972,0.06711760185495552,3,252.98491384958197
183,8,824,1972,0.025046400642685096,1,20.509620897671013
184,8,835,1972,0.024956575390450986,1,20.877373945212067
185,9,828,1972,0.06824434045604466,3,254.47739574791902
186,7,827,1972,0.03938367547071875,1,29.995240975883426
187,8,818,1972,0.025109058891756242,1,20.369323008870296
188,8,830,1972,0.02511924056510756,1,20.349921299917774
189,6,830,1972,0.056479374643219615,1,42.56625098154414
190,7,840,1972,0.03926204582857318,1,30.27480418088681
191,9,838,1972,0.07023121239504443,3,260.2916435089935
192,6,836,1972,0.05607785338958876,1,42.0231232512487
193,9,849,1972,0.06879870400522076,3,256.1046811904057
194,6,830,1972,0.056543003932188196,1,42.7964451388668
195,8,817,1972,0.024991313002917626,1,21.528108741625157
196,8,832,1972,0.025291284133663106,1,20.091827961017287
197,8,822,1972,0.025110196039295596,1,20.368720562327788
198,8,830,1972,0.02542133492213844,1,19.948163017192364
199,7,819,1972,0.03926251781625628,1,30.26322396516462
200,9,844,1972,0.06827454995466997,3,254.57196045452918
201,7,831,1972,0.03935842611741286,1,29.83683225156239
202,9,840,1972,0.06809337318677772,3,254.04194870568676
203,10,840,1972,0.06692826236324356,3,252.43952588597003
204,6,835,1972,0.05729075138681211,1,44.62065232976343
205,9,823,1972,0.0676431574725847,3,252.7231494111604
206,9,826,1972,0.0688377423454285,3,256.2245638522104
207,8,839,1972,0.024949566533644385,1,20.949105024686745
208,9,855,1972,0.06784416573189367,3,253.31455907929455
209,8,817,1972,0.02513849907513488,1,20.314459419191955
210,7,828,1972,0.03925977648954587,1,30.259272751140774
211,6,824,1972,0.05522431793488475,1,41.371814965664775
212,6,829,1972,0.05612593584336273,1,42.053521896271235
213,8,828,1972,0.024959946842244896,1,20.860371760124202
214,6,826,1972,0.05657879202203775,1,42.951440988707034
215,9,849,1972,0.06888619021443021,3,256.3700810349643
216,9,840,1972,0.07024245898311454,3,260.3358297028883
217,7,841,1972,0.03885608918783989,1,29.40319640837602
218,10,849,1972,0.06800345140799419,3,255.56210812972984
219,7,848,1972,0.03934836540317216,1,30.041631936782398
220,10,809,1972,0.06917601958953945,3,258.9614503595153
221,9,826,1972,0.06901397071023502,3,256.7477615640046
222,7,839,1972,0.039383599380335366,1,29.967163423995295
223,6,845,1972,0.05646571164303005,1,42.62184435743356
224,6,848,1972,0.0553486616783333,1,41.46222517306325
225,6,832,1972,0.0563710699751781,1,42.2784715859233
226,8,828,1972,0.02534546789122205,1,20.03130610234969
227,6,830,1972,0.05614369426243554,1,42.06209371734904
228,7,839,1972,0.039415942364744716,1,29.90661596033737
229,7,845,1972,0.03832402396908746,1,28.939297410812866
230,7,827,1972,0.03918818515435185,1,30.462556226808044
231,6,826,1972,0.05702543495093593,1,44.11337487273441
232,10,856,1972,0.06749264134292221,3,254.0843227330364
233,10,845,1972,0.06854151332170738,3,257.1259353263353
234,10,840,1972,0.06900006092108951,3,258.4555299772291
235,9,816,1972,0.07058610712419927,3,261.34927626955704
236,10,838,1972,0.06679864398839847,3,252.07332952614317
237,7,832,1972,0.03910220234706935,1,29.61697217457433
238,7,831,1972,0.039121664924360866,1,30.748830086415342
239,8,844,1972,0.02533744023293788,1,20.04225163066449
240,7,828,1972,0.0392484846056973,1,29.743182114270507
241,10,838,1972,0.06702108518070188,3,252.71950065290102
242,10,827,1972,0.06668605080840023,3,251.7478696180479
243,6,823,1972,0.05657308248818027,1,43.01372883054622
244,6,805,1972,0.0534101685754767,1,39.96405017384181
245,6,825,1972,0.05652166146414461,1,42.86304008021358
246,8,826,1972,0.02498976759142274,1,20.712830709532057
247,10,849,1972,0.06792755649729365,3,255.35005687404654
248,8,826,1972,0.025180267633491682,1,20.256145171715858
249,6,836,1972,0.05587931564709314,1,41.85633077952602
250,6,836,1972,0.05575761200533774,1,41.76416090452169
251,10,834,1972,0.06680219704008783,3,252.08720292898943
252,9,802,1972,0.06932996546856018,3,257.6870411335448
253,8,838,1972,0.025011043194643368,1,20.63471470244864
254,8,834,1972,0.025088086294756395,1,20.428801495995828
255,10,844,1972,0.06797827892360592,3,255.4994227377046
256,10,837,1972,0.06778327915703852,3,254.93453830477023
257,10,835,1972,0.06596704918320662,3,249.6654306041724
258,10,834,1972,0.06765457066291969,3,254.56224474456138
259,7,828,1972,0.03924347995062405,1,30.266349048759405
260,6,840,1972,0.056665944028179704,1,43.30067816335959
261,6,840,1972,0.056535817732489946,1,42.93555376576079
262,7,852,1972,0.038011823448112436,1,28.66556118318129
263,8,834,1972,0.024989858550814148,1,20.722648290732607
264,7,850,1972,0.03933932743045104,1,29.821284940565317
265,8,828,1972,0.025131679883214852,1,20.346368624553435
266,10,832,1972,0.06705137089400015,3,252.81458510353622
267,7,826,1972,0.03933804048090972,1,29.820147943635472
268,8,794,1972,0.02512834983044482,1,20.354406969934008
269,8,828,1972,0.02534625251926448,1,20.043713082151967
270,8,847,1972,0.025042458588851457,1,20.549196030753002
271,9,853,1972,0.06876666917372248,3,256.04795962586024
272,6,840,1972,0.05353088409336587,1,40.04994521940026
273,8,852,1972,0.02512310306386173,1,20.36587299026107
274,6,841,1972,0.05414212445729094,1,40.52320335287129
275,9,852,1972,0.06843521502491146,3,255.0797899093046
276,10,851,1972,0.0672681237290832,3,253.44626697177563
277,6,824,1972,0.0564170622562406,1,42.59628659366933
278,8,833,1972,0.02500252446941792,1,20.682261051940394
279,9,832,1972,0.06908991384422197,3,256.9983502511024
280,8,824,1972,0.02528920742354762,1,20.113875387564264
281,8,844,1972,0.024962586247989638,1,21.29851492685322
282,7,839,1972,0.03928423804753001,1,30.152509120606144
283,6,834,1972,0.05624103953340315,1,42.11853287552296
284,7,845,1972,0.03890351926735963,1,29.444277469704822
