step,total_activity,active_count,active_fraction,pattern_concentration,center_x,center_y,center_z,mean_excitation,mean_inhibition,mean_fatigue
1,3.2567070957394937,17,0.07083333333333333,0.09033255646774639,-0.3136447661454293,0.8711558351291024,-0.2252363121438563,0.01459571841137286,0.003550530571249461,0.00032475952641916454
2,6.063192460994032,25,0.10416666666666667,0.056529099035064374,-0.3055727733694054,0.8525109009646334,-0.22010447330811633,0.029333893273321646,0.0066256894311412335,0.000902916154228403
3,9.746986518024126,33,0.1375,0.04112710008365533,-0.30040987066955366,0.8304797461117769,-0.21201753689116024,0.04917834810749622,0.012288516819583015,0.0019494731252419433
4,14.02118599727277,42,0.175,0.031752859259250664,-0.2942386931783639,0.8076232783796214,-0.19933364596240916,0.07417508281158648,0.019671614781757833,0.003582085784847273
5,18.608459599232024,52,0.21666666666666667,0.02497952974032621,-0.2836090427162469,0.7799421209553861,-0.18668912449128955,0.10180855380929552,0.028172109989859202,0.00585284958085119
6,23.203338237186962,61,0.25416666666666665,0.02030087974111784,-0.27123070540445754,0.7492923338183498,-0.1715375701349555,0.13133564219035648,0.03721927382839238,0.008756650797622077
7,27.809706064739125,73,0.30416666666666664,0.016843839504387066,-0.2530484336481932,0.7148761065847943,-0.15485249680203447,0.1613504180554714,0.04622060633777413,0.012231611637332421
8,32.27294139224563,81,0.3375,0.014340051021788123,-0.232658092421247,0.6777978355340997,-0.13814341188999657,0.19199995155438723,0.05519338456298096,0.016222770360737767
9,36.573436813491405,95,0.3958333333333333,0.01248838176711786,-0.2100951404138308,0.6378320105793024,-0.11978124763712829,0.22205704782926047,0.0638560352328306,0.020651669835710047
10,40.51393791030461,102,0.425,0.011119738215581158,-0.18706518398211663,0.5957861275315488,-0.10368906952156388,0.25104860164884396,0.07216127094812223,0.02544402225466868
11,44.02449886204506,113,0.4708333333333333,0.010068909211571019,-0.1659013073325777,0.551666222743066,-0.08605790032289859,0.27784828590382227,0.07971935238233116,0.030495983387383928
12,46.95524321316116,121,0.5041666666666667,0.009274031439755241,-0.1462512925214788,0.5064570878678287,-0.0707511630885166,0.3020978601432889,0.0864053324751575,0.03570097858527898
13,49.37529559960065,132,0.55,0.0086374010936562,-0.12832791574738023,0.45966396275941807,-0.05610224421074926,0.32300888201355427,0.09195330992498026,0.04093498882921879
14,51.1159090714788,138,0.575,0.0081743003637389,-0.11286989642583503,0.41278443678266313,-0.04428175772400052,0.34084356136541877,0.09651195605036861,0.04609935787122204
15,52.341133804075056,150,0.625,0.007802994084975755,-0.09872569690931607,0.363872228791446,-0.03483624830490134,0.35464570433274195,0.09975516771085614,0.05107365503500212
16,52.91448067124973,153,0.6375,0.0075541444307587885,-0.0867437253668986,0.31293161016780646,-0.029067744758218775,0.3651411642174894,0.10199398180456046,0.05578025211976597
17,53.053926782375875,159,0.6625,0.007391582690643408,-0.07654340914497809,0.25892667761896443,-0.025700145395381655,0.37142471256466714,0.10295338654311079,0.060123692033648694
18,53.16118164378459,162,0.675,0.007217283962560422,-0.06760040045522231,0.20432264492016136,-0.02600978664550189,0.37415711791618206,0.10306726222574183,0.06405893410197931
19,53.12652334357671,161,0.6708333333333333,0.007075540838616207,-0.06076748374609923,0.1477184197778632,-0.02815732026756469,0.3763059059192372,0.10316578946270848,0.06762076224999099
20,53.15560109946742,167,0.6958333333333333,0.0069407699165838325,-0.053729027729858214,0.08960726661138904,-0.03156318908876292,0.37767469543808463,0.10302145400638439,0.07081990915191252
21,52.97856692192328,165,0.6875,0.006882998888859846,-0.045956954398459156,0.030575915376844506,-0.03503467190052106,0.379119245228823,0.10305333353067188,0.07370459344287142
22,52.564234482875996,167,0.6958333333333333,0.006894211669665988,-0.03639752881422273,-0.030261088875640392,-0.03663480758564287,0.37898063437037266,0.1027183008567367,0.0762676153964449
23,52.02018148850761,169,0.7041666666666667,0.006916138315188166,-0.02389115892528062,-0.09033712180132585,-0.03818704334807383,0.37664597398419125,0.10195938730973025,0.07849664782233964
24,51.13868897511038,164,0.6833333333333333,0.006999447948849616,-0.009780429513012891,-0.14846959383968228,-0.03635114205351511,0.37312877818995344,0.10096899219690353,0.08040076706920087
25,50.00920614481585,164,0.6833333333333333,0.007123804918769785,0.006096396244152354,-0.2063419159888337,-0.03338527359469385,0.3673282519601905,0.09934193037860561,0.08194919454511398
26,48.675225835817486,161,0.6708333333333333,0.0072883074774131576,0.022820711878539443,-0.26230951360142196,-0.027858755345785576,0.3595314025849638,0.09725150225679925,0.08313100124275555
27,47.13728336810029,157,0.6541666666666667,0.007501873648989986,0.03896379682251618,-0.31538051776073056,-0.021065391044898674,0.35003121869827847,0.09476636958146457,0.08394450596269577
28,45.50209946086437,152,0.6333333333333333,0.00773301139160818,0.05546274049805885,-0.36508384377579306,-0.013558977293774099,0.33899382656448224,0.09186973776454405,0.08438829599794499
29,43.86862635122907,146,0.6083333333333333,0.007960285449236368,0.0722865980287944,-0.410176111209548,-0.006410270300921905,0.32720972210907673,0.08879423618865259,0.08448111004706259
30,42.133062942618835,140,0.5833333333333334,0.008239716987698048,0.08689398032007127,-0.45028035880649275,0.0008505239310212852,0.3154761553609507,0.08571445721151022,0.08425836648321178
31,40.41774633144115,137,0.5708333333333333,0.008522269605409786,0.101740806167098,-0.48422674944558414,0.006142535408732047,0.3032840253796206,0.08242604140964402,0.08373247913663162
32,38.77945772599262,133,0.5541666666666667,0.008765562643577408,0.11448836882857616,-0.5128124140307055,0.012022548201266183,0.2914330285608758,0.07916099956637983,0.08293755866011368
33,37.05129228700953,125,0.5208333333333334,0.009068369638978656,0.12671767388948238,-0.538824419174876,0.01547390357423515,0.28048623402133976,0.07603277279897487,0.08191495111772594
34,35.52443123736109,119,0.49583333333333335,0.009319244531807604,0.13755739116012466,-0.5576050668713307,0.02000597500920516,0.2692466603072938,0.07271807416518031,0.08067057330976762
35,33.91833729658979,116,0.48333333333333334,0.009632450412883613,0.14480926557250537,-0.5732896785594328,0.020384160761272467,0.2592158041036233,0.06977919420636,0.07926434683579607
36,32.2361319533639,111,0.4625,0.010015876313890337,0.14952871160926978,-0.5861626237633095,0.014809096466598672,0.2492700315247433,0.0666696391653121,0.07769760039532705
37,30.58156546363863,105,0.4375,0.010412269406426856,0.14941590481234507,-0.5964216991028826,0.003316022123599873,0.23900925787380742,0.06339631362995253,0.07597211509705008
38,29.165025902403265,107,0.44583333333333336,0.010683348232484218,0.1463405109952978,-0.6008771067784436,-0.01035580216827466,0.22899824758501733,0.060163514792152206,0.07410894711177732
39,27.83817648560801,106,0.44166666666666665,0.010953041266760671,0.13885058338403392,-0.6031424512969857,-0.031288643711168754,0.22060940543957358,0.057385155645364554,0.07216649475730019
