brain,checkpoint,mode,mean_lifetime,mean_final_total_activity,mean_active_cluster_size,mean_active_fraction,mean_pattern_concentration,trial_to_trial_similarity,experience_pattern_similarity,mean_direction,mean_capacity
1,0,checkpoint_0000_control,120.0,30.26441068156754,116.2,0.4841666666666667,0.010359005604719787,1.0,0.0,1.0,0.42
1,0,checkpoint_0000_trained,120.0,30.26441068156754,116.2,0.4841666666666667,0.010359005604719787,1.0,0.0,1.0,0.42
1,100,checkpoint_0100_control,120.0,30.26441068156754,116.2,0.4841666666666667,0.010359005604719787,1.0,0.0,1.0,0.42
1,100,checkpoint_0100_trained,120.0,48.00322538148491,172.0,0.7166666666666667,0.006595472450326522,1.0,0.6400650869697352,1.2203544868881149,0.4508740890352472
1,200,checkpoint_0200_control,120.0,30.26441068156754,116.2,0.4841666666666667,0.010359005604719787,1.0,0.0,1.0,0.42
1,200,checkpoint_0200_trained,120.0,43.53300832502277,169.4,0.7058333333333333,0.006593353407860938,1.0,0.6182026675570637,1.4738200893890785,0.45443221665089023
1,300,checkpoint_0300_control,120.0,30.26441068156754,116.2,0.4841666666666667,0.010359005604719787,1.0,0.0,1.0,0.42
1,300,checkpoint_0300_trained,120.0,42.33663667499752,170.0,0.7083333333333334,0.006520964799527707,1.0,0.6765265770794787,1.6257518793086883,0.45674094314302366
1,400,checkpoint_0400_control,120.0,30.26441068156754,116.2,0.4841666666666667,0.010359005604719787,1.0,0.0,1.0,0.42
1,400,checkpoint_0400_trained,120.0,31.76538861100604,125.6,0.5233333333333333,0.00872173786980313,0.9999999999999998,0.46600763144679525,1.7003049164684876,0.458238527789646
1,500,checkpoint_0500_control,120.0,30.26441068156754,116.2,0.4841666666666667,0.010359005604719787,1.0,0.0,1.0,0.42
1,500,checkpoint_0500_trained,120.0,59.841386143487725,188.8,0.7866666666666667,0.006065713789270239,1.0,0.8931306911115607,1.749880779366896,0.4592014410071384
