step,total_activity,active_count,active_fraction,pattern_concentration,center_x,center_y,center_z,mean_excitation,mean_inhibition,mean_fatigue
1,2.7435452926178296,15,0.0625,0.11246017321675315,0.11181435576463697,0.258161882286203,0.9189886055302949,0.012353822526476701,0.00334430316476345,0.00032475952641916454
2,4.613045416267523,20,0.08333333333333333,0.07108812050201556,0.11486150217297371,0.24725475071919492,0.9036603609999663,0.02240775746238511,0.00529359378381775,0.0008066983161430911
3,7.017738546389486,30,0.125,0.05124269048806876,0.1146533268152573,0.2379758457373821,0.884924326392751,0.03538134403164183,0.008903277815402792,0.0015909745000789427
4,9.902120493184375,36,0.15,0.03941676715449473,0.11490469746758769,0.22954789522731922,0.864819079656842,0.05206602979555169,0.013558940509113418,0.0027477030275190766
5,13.236999405169179,46,0.19166666666666668,0.03087325887658957,0.11350420668430423,0.22196741019381955,0.8395121033133407,0.07138332640536695,0.019154405732562867,0.004329580317239239
6,16.88928047914352,53,0.22083333333333333,0.02476831286929924,0.11015466301574006,0.21401080593660873,0.8103287698655557,0.09359314290421679,0.025637104008208327,0.006378559673984537
7,20.761436276892688,60,0.25,0.020422689956085822,0.10830004946480046,0.20524195904429257,0.7777754187513725,0.11812224144358992,0.0327506764713189,0.008907443796425493
8,24.879278520388947,75,0.3125,0.017110211318168655,0.10435888910597442,0.19535571878611702,0.7404181927974044,0.1442364271718562,0.04030353205011585,0.011909468718700323
9,29.105422875174117,83,0.3458333333333333,0.014628945556777483,0.10136225284773849,0.18474065853953087,0.699484920816302,0.1721084788975021,0.04835158305546312,0.01538338656940322
10,33.30793640055993,90,0.375,0.012787250652029162,0.09935895903699266,0.17426322652163367,0.6558374292616276,0.20082177499102372,0.05663555744153433,0.019302314701558042
11,37.34720093892609,102,0.425,0.011398361020786613,0.09746485880826639,0.16697585579955374,0.6090644602416011,0.22920638737422971,0.06490163328291242,0.02361732130650723
12,41.06144525579245,111,0.4625,0.010325572330936509,0.09705692960798838,0.1606876942028089,0.5604020454450664,0.2563668860664821,0.07287740561930324,0.028258189351905147
13,44.245355259741544,120,0.5,0.00951495367955613,0.09637355869862689,0.15861696439165604,0.5108979550226622,0.28141240425817593,0.08024405121352333,0.03313139140217572
14,46.80905649676801,128,0.5333333333333333,0.008896167856025946,0.09579851277023665,0.1602361360742071,0.46067326204284026,0.30327433536691806,0.08659491875871925,0.03811425637315969
15,48.7041852423221,136,0.5666666666666667,0.008428470340185406,0.09350887740957133,0.16318946246290847,0.4110848969911378,0.32143182982997776,0.09173644382228124,0.04307952882898772
16,49.93349932450148,144,0.6,0.008085127469513051,0.08957845196141898,0.1655958161220219,0.362215828452509,0.3355872984047022,0.0955690629746744,0.04790361067902434
17,50.53372325194583,146,0.6083333333333333,0.007844090268977812,0.08532940776909781,0.16777262192758163,0.3129853873397702,0.34567193068782287,0.09808284192283516,0.05247578073446593
18,50.62269429640872,150,0.625,0.007673371563249149,0.07992144881085696,0.16946399367043005,0.26753444811422383,0.35169793721044873,0.09934207123447189,0.05670327577075918
19,50.24775133917864,151,0.6291666666666667,0.007558479291720415,0.07292453118780846,0.1709982069347497,0.2226155667094298,0.3543912786654294,0.09957586809294611,0.0605247033742599
20,49.72567296852895,156,0.65,0.007424113431901576,0.06600564154647252,0.1717449494325563,0.17907904682886985,0.35427303899908463,0.09887466952797326,0.06389368641292992
21,49.016590830457915,157,0.6541666666666667,0.007309921964639091,0.05845140693020539,0.17169465708771398,0.13669780316890176,0.3530620964986111,0.09787118896137444,0.0668278814532361
22,48.12567830975745,161,0.6708333333333333,0.007247429044840523,0.04901755426771679,0.17188980401648335,0.09322967930561747,0.3507054623334373,0.09649223611739502,0.06933570408862334
