step,total_activity,active_count,active_fraction,pattern_concentration,center_x,center_y,center_z,mean_excitation,mean_inhibition,mean_fatigue
1,2.5501055804103863,15,0.0625,0.11694188423554636,0.10513674546546062,0.27218142845572896,0.9158335494442958,0.011535549632198177,0.00334430316476345,0.00032475952641916454
2,4.112147551528603,17,0.07083333333333333,0.07221437134132559,0.10371296711989435,0.27384524454213655,0.8983904691696397,0.020093686356330784,0.004924833951379686,0.0007704283701041955
3,6.109905066685535,28,0.11666666666666667,0.05305795205704352,0.1018293453947466,0.27437032090805463,0.8792546084291157,0.0308624237290872,0.007945635992195043,0.001464413199005389
4,8.489620188079869,31,0.12916666666666668,0.041864083145713715,0.09850518697467936,0.276045554866177,0.8600319606080085,0.04452465172451927,0.01181678869195351,0.002463579079108388
5,11.106939892495872,40,0.16666666666666666,0.03424402244355373,0.09618069493927225,0.27630883443066245,0.8395001253594416,0.06000230014603389,0.016437831834305843,0.003809024956462524
6,13.814664817169442,46,0.19166666666666668,0.028555850054249314,0.09288357222300593,0.27357054493797806,0.8177279126504408,0.07665200324606518,0.02152878033457905,0.005510673690659248
7,16.48227663440995,51,0.2125,0.024251280749469157,0.08824824558082507,0.26830364546432206,0.7947626797173253,0.09396056371263788,0.026806753531257024,0.007549855974812594
8,19.094083508444875,62,0.25833333333333336,0.020854331250112428,0.08389752267093196,0.26035555185078724,0.7700667411696337,0.11141822791938678,0.032018669162673374,0.0098852972462832
9,21.670284262255144,67,0.2791666666666667,0.01812464252657462,0.08000091430356171,0.2497760979069812,0.7432474919298134,0.12901510045668313,0.03712595131362165,0.012476908179488292
10,24.218915637449854,75,0.3125,0.015946987752114478,0.07596242534986812,0.23610448328935543,0.7146566984008164,0.1468694627525393,0.04216442169659111,0.015292395660712305
11,26.762405909067866,84,0.35,0.014184388247501074,0.07251319313525069,0.2209466855944414,0.6837273910862367,0.16492923393125386,0.04715494274791561,0.018304202776662924
12,29.307173274623903,91,0.37916666666666665,0.012747360199106229,0.06945027498042199,0.20410372294354542,0.6506274511769186,0.18320296609127276,0.052145684088110024,0.02149173360694685
13,31.801418454573287,100,0.4166666666666667,0.011607730397847805,0.06622468918789731,0.1869100838752698,0.6157880478416021,0.20162663953703575,0.05715668261302289,0.024837655235244154
14,34.20179712081061,107,0.44583333333333336,0.010704883611717725,0.06307592752545076,0.17096871548604184,0.5787212063769382,0.2197478369285845,0.06208976579808965,0.02831665567195223
15,36.43043200636893,116,0.48333333333333334,0.009991292794038476,0.06055093451284806,0.1565892437048073,0.5399213742674528,0.23722256485223345,0.06686176764360037,0.03189782706490899
16,38.42906400666529,123,0.5125,0.009423123461016397,0.05763298663384325,0.1450007262971,0.4988136063867826,0.2535932605045271,0.0713121496624932,0.03553875035961227
17,40.17598243299541,131,0.5458333333333333,0.00896266852691914,0.05413331773605436,0.13389671730788183,0.4552857839698113,0.2685267295964427,0.07532395828589232,0.039190324824900785
18,41.61393361745358,136,0.5666666666666667,0.008620082102038303,0.04987703162093183,0.12252637310689696,0.40971068647261755,0.28185213238734214,0.07884864480704969,0.042804289048597344
19,42.81930992841849,141,0.5875,0.008363517380919193,0.04526598843150074,0.11075970426575159,0.3632026761323734,0.2930036968920849,0.08176147882200163,0.04632647269701016
20,43.808478952077095,139,0.5791666666666667,0.008165217826711712,0.04072203486649154,0.09855309268479773,0.3190498076583442,0.3021985439713804,0.08420403973897962,0.04972244603888762
21,44.637317961388575,148,0.6166666666666667,0.00797182957117576,0.036512727334940855,0.08611389144934903,0.27417253813475934,0.3098046006430749,0.08620558184770673,0.0529642912385133
22,45.22465137399277,150,0.625,0.0078062856999406086,0.03159358669515255,0.07228125160613762,0.22766769450144236,0.31656801549051916,0.08788476081988532,0.05603735923242233
23,45.6680822114004,150,0.625,0.007656972826430667,0.02675482238867241,0.05908295311273455,0.18173529191574786,0.3220033441583489,0.08908150218442154,0.05891324544180374
24,46.03485561616204,153,0.6375,0.007514050226465917,0.022064719371940742,0.045801867983925666,0.13591884213006436,0.3263392885823971,0.08998753878805858,0.06158468631226095
25,46.297104759630514,158,0.6583333333333333,0.0073925286079540835,0.01802827980938334,0.03244629720638348,0.08825380991336061,0.33012903531380516,0.09073705593381844,0.06405775310906524
26,46.476911985904266,160,0.6666666666666666,0.007294300761836331,0.013477051904975536,0.017371847751186352,0.04080478700713164,0.3331946087425168,0.09128196260798867,0.06633268494058943
