step,total_activity,active_count,active_fraction,pattern_concentration,center_x,center_y,center_z,mean_excitation,mean_inhibition,mean_fatigue
1,3.1020565606065214,16,0.06666666666666667,0.09624667358540856,-0.3284044794020367,0.8595961800876429,-0.26006376285474225,0.013941528330438123,0.003550530571249461,0.00032475952641916454
2,5.465611004283772,22,0.09166666666666666,0.06291170151521164,-0.32772880858093273,0.8342872608744573,-0.28038394940619704,0.026386182172605407,0.006308226487555714,0.0008739191788909707
3,8.23355717147243,29,0.12083333333333333,0.04826643489618847,-0.3259604790561409,0.8105957753601133,-0.2946532034537765,0.041488650011042405,0.011062741123748979,0.0018113293243050808
4,11.09264855398246,31,0.12916666666666668,0.03947091740577908,-0.3223794356365445,0.7907317286597726,-0.3014761706883399,0.05874136483923231,0.016590186997869513,0.0031739883615256536
5,13.869715419956162,42,0.175,0.032727708060604564,-0.3114782876842609,0.7715573883328768,-0.3026273247353873,0.07579383656786802,0.022256984523976456,0.004936461129244799
6,16.374119852316404,44,0.18333333333333332,0.027728601058455024,-0.2968627631499816,0.7549511581412769,-0.2963201790075862,0.09264769266715372,0.02771324442377856,0.007043386657562101
7,18.787189065547693,55,0.22916666666666666,0.023631503327473553,-0.2754114165206275,0.7385442353654735,-0.2838825510023367,0.10877005670150171,0.03260633857794982,0.009409195464115217
8,21.1281337379007,58,0.24166666666666667,0.02047955537105218,-0.24992094293782813,0.723057900272897,-0.2662855561044331,0.12522845606717786,0.03731194341165085,0.011990873867493887
9,23.475272502578648,65,0.2708333333333333,0.018060176760616588,-0.22314287318802067,0.7069981727390802,-0.24311264946193872,0.14197326481435552,0.04187799411043225,0.014753311556600878
10,25.913103113642634,75,0.3125,0.016059242279031223,-0.19308345396011115,0.689090113350243,-0.21556890074000928,0.15913677661983605,0.04646101506746769,0.01767959399517429
11,28.32308218016088,78,0.325,0.014508173691730901,-0.16402517213119872,0.6705400465601907,-0.18260423712201482,0.17714033199763388,0.05121789890527086,0.020770341429464857
12,30.863536505743962,91,0.37916666666666665,0.013138059908936161,-0.13275912347900876,0.6487551324336652,-0.14287513606913993,0.19509913226230652,0.05591230992193552,0.02400388519529854
13,33.38774493140291,97,0.4041666666666667,0.012009325761316192,-0.10185815209770609,0.624166518951143,-0.09971851005879821,0.21380989907006556,0.060847631819345556,0.02739040977059568
14,35.78844005686939,105,0.4375,0.011137697037781297,-0.07340295248090838,0.5968394117430204,-0.0529453571860505,0.2322339240491931,0.06572981858912227,0.030911570968174155
15,38.03488498024365,114,0.475,0.010409487114817234,-0.045952294605857584,0.565053806531395,-0.005123830655300692,0.24948212729845526,0.07034055220723147,0.03453074638201974
16,39.88313830788695,118,0.49166666666666664,0.009871071309008715,-0.02108332116178146,0.5311931651631456,0.04247733289725642,0.26537275031831115,0.07462232799280673,0.038209212677613465
17,41.256891501669074,124,0.5166666666666667,0.009486520959732974,0.0018314366081895348,0.4957069761752996,0.09031471919626495,0.27853252382791244,0.07811411085876263,0.04186637984258092
18,42.09393684473546,129,0.5375,0.00922073962271147,0.024078183118878826,0.45881803253749054,0.1373511301712619,0.2885014725579008,0.08068349563277616,0.04541540901488579
19,42.331281343245216,134,0.5583333333333333,0.009082897815909291,0.04623603399974351,0.420830960181037,0.18344353070499328,0.295025671039179,0.08221999243186871,0.0487664812717851
20,42.031287510653414,133,0.5541666666666667,0.009061160018710731,0.06906007835250051,0.38081284050011605,0.2300761663779342,0.29767307666521986,0.08260228394693064,0.05182694839646507
21,41.70297329657936,135,0.5625,0.008977775155647313,0.08833266321668651,0.34055212627488457,0.2690869901125962,0.2966464847028743,0.08194859674726637,0.05452511996506608
22,41.253005691538775,134,0.5583333333333333,0.008896039145148856,0.10560050362462989,0.30013516742645774,0.3027754637047232,0.2953663543198781,0.08125294844538855,0.0568919154616681
23,40.82861839179639,136,0.5666666666666667,0.008785599701118819,0.12126092661957383,0.25908539398627994,0.3319008662366792,0.29390111564241383,0.08031796983275487,0.05893766248266482
24,40.341874311429805,137,0.5708333333333333,0.008707946212765605,0.13663749066184291,0.21660745592292244,0.3585062352258058,0.2927391339494708,0.07943554308958158,0.060699262182860154
25,39.85214010278199,138,0.575,0.008657813903606015,0.15168291147702456,0.17203177962330063,0.3831524072724423,0.2912976588712385,0.07843503727289326,0.062193437397967226
26,39.3583741793139,139,0.5791666666666667,0.008641970179139388,0.16574621519298302,0.1271477032651492,0.4058337943371922,0.2895493544768304,0.07743263893338286,0.06344636992744213
27,38.83957721680174,135,0.5625,0.008663769534342539,0.17749589612429714,0.08250918797899884,0.4259207899813921,0.28743816221368756,0.07643500336956895,0.06448142809331928
28,38.20830996760695,134,0.5583333333333333,0.008756569849340045,0.18842964612278834,0.03952915040965441,0.44341508203538177,0.28476537599924256,0.07541485584815595,0.06531570601213768
29,37.45634346123389,134,0.5583333333333333,0.008907058563187915,0.19731949231949492,-2.0376353449888738e-06,0.456700093846792,0.28085891565703,0.07421790442147153,0.06594819352985022
30,36.53536485232151,132,0.55,0.009086400238538433,0.20428663338207154,-0.03358726689891798,0.46520386732829705,0.2756853916966866,0.07281644581351585,0.06637643857584655
31,35.359279723532175,130,0.5416666666666666,0.009299729504231512,0.2090211668222981,-0.05898489929051653,0.47024406903089444,0.269335166595944,0.07109840399613605,0.06658917562807216
32,34.04458733636901,127,0.5291666666666667,0.009480091394078842,0.2104753271729615,-0.07524150514777846,0.4719136144031357,0.2617415090159071,0.06887350374001074,0.06656012301342724
33,32.733121611776205,127,0.5291666666666667,0.009580304721319205,0.2092088127586342,-0.08249775962224144,0.4716394669896469,0.2537893573214593,0.06635751503231642,0.06628747083765371
34,31.5419526108495,127,0.5291666666666667,0.00960070642135031,0.2056212576247599,-0.0806002803945318,0.4691968383672051,0.24635387801792094,0.06383499061829963,0.06579618405609639
35,30.521127921671805,125,0.5208333333333334,0.009580545161377562,0.19870506310712946,-0.07086966412517513,0.4661756333522417,0.2400010617584039,0.0615363920584281,0.06513068176502101
36,29.770525946059177,125,0.5208333333333334,0.00950415306907246,0.18849194110003517,-0.054547798512446635,0.46167420270820714,0.2348275267063982,0.05956053011147696,0.06434032507383239
37,29.2982310083924,126,0.525,0.009396029087576353,0.17411140371074424,-0.03130137345758075,0.45597444272404175,0.2312771663952796,0.05810587957749694,0.06348826618133524
38,29.096589808621673,127,0.5291666666666667,0.009288936263171073,0.1565125280363435,-0.0018697263730145565,0.4487885578332916,0.2294336932815097,0.05718904558034522,0.0626328578772753
39,29.138196162463274,128,0.5333333333333333,0.009212817398848288,0.13674791061393282,0.03216024117764802,0.4398646577991368,0.22914730496929187,0.05679718687811566,0.061825182678664325
40,29.38644165806946,129,0.5375,0.009182348622072845,0.11554351007826433,0.06967660442829691,0.4281802814788537,0.23013979357944567,0.05687939597946293,0.06110607619125976
41,29.795749379256545,127,0.5291666666666667,0.009198146658586839,0.09359643980763949,0.10950591873205315,0.41426413393776607,0.23206553076504205,0.057365514910660914,0.060505426383021824
42,30.370685906472666,128,0.5333333333333333,0.009207663565967092,0.07277746612074373,0.1505537845292391,0.39909179198834716,0.2345800461661252,0.05817025088905282,0.06004158675333023
43,31.10520093618075,126,0.525,0.0091564324746364,0.05440453751563854,0.19116908003540217,0.38311684818702585,0.2378317836340391,0.05930497398391723,0.059731931685460836
44,31.86790436086988,128,0.5333333333333333,0.009082288617735138,0.03798394298597287,0.2326943778338937,0.36518889396715515,0.24218452753595582,0.06076239361631435,0.059590963692448644
45,32.68859716615407,128,0.5333333333333333,0.00897713168141749,0.025765132622764052,0.2754255982198687,0.3451907534596389,0.2470203316391485,0.062294739453936626,0.059607099390866884
46,33.600492119982626,131,0.5458333333333333,0.008844291692782143,0.0162346497639869,0.31951016760790546,0.3218123545492711,0.25238700530491354,0.0639601413565998,0.05977550142043408
47,34.545266589369014,132,0.55,0.008767121753346582,0.008079814944369951,0.3657336824395499,0.2931777786059408,0.2585539412582747,0.06582053671069125,0.060098043550887416
48,35.68920458682842,132,0.55,0.008687818285961733,0.002957826334116769,0.4067386708354383,0.2629244642236579,0.2646406423972425,0.06776079498214263,0.06056547668130537
49,36.814887907443506,129,0.5375,0.008686210841527363,0.0005944039010387601,0.4404725376408125,0.23017285087762634,0.27133290078278555,0.07009042714705573,0.06120065487320516
50,37.96585831109327,134,0.5583333333333333,0.008637293846765795,0.0029537554543519156,0.4579898773117628,0.19942850847653013,0.2775166573116703,0.07236942599275296,0.0619833808685303
51,39.04199785413244,139,0.5791666666666667,0.008494381258850584,0.009564987505760575,0.4587539002207838,0.1723407200650858,0.28403786725359537,0.07467540509490211,0.06290364121500726
52,39.7904414277373,138,0.575,0.008343369766867939,0.018157068171608413,0.44945693333049797,0.14861995948266235,0.290816452735173,0.07680565979317946,0.06393365169115636
53,40.20454760876346,141,0.5875,0.008220259819051515,0.028069325540693392,0.4324108128729022,0.12953927816791802,0.29602559439266335,0.0782481153672386,0.06500099428974147
54,40.29817114719112,145,0.6041666666666666,0.008139614757859943,0.0393885725639833,0.408209051803903,0.11488920587473954,0.299193022291392,0.0789877520385371,0.06603924753741049
55,40.03845738810695,147,0.6125,0.008134304517692852,0.05343511879957756,0.3784591238213303,0.1026069451356251,0.3003073519438882,0.07906905951418298,0.06699122987376777
56,39.38770676280102,151,0.6291666666666667,0.008240125039409539,0.07045557539088308,0.3433965524857405,0.09223300784062667,0.29901271376899496,0.07845312568800328,0.06779931764666104
57,38.24248526400659,145,0.6041666666666666,0.008545631934962565,0.08978579007079329,0.3049314036889275,0.08018730451213779,0.29471127038036293,0.07709102726671765,0.06840458090002013
58,37.13772531119731,143,0.5958333333333333,0.00887357455174424,0.10892777639127652,0.2601492268911479,0.0714451319947526,0.2860958129098406,0.07479479806661811,0.06873458879701937
59,36.108321752255875,133,0.5541666666666667,0.009227402533490019,0.12814999525233892,0.21562690450561925,0.06609964402714442,0.2761753359293762,0.07260951454184283,0.06882445341316692
60,35.25702290603077,128,0.5333333333333333,0.009538340295845483,0.14659022611501618,0.1733262632474794,0.06410679357028208,0.2664220318987304,0.07059632473675069,0.0687123184003982
61,34.34149163970909,121,0.5041666666666667,0.009851871237385882,0.16055228907755056,0.1350442820658418,0.05955253683400391,0.2580706662171607,0.06896400445854685,0.06845177835523915
62,33.33515309005647,120,0.5,0.010125376315192435,0.1680146720747055,0.10260814799656258,0.05401630943153135,0.24988321102000188,0.06722764798091574,0.06804563020216069
63,32.12940682867248,118,0.49166666666666664,0.010386826438617866,0.1738475325192806,0.07868419990431905,0.04400025111523818,0.2416863267801252,0.06532603205081264,0.06749140838633022
64,30.738174765604874,114,0.475,0.0106559669610527,0.17777083355054346,0.06270819802489597,0.031487390950606195,0.23300257165672342,0.06303365363836277,0.06676653132807327
65,29.238180211107345,112,0.4666666666666667,0.010942877897092532,0.17870446801702128,0.052955509790354335,0.01595808580002056,0.22365144629179767,0.06037294059332903,0.06585328596381686
66,27.751329931162186,106,0.44166666666666665,0.011221816846192983,0.1780549904836429,0.049093190338539074,-0.0033587720106482283,0.21386813429278687,0.05749720021379305,0.06475011615701781
67,26.485844742727085,109,0.45416666666666666,0.011352211872648267,0.17883633922820097,0.05122229487871018,-0.022228255403182257,0.2041793949526133,0.05464739895973992,0.06347847890340894
68,25.21690943949627,108,0.45,0.011527639674988422,0.17718760317651072,0.05825303862627024,-0.043221529731964484,0.19604719700442702,0.05222686372057604,0.06209672690232937
69,23.985344348919178,105,0.4375,0.011772021154824652,0.17268953762643569,0.07066073368555519,-0.06726754378677316,0.1882686051605014,0.04980005327361587,0.06061522473200199
70,22.94710425017145,100,0.4166666666666667,0.011948308976383167,0.16641268467426,0.08726959742442908,-0.08947166186766217,0.18050622603470348,0.047446615656458545,0.059050954324224136
71,22.089927171846924,99,0.4125,0.012054247494483368,0.15896016462323836,0.10868884057023921,-0.1111676111800391,0.17392266530122724,0.0454662926706805,0.057448440938708864
72,21.34837712263208,99,0.4125,0.012195781469499394,0.15018083016217884,0.1370644360978875,-0.13611776309814552,0.1687844443455108,0.04383824152134331,0.055845458189559286
73,20.927843526779625,98,0.4083333333333333,0.012172959912117953,0.13949151126328527,0.16751335787312013,-0.156490579184729,0.1645077155785109,0.042437593785713476,0.054263733081096874
74,20.83773685188948,100,0.4166666666666667,0.012000937524223189,0.13113559793140703,0.2017378826640352,-0.17371617911211049,0.1623382565585942,0.04165541586688888,0.05276133043425836
75,21.078806790819,104,0.43333333333333335,0.011782416918486676,0.12476447411739933,0.2407092313010423,-0.18911776064273023,0.16273880464876983,0.04151124064438071,0.05139227305056181
76,21.861618774700915,105,0.4375,0.011408490577077497,0.12424964172767376,0.2771644635247945,-0.19637410359782762,0.16551829907902402,0.042006980601427685,0.050205322018784186
77,23.208082301828693,109,0.45416666666666666,0.010970240077877471,0.12862226953852451,0.3090108422470506,-0.19490724118944283,0.1718489155002321,0.04354278973698586,0.049283843337162195
