step,total_activity,active_count,active_fraction,pattern_concentration,center_x,center_y,center_z,mean_fatigue
1,2.8758336104752336,15,0.0625,0.10760578291088269,0.1105538684332856,0.25380929532457236,0.9191828995334875,0.00032475952641916454
2,4.9582785681510995,20,0.08333333333333333,0.06880843032143175,0.11633961910327481,0.24008504771687506,0.9037667354557429,0.0008315023757413544
3,7.580146938385096,30,0.125,0.05026260235272205,0.12058625009324167,0.23065971241786717,0.8849757239623227,0.00167802936969555
4,10.579000590402336,34,0.14166666666666666,0.039326140129672234,0.12667731486991904,0.2237121986321988,0.8645022841016836,0.0029315039836732004
5,13.783978397719475,43,0.17916666666666667,0.03148429640694862,0.13146786658841786,0.21933064462821505,0.8395508321910771,0.004621916196006318
6,16.989828156163732,50,0.20833333333333334,0.025902370108342596,0.1337981002329089,0.2173265636076739,0.8118061045721461,0.006744220525978088
7,20.16243590490675,58,0.24166666666666667,0.021755562524908564,0.13431904998979163,0.21381793598226378,0.7818400010742221,0.009255391252660979
8,23.37763980438332,67,0.2791666666666667,0.01847632750474694,0.13119243633962135,0.20828701084003093,0.7486302900994755,0.012110308859564897
9,26.720360993114312,78,0.325,0.015820075080431092,0.1222165860703519,0.20038269001422024,0.7122367579530609,0.015282585436930281
10,30.14607972181284,84,0.35,0.013787946846341815,0.10882491646527717,0.18976925012217702,0.6742491439085657,0.018764394579446186
11,33.695110342186474,95,0.3958333333333333,0.012214669705543555,0.09042941558152047,0.1776860246417373,0.6337669651570357,0.022540345069341477
12,37.255698583234974,106,0.44166666666666665,0.010994423787530547,0.07115720816014011,0.16564768471473929,0.5907977824495704,0.02660414375156729
13,40.56365614373316,113,0.4708333333333333,0.01008436633161839,0.05095304120139434,0.15711428733917998,0.5463827691483795,0.03092917286076712
14,43.436920567755216,120,0.5,0.00939835241742295,0.030401443909507955,0.15249777341103427,0.5011444457488595,0.035441941101640374
15,45.83945100474437,131,0.5458333333333333,0.00884312198559855,0.010303912789310987,0.14974809706232392,0.4544383353730372,0.04004216959793044
16,47.70277082998216,140,0.5833333333333334,0.008408892513159377,-0.0071198480400774524,0.1480266698183505,0.4066170941752691,0.044632849701526964
17,48.90547100180072,143,0.5958333333333333,0.00812893851743637,-0.02197965351340664,0.14629496124014665,0.3583617010081129,0.04911383426199593
18,49.568097375800406,144,0.6,0.00795499861602732,-0.033570287197436356,0.1440561269351322,0.31205750137166244,0.05337222664863397
19,49.86745511078462,150,0.625,0.007809660628537621,-0.042599303663484765,0.14117331446939496,0.2675263591231862,0.057329022241733155
