step,total_activity,active_count,active_fraction,pattern_concentration,center_x,center_y,center_z,mean_fatigue
1,3.151134696242229,15,0.0625,0.10050014287467948,0.09826778119446644,0.26024167663306774,0.9166680587090901,0.00032475952641916454
2,5.777906294515113,23,0.09583333333333334,0.06277596549756034,0.09966911453680091,0.24941848816881015,0.8975637950398715,0.000883121329322666
3,9.176021666624774,31,0.12916666666666668,0.04459592830776618,0.10267465933195666,0.23861242801512608,0.8759970906719597,0.001878166626611983
4,13.136981330320557,38,0.15833333333333333,0.03409533942921672,0.10883293300129683,0.22575801295193512,0.8516283282315837,0.0034108540264429295
5,17.246658082842004,48,0.2,0.02711190954705947,0.11246659274999182,0.21092101113044115,0.8245305116660531,0.0055329526232337405
6,21.22392028201906,56,0.23333333333333334,0.022302825736727785,0.11565203544399692,0.1927864691774998,0.7949865760649465,0.008213405751443243
7,25.112154112460153,66,0.275,0.018633466557695468,0.11801218307466729,0.16966398723791007,0.7615651242876286,0.011371550229177492
8,29.005653560164852,78,0.325,0.01575829120827781,0.11871705499805701,0.1448804623065438,0.7230933873692118,0.01494292410234602
9,33.0740950415831,88,0.36666666666666664,0.013472722688165214,0.11918238527885945,0.11775316490513067,0.6787449610707311,0.01888719173464233
10,37.21756894295407,98,0.4083333333333333,0.011777248344266182,0.1185774677105253,0.090463119204911,0.6304663689283002,0.023199865381474928
11,41.395947241375914,112,0.4666666666666667,0.010462077979742562,0.12033690804181296,0.06854569169126729,0.5763728551220239,0.027858173020131324
12,45.38981132122387,122,0.5083333333333333,0.009427848059257473,0.12154420941689366,0.05143471954161821,0.5183689110323642,0.032834095825876174
13,49.11679119373767,137,0.5708333333333333,0.008604082870175098,0.12258163963752652,0.04095164535946516,0.4557132347491731,0.038061275866018034
14,52.29154510216153,145,0.6041666666666666,0.007999288672134206,0.12084201792954895,0.036275376845661414,0.3911749504575106,0.04346454662824204
15,54.89251537893954,158,0.6583333333333333,0.00753999761417119,0.11729270091952307,0.03471346856362312,0.32251865617066044,0.048922756672073124
16,56.67230606805377,163,0.6791666666666667,0.007267114965373185,0.10948188327461664,0.037666268610344146,0.25011837450255947,0.05432282763841698
17,57.86366789003233,163,0.6791666666666667,0.00710879032019439,0.09703606055742545,0.044298642222666246,0.17978130388969726,0.05951660226233537
18,58.58248495649606,165,0.6875,0.006979682120989913,0.080962406959098,0.05341810029516971,0.1128251397913238,0.0644143797654829
19,58.666884695646495,166,0.6916666666666667,0.006899995869957447,0.06106106514777172,0.06479723623934068,0.04965665782229703,0.06895715771827762
20,58.03902825963087,166,0.6916666666666667,0.006896463796632286,0.040835777771896696,0.07624092487727968,-0.010318876870765263,0.07306148282688357
21,56.83660801639489,165,0.6875,0.006944738688065234,0.017176152295170492,0.08632818262423533,-0.06661179416958789,0.076637652342876
22,55.08039447766656,162,0.675,0.0070410915968553735,-0.006303201236041661,0.09754625128640408,-0.11785548232890586,0.07963075111166244
23,52.90574427608069,161,0.6708333333333333,0.00716772860872749,-0.02987143438221233,0.10633203435272257,-0.1646289339705085,0.08199524996505868
24,50.317167472903925,156,0.65,0.00735616413019453,-0.05300019345920568,0.11544757227636246,-0.20871691947287246,0.08371555202031794
25,47.649901739409536,153,0.6375,0.0075448541159533755,-0.0742535227791224,0.12185003985565489,-0.2467980736605875,0.08477846571945565
26,44.692452128521325,147,0.6125,0.007821506752836185,-0.09617477103681552,0.1288829209674646,-0.282220521628909,0.08523497572364937
27,41.736140525784094,146,0.6083333333333333,0.008132422727832371,-0.11932369982325979,0.13358552567481555,-0.31213104734489067,0.08509131292538216
28,38.81828744209314,140,0.5833333333333334,0.008471366013265846,-0.1423180091886582,0.1383492004298673,-0.3387563933790945,0.08440770798142848
29,36.045221086465794,135,0.5625,0.008814958430856765,-0.16608155527842683,0.1427706070029917,-0.362234706451048,0.08324536607867809
30,33.34362462787897,126,0.525,0.00924305003586165,-0.19496793036600965,0.1490995143834942,-0.38464208232583136,0.08167930842452262
31,31.10187853972299,122,0.5083333333333333,0.009562733475110231,-0.2229118552307834,0.1498039988951656,-0.40082015423373507,0.07976330719979767
32,29.177151291736763,121,0.5041666666666667,0.009839750581569592,-0.25011777517640504,0.1495719795936093,-0.4145841777425766,0.07761857870601596
33,27.452861529544368,117,0.4875,0.010208547436851328,-0.28006938544284343,0.14703180783633993,-0.42684841639174287,0.07532743670261502
34,26.12712695009622,110,0.4583333333333333,0.010575095131583626,-0.3063845909142785,0.13746170964962467,-0.43752472543030907,0.07294210456914309
35,25.28706356152973,107,0.44583333333333336,0.0108596405999047,-0.3262684781723619,0.11791669262751993,-0.44424313440189717,0.07054673041537182
36,24.841361443491664,103,0.42916666666666664,0.011119886086701716,-0.3410455592502388,0.09004857037988637,-0.4490681248720632,0.06823338179162146
37,24.72626751798221,102,0.425,0.011378169744276679,-0.3495383261974477,0.05781589462481131,-0.45331885630530394,0.06606779888311401
38,24.96616239243156,102,0.425,0.01156111409594213,-0.3497887289961503,0.022549661463495543,-0.4568509435135061,0.06409719415442426
39,25.411881884491425,101,0.42083333333333334,0.011776734969204422,-0.345646914088915,-0.015324283660072845,-0.4606195526617318,0.06236863018756276
40,26.133277100594363,99,0.4125,0.01195305837791156,-0.3345378634725631,-0.05200166134350776,-0.46645620539184324,0.06089649502214864
41,26.93595429371981,95,0.3958333333333333,0.012228672069487096,-0.31693437778098443,-0.08404753880219526,-0.47364291765971306,0.05970683497629521
42,27.58604404617438,93,0.3875,0.012641979077924847,-0.29666618959794316,-0.10732308914792317,-0.47869857695076623,0.058786642908738154
43,27.996682704322033,93,0.3875,0.012999257167730115,-0.27458941913117385,-0.11777176024152064,-0.47951341437721995,0.05808036187652203
44,28.179648917361394,91,0.37916666666666665,0.013171398916376453,-0.25212885300919874,-0.11663917729296064,-0.47664223849136345,0.05752170369593022
45,28.212617405504346,90,0.375,0.013155525750327083,-0.22900266395024296,-0.10583350045221152,-0.4700331851728254,0.057053217498342454
