step,total_activity,active_count,active_fraction,pattern_concentration,center_x,center_y,center_z,mean_fatigue
1,2.2264291563799024,13,0.05416666666666667,0.14262754168683262,0.47659400986373174,-0.022176477704978572,-0.8405180504167322,0.00032475952641916454
2,3.1983189261426075,15,0.0625,0.09110739319176292,0.4609115704689858,-0.03319837526246071,-0.8353406741286268,0.0007097390405984798
3,4.193620614647741,19,0.07916666666666666,0.07393004540147163,0.4469264168887918,-0.03963980330182687,-0.8314669309619072,0.0012384499351903706
4,5.272136571375665,22,0.09166666666666666,0.062191449157763,0.43312900330423654,-0.04307399164075635,-0.8271505333343151,0.0019009088069177852
5,6.338168114580082,27,0.1125,0.053978661168906206,0.4204637481641812,-0.04478299044838911,-0.822705780157138,0.0026993435333589433
6,7.335554014885174,29,0.12083333333333333,0.04794342382518883,0.40925891806916337,-0.04555749999836158,-0.8174581961114259,0.003617815701506815
7,8.226301905025053,30,0.125,0.04321375344880942,0.39782943558328915,-0.04590259140881112,-0.8118730437464083,0.004631450509147104
8,8.997033917302971,33,0.1375,0.03933315174087919,0.38606013367200864,-0.04643938323086894,-0.8058833804143672,0.005710737065424591
9,9.673795037552456,37,0.15416666666666667,0.03591939694021426,0.3734872565426858,-0.04803710728160131,-0.7992104726909258,0.00682660721837644
10,10.273889868942268,39,0.1625,0.0329213549279025,0.36024283596771706,-0.05041406706786873,-0.792102423760882,0.00795778306607988
11,10.817488216728508,43,0.17916666666666667,0.03032715837653869,0.3471862654993883,-0.054052987895342526,-0.7843873413052135,0.00908835910989857
12,11.349483358349234,44,0.18333333333333332,0.027979916462734164,0.3326369694632195,-0.059035611810529895,-0.7759808210637248,0.010207802239545307
13,11.878391093258315,50,0.20833333333333334,0.025925200147110923,0.3170768603396518,-0.06501585259762246,-0.767114575637099,0.011315050145281258
14,12.410698571480847,52,0.21666666666666667,0.024179016486733543,0.30068111126440894,-0.07172735970987848,-0.7579960286037792,0.012410743460739067
15,12.973134026895972,54,0.225,0.022634671207877956,0.28269622029075814,-0.07839426144141493,-0.7484975924781323,0.013496675096817819
16,13.568216826673044,59,0.24583333333333332,0.021281089617020632,0.26257611157866817,-0.08400358702985769,-0.7390397099878062,0.014579470217179032
17,14.200066966838868,63,0.2625,0.02010232058590047,0.2402067748031115,-0.08791540258636668,-0.7298824355183635,0.015665563850462322
18,14.859335260044778,64,0.26666666666666666,0.019110096862597438,0.215975568614039,-0.08934521280716909,-0.7213279376404158,0.01676152002169838
19,15.550879967259638,66,0.275,0.018266422134581527,0.18989389842875387,-0.0892817438035614,-0.7132894693676236,0.017871493380786935
20,16.291862560505386,68,0.2833333333333333,0.017503875794129264,0.16138614743076504,-0.08852603254543698,-0.7053669196008095,0.01900013403656943
21,17.0824033609152,73,0.30416666666666664,0.016807479556750566,0.1308492040706352,-0.08743511429285752,-0.6975175481655843,0.020154844863007244
22,17.930467250968412,74,0.30833333333333335,0.016166767634406564,0.09960912615217188,-0.08602254237126199,-0.6895069362002895,0.02134231100687812
23,18.860973306711166,78,0.325,0.015560921462546316,0.069511969519559,-0.08362778570027285,-0.6805732153436058,0.022570042515746888
24,19.908788686915347,84,0.35,0.014965084135153621,0.03992698785912097,-0.0811392024234482,-0.6705810119930438,0.023849470759180542
25,21.124693670911572,86,0.35833333333333334,0.014340218675315134,0.01457090887893923,-0.07829955886563873,-0.6593754257090094,0.025197421562059116
26,22.501202402165973,88,0.36666666666666664,0.0137316938369848,-0.004387359350250265,-0.07618641669444146,-0.6475668083892899,0.026638559469149125
27,24.056476287155775,92,0.38333333333333336,0.013129029701082932,-0.018627205704261976,-0.07626955654240283,-0.634514752600235,0.028193678972640336
28,25.870121309207246,97,0.4041666666666667,0.012452785368584938,-0.026467641008987672,-0.07993888444500005,-0.619806819182348,0.029884900379218003
29,27.848028675498227,101,0.42083333333333334,0.011813898287844456,-0.03183245242359822,-0.08879810189214503,-0.6034511414374192,0.03174705808677257
30,29.922045364505003,104,0.43333333333333335,0.01126839971820636,-0.03642188291882955,-0.10296247396282533,-0.5849402178086827,0.03379385765475122
31,31.980353267237252,107,0.44583333333333336,0.010826711679881593,-0.04141716823464139,-0.12080403155611452,-0.5634872984472299,0.03602485539512079
32,33.87291603823833,114,0.475,0.010466331473109788,-0.04280982509801113,-0.1371078056679568,-0.5398361121248235,0.0384186860932157
33,35.386691701017696,117,0.4875,0.010175183471790462,-0.040084954339953655,-0.1490609525422701,-0.5154400789724617,0.04092798924106381
34,36.33251678131461,117,0.4875,0.009965334592438766,-0.03291800045569307,-0.15311729343666455,-0.49271128598144137,0.04347019501089825
35,36.7223200891799,119,0.49583333333333335,0.009821010043863003,-0.02134681904821693,-0.1501558614748492,-0.47304305232089305,0.04593552240630492
36,36.702635332081634,122,0.5083333333333333,0.009684261496302174,-0.005867934842017903,-0.1410711102937106,-0.4558360202421546,0.04822740518239566
37,36.45023441097975,127,0.5291666666666667,0.009517779448891116,0.013306838679851954,-0.12814019264265256,-0.44063393220767405,0.050286408788921405
38,36.031513591547096,128,0.5333333333333333,0.009366342001671617,0.03476766226017026,-0.11232973113032804,-0.4266645397455025,0.05209218686208796
39,35.54803944396008,125,0.5208333333333334,0.009244333859503122,0.058098351120174745,-0.09546107411932023,-0.41307168186716786,0.05363887697429425
40,35.10999984138406,127,0.5291666666666667,0.00912159499971214,0.081061027464477,-0.07722259853579465,-0.3983594410904838,0.05494024667260735
