step,total_activity,active_count,active_fraction,pattern_concentration,center_x,center_y,center_z,mean_fatigue,region_A_activity,region_F_activity,region_P_activity,region_Q_activity,region_R_activity
1,3.469323378658021,15,0.0625,0.09138817461152593,0.09611014515801011,0.2704477996269497,0.9100026611813122,0.00032475952641916454,0.0,0.48291202176345815,0.0,0.2551709405045014,0.027042942635632915
2,6.709241204432153,29,0.12083333333333333,0.056319320656654404,0.0922507778737485,0.26548961853298375,0.885769154177971,0.000942781707275627,0.0,0.5128838255924739,0.0,0.40647741094980583,0.071282865956532
3,10.965826028258093,34,0.14166666666666666,0.03924873148836859,0.09001641187666641,0.25880746613575817,0.8590593753449592,0.002106486262379093,0.0,0.5807224613009591,0.0,0.5153024890630222,0.14175738080292033
4,15.986768679778358,48,0.2,0.02924352025181582,0.0911681801437902,0.2461687745785612,0.8281743888711671,0.003951930016439576,0.0,0.6082784976888862,0.0,0.5767604859716291,0.2484554042647034
5,21.212296244760623,55,0.22916666666666666,0.022709927293852187,0.09144090677913763,0.22839127690378458,0.7935215018753706,0.0065542561422540615,0.0,0.584306827980764,0.0,0.5865643181448137,0.37405368695828234
6,26.446980951289383,69,0.2875,0.018241315367715803,0.09546388811344522,0.20399878195586527,0.7541175526151632,0.00987613607392127,0.0,0.531594541670868,0.0,0.5590669873770713,0.4807608488346528
7,31.663319831600102,80,0.3333333333333333,0.0150199116731962,0.0991818143746795,0.17702134613406095,0.7090102568113238,0.013847331394895903,0.0,0.46906398486965534,0.0,0.5111252922013415,0.5378313850863027
8,36.83441798382539,93,0.3875,0.012674945182101528,0.10466685234436389,0.1475695535857197,0.6586821051445412,0.018399470723831333,0.0,0.4077025975935909,0.0,0.4548635713617071,0.5444515058049908
9,41.851871456794925,107,0.44583333333333336,0.01097507358749028,0.10940451894371751,0.12001845488907387,0.603550924552811,0.02346597702341546,0.0,0.35159291453454616,0.0,0.3979822316045538,0.5182221791621767
10,46.46558250592618,115,0.4791666666666667,0.009740762493830372,0.1142682707511781,0.09912309012951052,0.544676206381617,0.028966605219222962,0.011494305509897001,0.3011002328748662,0.0,0.34462930113684254,0.47453483996549883
11,50.521712542405595,130,0.5416666666666666,0.008802152355326477,0.11530415864060772,0.08357562914413771,0.48334457783210005,0.03478224141716183,0.03995734185309021,0.25517727868555956,0.0,0.2957748804039099,0.4238669820032953
12,53.99753322842298,142,0.5916666666666667,0.008055766256725945,0.11130818884346878,0.07370013106838322,0.41981067561309793,0.0407768383771467,0.09419391632238434,0.21209404129456388,0.0,0.25051430670978087,0.3718722456856247
13,56.64000715166709,150,0.625,0.0075312404355006215,0.10156887432039854,0.06870421685219147,0.3571719692168217,0.04682369201976133,0.17185702415993076,0.1694476933447788,0.0,0.20695847407747323,0.3211795038618098
14,58.57130196747501,164,0.6833333333333333,0.007133043070768302,0.0878540577421715,0.06546418370970072,0.293109768717041,0.052761324158722776,0.24985973201900016,0.12386368041902085,0.0,0.1624517796295913,0.2720038032739438
15,59.49195975117115,171,0.7125,0.006894679188750401,0.07179857462022621,0.06255325797167323,0.22899271371932087,0.05846731086175206,0.3256667135140185,0.06966451216314194,0.0,0.112558280658095,0.2227609047976948
16,59.3767315602319,175,0.7291666666666666,0.006813587497848945,0.05428896225468268,0.05867405994737966,0.16105391325294954,0.06377532222892145,0.3993622593718036,0.007965660791040288,0.0,0.04914590469491763,0.16977148228552372
