step,total_activity,active_count,active_fraction,pattern_concentration,center_x,center_y,center_z,mean_fatigue,region_A_activity,region_F_activity,region_P_activity,region_Q_activity,region_R_activity
1,2.676833224805379,14,0.058333333333333334,0.1216586825647695,0.4563296705370376,-0.05032708053951533,-0.8490577129980926,0.000375,0.0,0.0,0.44011748992493616,0.0,0.0
2,3.99197933116884,18,0.075,0.07960104149834193,0.4498558494961724,-0.0675401845841219,-0.8362008657294125,0.0008394062296510086,0.0,0.0,0.44382664294054874,0.0,0.0
3,5.428801966651999,21,0.0875,0.06266833346571038,0.4404766466773622,-0.08563687083716393,-0.8254894654903341,0.0015039617312800652,0.0,0.0,0.46440243395902014,0.0,0.0
4,7.041156757384956,28,0.11666666666666667,0.05111635803931151,0.4273419482085437,-0.1065046424404262,-0.8147051471933935,0.0023714659268993087,0.0,0.0,0.4889872358760325,0.0,0.0
5,8.684309597629245,31,0.12916666666666668,0.042979095593423014,0.41310544769183133,-0.1268177272698675,-0.8040668858436726,0.0034545362262190576,0.0,0.0,0.5020431542016363,0.0,0.0
6,10.31986546455185,35,0.14583333333333334,0.03683254091491969,0.3952802901790878,-0.14845510297114556,-0.7930256497091493,0.004737390653152635,0.0,0.0,0.5010916358540428,0.0,0.0
7,11.941465090196585,43,0.17916666666666667,0.03186561258026278,0.37304285399498366,-0.17131179073145208,-0.7811586238590387,0.0061986263624408434,0.0,0.0,0.48854111991189064,0.0,0.0
8,13.490826576953125,44,0.18333333333333332,0.02804600907956784,0.3488411861273306,-0.19267260339786063,-0.7692495392775917,0.007817788430608619,0.0,0.0,0.46807503479768986,0.0,0.0
9,14.980889538749505,49,0.20416666666666666,0.025054338569718795,0.32245504358409866,-0.2113584010830009,-0.7571529754162796,0.009565539570726467,0.0,0.0,0.44305059610643055,0.0,0.0
10,16.393858061608096,53,0.22083333333333333,0.02268807584543863,0.2932735254999638,-0.22662685558014303,-0.7454683877442938,0.011417902402169354,0.0,0.0,0.41582520080903007,0.0,0.0
11,17.719961775625464,58,0.24166666666666667,0.020752598672731652,0.26226595126864705,-0.23782202834821867,-0.7341456242062853,0.013349960548503936,0.0,0.0,0.38819520110782013,0.0,0.0
12,18.952306532301193,63,0.2625,0.019149230984385653,0.2299192053009658,-0.2443823341102998,-0.7234076827500259,0.015337457326583316,0.0,0.0,0.3614202245822057,0.0,0.0
13,20.093551097627113,67,0.2791666666666667,0.017806998584807693,0.19632763435765793,-0.2460768240219546,-0.7134003451293867,0.017357269068731463,0.0,0.0,0.3362599391944835,0.0,0.0
14,21.162880516474864,73,0.30416666666666664,0.016642757525732597,0.16155386923988221,-0.24272707555419185,-0.7037714112430172,0.019389082992663398,0.0,0.0,0.3130123183218557,0.0,0.0
15,22.18696048174955,77,0.32083333333333336,0.015604347640360988,0.12654222566624376,-0.23583157044902328,-0.6935001362107038,0.021418214790236097,0.0,0.0,0.29169256955593226,0.0,0.0
16,23.192851262179126,81,0.3375,0.014674646778369566,0.09156184432428773,-0.22621967891718026,-0.6819725372787844,0.02343644840154053,0.0,0.0,0.27217562726331396,0.0,0.0
17,24.180464193780917,86,0.35833333333333334,0.013871021306636453,0.057187768765589224,-0.2144819511124457,-0.6691902257960209,0.025441463173045062,0.0,0.0,0.2543027412406176,0.0,0.0
18,25.154548613657894,89,0.37083333333333335,0.01318319178772644,0.023871858825279826,-0.20125331156759846,-0.65494500313933,0.027431153892074477,0.0,0.0,0.23796420798022258,0.0,0.0
19,26.08376128368529,95,0.3958333333333333,0.012616631417718464,-0.007712664177927976,-0.18674736966625766,-0.6395017366774757,0.02940451636792789,0.0,0.0,0.2230776538480331,0.0,0.0
20,26.92335893790468,96,0.4,0.012170404087057288,-0.03611568430948302,-0.17181121589221776,-0.6231659492988734,0.03135476997182609,0.0,0.0,0.20961384788712034,0.0,0.0
21,27.62621392631369,102,0.425,0.011834394898649207,-0.061148543650311374,-0.15774200201780014,-0.6062022717350039,0.03326742277550061,0.0,0.0,0.1975419628056524,0.0,0.0
22,28.18278831311914,103,0.42916666666666664,0.0115738318018321,-0.08300298789011729,-0.14425780048932252,-0.5885458620901765,0.035120595609134365,0.0,0.0,0.18681336020147288,0.0,0.0
23,28.586044077463015,105,0.4375,0.011373931530359793,-0.10197719856478087,-0.13136192845522374,-0.5701609461800207,0.03689280885693077,0.0016913783412112187,0.0,0.1772942934912326,0.0,0.0
24,28.82784606791759,106,0.44166666666666665,0.011242763482992572,-0.11816292972205299,-0.11883171084077451,-0.5516714241228787,0.038563411235762006,0.007393969412240186,0.0,0.16870595002121958,0.0,0.0
25,28.973259040745784,107,0.44583333333333336,0.011138965757270768,-0.13101706152479548,-0.10668899186577724,-0.533905331318278,0.04011229124992035,0.01658643148556446,0.0,0.16136625641081187,0.0,0.0
26,29.079140004161335,109,0.45416666666666666,0.011020504293670047,-0.14116087000345257,-0.09507240835900481,-0.516627505983157,0.04153354819506815,0.028517009574529725,0.0,0.1572241692936496,0.0,0.0
27,29.150274041037786,109,0.45416666666666666,0.0108952231550857,-0.14812599889836664,-0.0834957732472058,-0.4999650002525814,0.042832532126341596,0.04209467400613904,0.0,0.15992300499486464,0.0,0.0
28,29.21157985851987,110,0.4583333333333333,0.0107618673029025,-0.15209151613364313,-0.07228495169503944,-0.4839875657838429,0.044014955296402015,0.05591645365130473,0.0,0.16446870472397881,0.0,0.0
29,29.322543938926724,111,0.4625,0.010583264328378392,-0.15358255885907154,-0.061543897894455205,-0.468347209491675,0.04509063099023429,0.06862287966486481,0.0,0.1702262295407074,0.0,0.0
30,29.468925393474468,114,0.475,0.010380327258765584,-0.15209658353110517,-0.05014116871861327,-0.452143614695003,0.04607954487975962,0.07958314620121062,0.0,0.17733638605369828,0.0,0.0
31,29.72574641963248,115,0.4791666666666667,0.010125166978254323,-0.14710658647110847,-0.03883095130941093,-0.4359363110720522,0.046997013903060124,0.09007322915686068,0.0,0.18733336908087328,0.0,0.0
32,30.084231954618552,118,0.49166666666666664,0.00984207641419851,-0.14085976129124572,-0.027997399263782526,-0.4204663203535889,0.0478708899664352,0.10222325399060637,0.0,0.19920890503227812,0.0,0.0
33,30.49369858891938,122,0.5083333333333333,0.009579405348118806,-0.13352364553104767,-0.0166560683954105,-0.40535285322993725,0.04872459446128266,0.11564005857615571,0.0,0.21224507053543357,0.0,0.0
34,30.981962194857328,125,0.5208333333333334,0.009327004146997546,-0.12516456462430023,-0.005515197082442582,-0.38983155077705955,0.04956970350057678,0.1297278778310537,0.0,0.2259918964195007,0.0,0.0
35,31.55560553774099,128,0.5333333333333333,0.009081220499672318,-0.11577324864130048,0.004658042879160161,-0.37413107899708564,0.05042185106205485,0.14377076989681034,0.0,0.2394671817447459,0.0,0.0
36,32.20420496549289,129,0.5375,0.008846772887348413,-0.10684879839480106,0.013606184473492034,-0.358416837838814,0.0512963419941758,0.1569367240626291,0.0,0.25133651893949094,0.0,0.0
37,32.89368186191703,134,0.5583333333333333,0.008637505346436125,-0.09890428522834893,0.02178572004331498,-0.34284780438802165,0.05220499622578814,0.16857360102365762,0.0,0.26043238990745754,0.0,0.0
38,33.607849663335585,136,0.5666666666666667,0.008452371046560391,-0.091844434377095,0.0289832223140455,-0.3275924090985922,0.05315206195231877,0.17887032581017406,0.0,0.26619697864194064,0.0,0.0
39,34.37949113664868,137,0.5708333333333333,0.00826172839182572,-0.08510636638267681,0.035281108067265685,-0.3123317706635941,0.054138327568962315,0.18815494832524218,0.0,0.268499376043305,0.0,0.0
40,35.199390763949644,146,0.6083333333333333,0.008066531549755073,-0.07953725735240674,0.040997572367416295,-0.29725873797750674,0.05517064940018771,0.198800349223772,0.0,0.26719832759110856,0.0,0.0
41,36.06218018176858,147,0.6125,0.007876060549619819,-0.07493395129927985,0.04671949682074878,-0.2822834399885213,0.056253470228409506,0.21286745355826345,0.0,0.2621860041221489,0.0,0.0
42,36.94340541582531,151,0.6291666666666667,0.007708910624118369,-0.07077690833635482,0.05399853022083254,-0.2668748945431922,0.05738978198965016,0.2300624557498617,0.0,0.25306410885434105,0.0,0.0
43,37.83682930255489,152,0.6333333333333333,0.007571211870111496,-0.06827683584010336,0.06312533456881224,-0.2510535365451861,0.05857769230615239,0.2501190419778113,0.0,0.2392813622827054,0.0,0.0
44,38.75561337831905,156,0.65,0.007454126554039266,-0.0659351502660414,0.07395131410585905,-0.2345600644048653,0.0598143285697662,0.27276437384670754,0.0,0.22028339690310694,0.0,0.0
45,39.73116641601989,158,0.6583333333333333,0.007342239767242211,-0.06300780334509662,0.0858041088177429,-0.21712066392450088,0.0610995732212244,0.29771305777505264,0.0,0.19505093286917397,0.0,0.0
46,40.71189918274233,161,0.6708333333333333,0.007255623549375742,-0.06016292867991229,0.09941110828006448,-0.1986817011578041,0.06243920960210569,0.3239501077422517,0.0,0.1639276299567796,0.0,0.0
47,41.71924844661148,162,0.675,0.0071863851126553096,-0.056485842028657515,0.11375019028362984,-0.18005918535987675,0.06382876973865931,0.34993789621157934,0.0,0.13614394786980608,0.0,0.0
48,42.68378616254559,160,0.6666666666666666,0.007144751553987814,-0.052449167127886595,0.12747231705996545,-0.16183375451762355,0.06526825184853303,0.37360855070802823,0.0,0.10170877703292248,0.0,0.0
49,43.64465186725249,165,0.6875,0.007086633938614962,-0.04703972500094361,0.13984802655095424,-0.14587406218521848,0.06674463656915702,0.39248061206509327,0.0,0.0772639110818078,0.0,0.0
50,44.43715831634317,165,0.6875,0.007035872182988177,-0.04149608116058901,0.14969159062113313,-0.1311473299232237,0.06825354513735117,0.4042982586661202,0.0,0.05304368829861563,0.0,0.0
51,45.10336207291547,169,0.7041666666666667,0.006976696325390203,-0.035843743931353055,0.15644905967064623,-0.11738400023253742,0.06976015780793039,0.40845399016282496,0.0,0.038933297878340954,0.0,0.0
52,45.65562163052428,171,0.7125,0.00690514895544036,-0.0304280982317686,0.15958758518191368,-0.10385419996755256,0.071241022415809,0.4056776001191155,0.0,0.029578443217171454,0.0,0.0
53,46.09281318197688,176,0.7333333333333333,0.006825873528933404,-0.02608493665970885,0.15978459793246785,-0.09156250631542436,0.07267734922995142,0.39745285134489633,0.0,0.020831418559526246,0.0,0.0
54,46.30579458304214,178,0.7416666666666667,0.0067726560123352745,-0.022899060002777097,0.16020167121524317,-0.07941805899730203,0.07405201677857694,0.3854188463529855,0.0,0.012191859336349205,0.0,0.0
55,46.41039882515915,176,0.7333333333333333,0.006721659937810367,-0.020108494608764096,0.1599211477781679,-0.06804642858090416,0.07532915158503964,0.3711067058797668,0.0,0.0031151687193036203,0.0,0.0
56,46.60342030576549,179,0.7458333333333333,0.006622175980681056,-0.01726833406263946,0.15556764065395287,-0.05709480551015261,0.07649818620625302,0.3556405353564365,0.0,0.0,0.0,0.0
57,46.85524637569474,184,0.7666666666666667,0.006488459280253869,-0.01443708498872141,0.14950004468131364,-0.047531364361923414,0.07758650889295875,0.3397351938220989,0.0,0.0,0.0,0.0
58,47.074011494740276,182,0.7583333333333333,0.006362276958981766,-0.012068093452001704,0.1437385696389565,-0.0396415187465226,0.07861321669910565,0.3238397646644962,0.0,0.0035716731833460072,0.0,0.0
59,47.30657110158897,185,0.7708333333333334,0.006245670485500225,-0.010670610289376548,0.13815515576293683,-0.033639119897047716,0.07957827218445888,0.3082303585212299,0.0,0.015581939083540233,0.0011801292212123549,0.0
60,47.55804841416027,185,0.7708333333333334,0.006140846893743221,-0.009677337579464857,0.13162180975499999,-0.02821353170642937,0.08049042704756092,0.2930083496735789,0.0,0.033134623084044294,0.004373708022929747,0.0
61,47.845814917194524,189,0.7875,0.006045653602186828,-0.008593515333429821,0.12353821234306327,-0.023991720613903585,0.0813585184204599,0.27825400057933236,0.0,0.05246087226256401,0.009630487032456581,0.0
62,48.074066574582325,189,0.7875,0.0059788325915926255,-0.007086840830630663,0.11546336198585079,-0.020494176453582223,0.08219375687538788,0.26402159849708456,0.0,0.07663728790628534,0.016635941054860853,0.0
63,48.16867684030793,190,0.7916666666666666,0.005951181906819217,-0.004626966244041143,0.1085941184083261,-0.017008281944380164,0.08298826867058327,0.25041999239558527,0.001920384020364033,0.1092808588726158,0.02624298009360782,0.0
64,48.10510408333863,191,0.7958333333333333,0.005955997637411623,-0.0009271990074610694,0.1032638403531567,-0.012623726828233001,0.08372106871108269,0.23753162565692,0.010669169786023393,0.15007355241110798,0.04156846615516615,0.0
65,47.99632532585328,195,0.8125,0.005954550009411417,0.0041557791725583704,0.09902010828595406,-0.008446923644501938,0.08436866885560042,0.22546098407567913,0.024426636813056745,0.19819194759295256,0.061446304237661224,0.0
66,47.84023686561332,197,0.8208333333333333,0.005942939648363396,0.008678530085080452,0.09610859302257782,-0.0023482910885554943,0.08493111296863787,0.21407704278829878,0.04063737993706481,0.24700203671134227,0.09000673147506291,0.0
