step,total_activity,active_count,active_fraction,pattern_concentration,center_x,center_y,center_z,mean_fatigue,region_A_activity,region_F_activity,region_P_activity,region_Q_activity,region_R_activity
1,2.8767347015141453,14,0.058333333333333334,0.1095329629098575,0.11277927496017155,0.24363428387434277,0.9224986123690859,0.00032475952641916454,0.0,0.4687089701406781,0.0,0.24518024353879075,0.01982450203122619
2,4.910246776297627,19,0.07916666666666666,0.07088432871991718,0.11900635556533791,0.22149721632967137,0.9093760895431947,0.0008316713303111504,0.0,0.466316542826181,0.0,0.36639318607955684,0.050781288500599486
3,7.400815784422052,28,0.11666666666666667,0.0519430033601068,0.1229010983983495,0.20234000735342905,0.8933389091956292,0.0016691754678358406,0.0,0.5115445376396754,0.0,0.44085073503450906,0.09432242134179314
4,10.3147821847515,37,0.15416666666666667,0.03996550269886738,0.1311975874295532,0.18497362106472082,0.8731933329898469,0.002889910880631391,0.0,0.5480494991995003,0.0,0.49053949032084276,0.15798889459500495
5,13.538664205099955,43,0.17916666666666667,0.031348535941113025,0.13760646518888775,0.1692903571801799,0.8478720487426532,0.004534941452209159,0.0,0.5524583475281114,0.0,0.5169769708964488,0.24236295205635036
6,17.123300396856262,55,0.22916666666666666,0.02483428112244116,0.14473034106512742,0.15549969787982945,0.8155485303159331,0.006619946845444484,0.0,0.5315326787648199,0.0,0.5207899938254225,0.33529068247384525
7,21.030597875285586,61,0.25416666666666665,0.020166617278372285,0.1514215901596312,0.14118340354680184,0.7791055185926672,0.009168570985310587,0.0,0.495353156203242,0.0,0.505419006003649,0.4186496224920814
8,25.253282300828854,74,0.30833333333333335,0.01683579690896517,0.15193351721827894,0.12535130366019567,0.7392312316882954,0.012194950988395573,0.0,0.45185586942064554,0.0,0.47644581902885397,0.47488119531095174
9,29.673473608784054,84,0.35,0.014384173222754398,0.1446696491093073,0.10906622045425245,0.6972061046780651,0.015710446320961427,0.0,0.4060208899023046,0.0,0.43952985153205854,0.4972310420190814
10,34.04779402772429,92,0.38333333333333336,0.012604408832350106,0.12850576119768106,0.0922222503495599,0.6551809286580716,0.019703177990512296,0.0,0.3606251673484049,0.0,0.3993616126624324,0.49098945413621375
11,38.05116506285981,100,0.4166666666666667,0.011371436863470813,0.10651346616981376,0.0799848080044531,0.6133497669381067,0.024116821571659373,0.0,0.3170750333974072,0.0,0.3591351948524702,0.46504894669260877
12,41.55867343410835,114,0.475,0.010418207098833242,0.07929340075266346,0.07669064876348895,0.5700253393730252,0.02883973286377965,0.0,0.2758917225485434,0.0,0.3203956633697807,0.42729540561266766
13,44.443429842414616,120,0.5,0.009637523510382624,0.05074696482869171,0.07896778929868703,0.5256623316224449,0.033748010846297,0.007665537403082551,0.23704677301750757,0.0,0.28367756074529266,0.38389341048171194
14,46.69830975592488,129,0.5375,0.009015450105718697,0.022102574517539973,0.08570245851121064,0.4804934929629215,0.038706352857120034,0.03523869644100976,0.2001593251949323,0.0,0.24906886981802503,0.3383533778382367
