step,total_activity,active_count,active_fraction,pattern_concentration,center_x,center_y,center_z,mean_fatigue,region_A_activity,region_F_activity,region_P_activity,region_Q_activity,region_R_activity
1,3.057397919947457,13,0.05416666666666667,0.104371754854749,-0.32983585940477966,0.8670902904314096,-0.24447137368772456,0.00032475952641916454,0.4797907329332263,0.0,0.0,0.0,0.0
2,5.198650248401365,21,0.0875,0.07139819795106128,-0.3378870250132221,0.844082205109435,-0.2513282057606076,0.0008655456837673961,0.4829807657630815,0.0,0.0,0.0,0.0
3,7.458521869332676,25,0.10416666666666667,0.05579914024932582,-0.3528065404744617,0.8211605324213344,-0.24773566947500733,0.0017537380369659127,0.5256040670960446,0.0,0.0,0.0,0.0
4,9.707754927146146,29,0.12083333333333333,0.04585319388971436,-0.36918067080876854,0.7990012633609624,-0.23867037560856838,0.0029768370837691977,0.5602960483213039,0.0,0.0,0.0,0.0
5,11.853797101765338,38,0.15833333333333333,0.038369298888372025,-0.38317034486693546,0.7762556631773385,-0.22316109763484077,0.004499357424232181,0.5678095847775019,0.0,0.0,0.0,0.0
6,13.870710506123368,41,0.17083333333333334,0.03249396882901304,-0.3927391247903482,0.7537977095452947,-0.20414411319989909,0.006272008638389963,0.554866706914436,0.0,0.0,0.0,0.0
7,15.815045449973113,45,0.1875,0.027907236229975912,-0.3966727160179494,0.7317878289293391,-0.18248273862673536,0.008245565994449098,0.5301424096380978,0.0,0.0,0.0,0.0
8,17.825404490123695,53,0.22083333333333333,0.02416866937383744,-0.3942492043321526,0.7086947575945345,-0.15931412145880647,0.010386330416874147,0.49921348414126543,0.0,0.0,0.0,0.0
9,19.954672368101605,58,0.24166666666666667,0.021109956858024033,-0.3881251043949663,0.6834334977552187,-0.13457907950565876,0.012689960717084925,0.46510485504951365,0.0,0.0,0.0,0.0
10,22.18638197670732,65,0.2708333333333333,0.018674941649402994,-0.38046980444579853,0.6559066917386396,-0.10795201985355835,0.015162465714395482,0.42985672342790254,0.0,0.0,0.0,0.0
11,24.581037825749036,74,0.30833333333333335,0.016627453678368754,-0.3698155459479198,0.6246797141922426,-0.0791189934936418,0.017806165763588556,0.3947739533809464,0.0,0.0,0.0,0.0
12,27.104170874422522,80,0.3333333333333333,0.014894551859371524,-0.3555195061775313,0.5917768934276665,-0.046938999013060576,0.02063449377955765,0.3605617197403504,0.0,0.0,0.0,0.0
13,29.737563828488014,90,0.375,0.01342923725770172,-0.33764570854308484,0.5580007343025247,-0.009588094222986239,0.023653076440556104,0.3276782575114577,0.0,0.0,0.0006048608752833072,0.0
14,32.35674276951735,95,0.3958333333333333,0.012276049713312897,-0.31616452505445086,0.5238751226256977,0.0301522631045918,0.026863562014341997,0.29611042561601897,0.0018176532122215526,0.0,0.01748356969035321,0.0
15,34.83849867588895,103,0.42916666666666664,0.01138374538975025,-0.29236972525227767,0.4895788799342918,0.07194865628209988,0.030244095082192304,0.2657618467725605,0.024008799392647922,0.0,0.06386040368705277,0.0
16,37.044338849550435,110,0.4583333333333333,0.010678263187669476,-0.26881084502664243,0.45435641456866593,0.11449918910150386,0.033751904075702256,0.23648909950261884,0.06491493825372635,0.0,0.14418661491066193,0.0
17,38.81686617987501,116,0.48333333333333334,0.010146953132946676,-0.24563117678803773,0.41938694530654047,0.15610886389089573,0.03732252720242273,0.20808155137891826,0.13378203334100783,0.0,0.23745896557842355,0.0
18,40.16293230631044,125,0.5208333333333334,0.009723063097080436,-0.22389470945301682,0.38272735697652055,0.19643820207116852,0.04086843689090702,0.18009790615009993,0.21545695577182786,0.0,0.33214509774922873,0.0
19,41.06807287381652,130,0.5416666666666666,0.00937562829038658,-0.2041133179209703,0.34398494974618904,0.23514653815044978,0.04431214300924954,0.15165834869791334,0.3119750728738081,0.0,0.41215951461905703,0.0
20,41.47503907195686,133,0.5541666666666667,0.009137744428379125,-0.18544601740120586,0.3038377137075574,0.2713442558814471,0.047581192372165175,0.12130476871768858,0.403055487847241,0.0,0.4645973295848116,0.0
21,41.478318067676994,135,0.5625,0.008989146153421074,-0.16859382859746108,0.2627360299810249,0.30520269578761944,0.05059964296094056,0.08664446484180159,0.46391399562576446,0.0,0.485408087520111,0.0
22,41.33490905556414,138,0.575,0.008830841085453706,-0.1539797664040984,0.22069536717525162,0.3356747429312956,0.053316863302535954,0.06273486491675538,0.4874987945249915,0.0,0.48082207030695434,0.020042397224267844
23,40.96464395659612,139,0.5791666666666667,0.008717922615910069,-0.14059924367717205,0.17798178190097713,0.36319124395003394,0.05573547242020063,0.04038469066135785,0.48340784165568995,0.0,0.46032422811057566,0.0610106859277178
24,40.424221545664494,142,0.5916666666666667,0.008655749607143206,-0.12661402699210228,0.13538017500685967,0.3893403104723869,0.05784279592004234,0.023795498197294065,0.4639371173017977,0.0,0.43168802380298643,0.12553189250557
25,39.71909603169969,146,0.6083333333333333,0.008647675832549967,-0.11041193543213527,0.09192136250448628,0.4159516140295274,0.05963805786785021,0.012081703214874855,0.43647977314841224,0.0,0.3995718059489237,0.2070286687347594
26,38.80885650744729,142,0.5916666666666667,0.00873925497099037,-0.09200994987302172,0.04650663382235354,0.44474057088038055,0.06112158258700887,0.0,0.4052328837875634,0.0,0.3666265615048613,0.30164113875581433
27,37.838647861874264,137,0.5708333333333333,0.008897249750490612,-0.07416933765618841,0.0020507657292845234,0.47249385255343385,0.062286084923454346,0.0,0.3727242300619547,0.0,0.33450667741543716,0.3865968996026724
28,36.87216040279618,131,0.5458333333333333,0.009089770573640988,-0.05756743492270158,-0.04018375363986226,0.49702761662952893,0.06315222290521035,0.0,0.34035148404012855,0.0,0.3041658418754735,0.4430739534374647
