step,total_activity,active_count,mean_fatigue,region_A_activity,region_F_activity,region_P_activity,region_Q_activity,region_R_activity
1,3.2947042991255513,22,0.00042371392896287466,0.0858893662107945,0.0,0.4446952131586963,0.0,0.0
2,5.285739209746854,29,0.000999099592152628,0.09841970067046397,0.0,0.45769303999686545,0.0,0.0
3,7.806994290014607,42,0.0018902657347649005,0.13002038671004,0.0,0.4886622074945172,0.0,0.0
4,10.95236109841851,55,0.0031650505906661492,0.1832100309502156,0.0,0.5186344394548448,0.0,0.0
5,14.63688355703674,65,0.0049021132375530055,0.25457997767540214,0.0,0.5296662885671058,0.0,0.0
6,18.80887112903067,75,0.007156317580742092,0.33538378968698757,0.0,0.5202809833412938,0.0,0.0
7,23.325938770070064,87,0.009967349159361134,0.4108711332269717,0.0,0.49491785896686624,0.0,0.0
8,27.950849871962518,96,0.013344227762813158,0.465926574746183,0.0,0.4590636149838273,0.0,0.0
9,32.33838836717512,102,0.017250589337524814,0.4928261430324703,0.0,0.41713380438711806,0.0,0.0
10,36.255111397144816,110,0.021588978222617666,0.4936334092136994,0.0,0.37238066261623637,0.0,0.0
11,39.57735199094937,121,0.026227913787320555,0.4757310629255312,0.0,0.3268548498653444,0.0,0.0
12,42.2704294210633,128,0.031025875906891504,0.446701392669492,0.0,0.281677427613064,0.0,0.0
13,44.42260066948487,135,0.03584899383265172,0.41227923276616624,0.0,0.23716128203803913,0.0,0.0
14,46.20699942276637,145,0.040593332074914966,0.37592338847095164,0.0,0.19283329207902683,0.0,0.0
15,47.642691829920224,153,0.045197811259192165,0.33931351686247213,0.0,0.147450627826519,0.0,0.0
16,48.75969249168135,159,0.04961103485138299,0.3031992703004274,0.0,0.09884129669101882,0.0,0.0
17,49.609501172443444,165,0.05379237370843494,0.2677179180058114,0.005348241250234542,0.04317004972935502,0.004011180937675907,0.0
18,50.31174873539729,170,0.05771491780742459,0.2326624226430856,0.01663872337071388,0.0027339899964097477,0.01400707175742107,0.0
19,50.933324518156354,174,0.061376878914569125,0.1974623191738484,0.03250019305081954,0.0,0.03184561063056463,0.0
20,51.39743829419662,178,0.06478918937026654,0.16113868674273993,0.05630243285526368,0.0,0.05581303013438101,0.0
21,51.63054307494687,182,0.06794729011340174,0.1221828362856928,0.08710859402667208,0.0,0.08297976600399376,0.0
22,51.617330589442204,184,0.07083328792861412,0.0780646390952861,0.12090858003358838,0.0,0.11512068531496508,0.0
23,51.30862550524356,182,0.07342820862127311,0.03452277710697667,0.16129318148258917,0.0,0.15056582904995575,0.0
24,50.75026695200038,179,0.07570575504137897,0.02022856945697767,0.20555614724923052,0.0,0.1866259269868979,0.0
25,50.19210387717881,178,0.07765085459074114,0.0053419934998071685,0.24836333650964124,0.0,0.2264449826269772,0.0
26,49.388716416200715,178,0.07929678860863805,0.0,0.2855371443063148,0.0,0.268490888472954,0.0
27,48.300991889127204,171,0.08062749407581189,0.0,0.31535245797367994,0.0,0.3088717985376253,0.0
28,47.01514709361435,167,0.08162118064744206,0.0,0.33709197355969267,0.0,0.34297001213011885,0.0
29,45.66915113012435,161,0.08227440266275053,0.0,0.3517965583595118,0.0,0.3679016868475814,0.004168153468515658
