step,total_activity,active_count,mean_fatigue,region_A_activity,region_F_activity,region_P_activity,region_Q_activity,region_R_activity
1,3.0843792180923764,15,0.00032475952641916454,0.0,0.46773216149879704,0.0,0.23627528746155446,0.01849937687774465
2,5.683838455547153,25,0.0008706046771695688,0.0,0.4792769610495473,0.0,0.36958634229756754,0.046174936077411965
3,9.240491472360816,33,0.001849263919867703,0.0,0.5453276137690587,0.0,0.47337235003071454,0.08688509244660278
4,13.614453748226376,43,0.003396929678948585,0.0,0.5878605767950359,0.0,0.544516608005018,0.1496873119035076
5,18.4580319670317,54,0.005609946788846173,0.0,0.5830366438840663,0.0,0.5721202600677586,0.2368138735398594
6,23.42053500415097,65,0.00850983310378,0.0,0.5452460904189098,0.0,0.5605136934974865,0.3347374003681212
7,28.44936550077994,76,0.012050200106680307,0.0,0.49121996790655736,0.0,0.5242073579885822,0.4232321377107206
8,33.434483323017425,88,0.016179436127408516,0.0,0.43307162710901864,0.0,0.47577404764575904,0.48319348215216296
9,38.28937405138687,100,0.020830458137733432,0.009621737456155138,0.37790020004308716,0.0,0.42349129002819724,0.5084637059589212
10,42.871141325301295,111,0.025926669958595126,0.03262346652155968,0.3282496975388927,0.0,0.3723904753284222,0.5054592038654073
11,46.952910592161295,118,0.03137234196122961,0.0642700547018557,0.284086190200678,0.0,0.3250791100167286,0.4835147852497196
12,50.378707424270246,131,0.03703877850113689,0.10857116757394626,0.24444829364554196,0.0,0.28204710584554826,0.4504691679814803
13,53.18114137895509,142,0.04278090829307388,0.15823206889330627,0.20805874002606584,0.0,0.24245440381757105,0.41247752228721174
14,55.19579748169858,147,0.048474281472320566,0.20389239364391032,0.17331395594894014,0.0,0.2048340979954569,0.37326016920670185
15,56.49360833108941,158,0.05397606535290699,0.23937661309754285,0.1382496002774755,0.0,0.16744320635403145,0.3352278616430913
16,57.194935981784155,167,0.059171010379695556,0.2716715244528843,0.09998063534743686,0.0,0.12769370878239172,0.2993674938131072
17,57.26763078275647,174,0.06397795983831053,0.3066792511985996,0.05377184392749366,0.0,0.08126418463219237,0.2659910641216814
18,56.85121355983735,178,0.06831784462624631,0.3407870842862697,0.014909913015979595,0.0,0.03081778722019648,0.23486179419992917
19,56.22013203647916,177,0.07214566270609118,0.37047933705729963,0.0,0.0,0.0,0.20488709831171079
20,55.395930585982555,174,0.07547237119232192,0.393276863711231,0.0,0.0,0.0,0.17356370182920844
21,54.41037295066687,179,0.07831187105796143,0.4078852624272488,0.0,0.006585843163274505,0.0,0.1377041707379164
22,53.13355817063427,176,0.08068262888041534,0.4148949098774908,0.0,0.03431801790563506,0.0,0.09622517981015066
23,51.69780426104399,176,0.08257690814936773,0.41560127071718816,0.0,0.08261619323579833,0.0,0.058648816494958726
24,50.003836243336416,168,0.0840125556333767,0.40985733438172667,0.0,0.13870623765129142,0.0,0.022781459706276604
25,48.23545786160187,161,0.08498701936566462,0.39796961090727634,0.0,0.1902060886710658,0.0,0.0
26,46.413089544760325,161,0.08553246577814852,0.37947342608750195,0.0,0.23799429124594587,0.0,0.0
27,44.54673465466721,151,0.08568167348997623,0.3558596317857492,0.0,0.28014811469532586,0.0,0.0
28,42.66562514726186,144,0.0854660188887287,0.32788689402310817,0.0,0.3162393923918067,0.0,0.0
29,40.77176416257916,135,0.08491922171496744,0.29667606836156907,0.0,0.34497574734470055,0.0,0.0
30,38.91743848749201,131,0.08407200532395429,0.2649495374145461,0.0,0.36535591891829877,0.0,0.0
31,36.96033064362234,127,0.08296182450796359,0.23398285918811454,0.0,0.37736571226320004,0.0,0.0
32,34.869942822200585,118,0.08159570405284643,0.213268887585731,0.0,0.3828931505097434,0.0,0.0
33,32.95784433697838,111,0.07997424792672442,0.19674311297879407,0.0,0.3837715860430696,0.0,0.0
34,31.03287644194666,104,0.0781564189472354,0.1809379439532802,0.0,0.38010632398361044,0.0,0.0
35,29.178625025382757,100,0.07615944138537686,0.1662898279880661,0.0,0.37316042609675215,0.0,0.0
36,27.16768649306476,96,0.07401448943909844,0.1533456317314458,0.0,0.36301092829450354,0.0,0.0
37,25.104408770200113,88,0.07170698171263826,0.1421402204209159,0.0,0.35000900783503375,0.0,0.0
38,23.25115788076677,83,0.06924336018578695,0.13271408054133493,0.0,0.33467654163229227,0.0,0.0
39,21.521976405428592,78,0.06667861626985203,0.12513724927824835,0.0,0.316683478938631,0.0,0.0
40,20.044901299942772,76,0.06404612521888468,0.11946139504658644,0.0,0.29647366436714273,0.0,0.0
41,18.687982041925764,73,0.061399931690735494,0.11572629503932412,0.0,0.2749004175485511,0.0,0.0
42,17.48486776360513,68,0.05876393515452302,0.11412522613055982,0.0,0.252397208322725,0.0,0.0
43,16.476995572825942,66,0.05616595434474669,0.11487578372964617,0.0,0.22936811618075598,0.0,0.0
44,15.649289032148562,65,0.05363879558017688,0.11823378104219524,0.0,0.20592034102802878,0.0,0.0
45,14.93935787319148,64,0.05120915771568704,0.12450602809464406,0.0,0.18416695833019242,0.0,0.0
46,14.380909191392803,63,0.04888937154534175,0.1339576895009075,0.0,0.16461193861199694,0.0,0.0
47,14.020633452311563,62,0.046696854864193726,0.14666254257458544,0.0,0.1464081022449626,0.0,0.0
48,13.819368629449865,63,0.04465603815008277,0.16281051192793314,0.0,0.12904315697200058,0.0,0.0
49,13.806048421592944,66,0.042781565953096345,0.18604772473011746,0.0,0.11210925718396282,0.0,0.0
50,13.955449564003384,67,0.04109204343683538,0.21593935045691479,0.0,0.09517660743165246,0.0,0.0
51,14.261643080804202,65,0.03959948588640249,0.25130701215089485,0.0,0.07784340902605215,0.0,0.0
52,14.711797158500609,65,0.038313595375413026,0.290080447321591,0.0,0.059920818150618824,0.0,0.0
53,15.30494391756988,67,0.03724069780509059,0.32893718223451807,0.0,0.044445267070252814,0.0,0.0
54,16.020584340672087,72,0.03638630500912588,0.3635196391928673,0.0,0.035485187660709946,0.0,0.0
55,16.801244713717793,70,0.03575153407208931,0.3900322963360572,0.0,0.029510472558347933,0.0,0.0
56,17.622088770333846,72,0.03532661404870246,0.40667023025295057,0.0,0.02353876549691732,0.0,0.0
