step,total_activity,active_count,mean_fatigue,region_A_activity,region_F_activity,region_P_activity,region_Q_activity,region_R_activity
1,2.9091037688601866,17,0.00032475952641916454,0.46444407209608624,0.0,0.0,0.0,0.0
2,5.0778959975520905,21,0.0008377405304385332,0.455677353963918,0.0,0.0,0.0,0.0
3,7.792067789872789,28,0.0017060719769356968,0.503787409887358,0.0,0.0,0.0,0.0
4,10.845365622249043,36,0.0029964774898432753,0.5537148316087145,0.0,0.0,0.0,0.0
5,13.886036274379832,43,0.004730335795030643,0.5725868378685601,0.0,0.0,0.0,0.0
6,16.64624417800583,46,0.0068609340169737965,0.5621223020908132,0.0,0.0,0.0,0.0
7,19.075705042797818,52,0.009296011398652512,0.5332456650242928,0.0,0.0,0.0,0.0
8,21.274907407853703,62,0.011943104954311851,0.4952059116832445,0.0,0.0,0.0,0.0
9,23.299466685127193,67,0.014737839597853237,0.45395789724986385,0.0,0.0,0.0,0.0
10,25.232641960702995,72,0.017632705641529262,0.41283753182097316,0.0,0.0,0.0,0.0
11,27.166510776657045,82,0.020600555445008148,0.373368663789631,0.0,0.0,0.0,0.0
12,29.09311522548945,87,0.023634220671130524,0.3360238671167492,0.0,0.0,0.0016042669384335653,0.0
13,31.061006893830402,95,0.026725757708796746,0.3008303593684116,0.005664079979088278,0.0,0.015066249817994185,0.0
14,33.085530004107426,102,0.029877120730510274,0.26750692358561073,0.021362166044479006,0.0,0.04238831543440744,0.0
15,35.13285975494627,109,0.03309294553322938,0.2355470342839984,0.04537103128560347,0.0,0.08344482565693806,0.0
16,37.161162018926476,118,0.03637106218395887,0.20420875045464748,0.08381708606590704,0.0,0.13516939220352087,0.0
17,39.07324360487403,121,0.039701673844111704,0.17247543022601133,0.13285999934668044,0.0,0.19036700954688882,0.0
18,40.947004322240886,133,0.043057739635614406,0.13891275568786562,0.19135705751676024,0.003954549065125481,0.2514916128104976,0.0
19,42.696375226350725,141,0.046429528982473135,0.1011512034253242,0.2593035646516204,0.013885720385423269,0.31370693277531636,0.0
20,44.31029927147941,141,0.04979214643916659,0.0760517005713001,0.3287751376068944,0.028427716169575026,0.3707095704851898,0.0
21,45.97169043622803,148,0.05312111290865232,0.053312197229422674,0.3896790284810723,0.04469690359549905,0.41636132869743314,0.0
22,47.70875619252148,148,0.05642869357457984,0.04636118362225708,0.4347101342298987,0.07391165637314781,0.4464327126108213,0.004444910926145777
