step,total_activity,active_count,mean_fatigue,region_A_activity,region_F_activity,region_P_activity,region_Q_activity,region_R_activity
1,4.02491624923564,24,0.00042371392896287466,0.09000893364732211,0.0,0.4836499358558741,0.0,0.0
2,7.235986451601663,38,0.0011360143327982697,0.11189157568882833,0.0,0.5402029615804886,0.0,0.0
3,11.45946949623957,53,0.002379160359193755,0.15951850046441154,0.0,0.5911226846226656,0.0,0.0
4,16.674895796392903,67,0.004289894853819298,0.2343097804581339,0.0,0.610563758391375,0.0,0.0
5,22.807792107359305,79,0.0069874483302610375,0.326284261646548,0.0,0.5914567066565801,0.0,0.0
6,29.78470075746926,94,0.010565164517364804,0.4152896255573865,0.0,0.5464790503766536,0.0,0.0
7,37.23311796580809,110,0.015093279457653808,0.4786677095383764,0.0,0.4880247056834709,0.0,0.0
8,44.44839109088556,120,0.020565161130477447,0.5057868109399856,0.0,0.42505595517890343,0.0,0.0
9,50.674212597217775,130,0.02684271834697075,0.5018941636172749,0.0,0.363232564216632,0.0,0.0
10,55.71330601121165,142,0.033659861374252004,0.4786572333250542,0.0,0.30542823982453404,0.0,0.0
11,59.46258797590793,151,0.04074012011392899,0.4457714451654899,0.0,0.25187689646008066,0.0,0.0
12,62.17997846558841,164,0.047815343348018825,0.4095806619053774,0.0,0.2010811086554642,0.0,0.0
13,63.8912493049293,170,0.054692554975514764,0.37354485470322357,0.0,0.1500601609615113,0.0,0.0
14,64.58626209499768,179,0.06120290872263755,0.33949621240349953,0.0,0.09424934056168088,0.0,0.0
15,64.3237488300986,184,0.06719254199318585,0.30816233727882786,0.0,0.02560997646747587,0.0,0.0
16,63.34118490468707,183,0.07253399069951076,0.2797125477485596,0.0,0.0,0.0,0.0
17,61.93780337412035,187,0.0771570637991885,0.2539451036626021,0.0,0.0,0.0,0.0
18,60.21864107923866,188,0.08105469555191722,0.2304808533881796,0.0,0.0,0.0,0.0
19,58.31774594908081,188,0.08424022119908274,0.2091372302621771,0.0,0.0,0.008160176970614295,0.0
20,56.184632860167426,187,0.08675077644462714,0.18985532535418778,0.005321608578619706,0.0,0.027983978350186678,0.0
21,54.004812554139754,186,0.0886103174614458,0.17258521662053838,0.020863302718830686,0.0,0.058240421477014484,0.0
22,51.76889249370419,188,0.08987518806920243,0.15704564530241805,0.04579211447938111,0.0,0.10101398846027418,0.0
23,49.36913712027807,182,0.09059433660485171,0.14276188093437156,0.08447413689987611,0.0,0.15179522690688793,0.0030380193286155344
24,47.16070551103192,174,0.09079161615441869,0.13366366448268568,0.1379490138977907,0.0,0.20684640192018494,0.010493675405622465
25,45.14190853361248,170,0.09055508682229531,0.1366375525444743,0.20364939788722847,0.0,0.27014600017067547,0.020292968675564987
26,42.9924902739003,161,0.08996368599011811,0.14429100741408543,0.2740296912567512,0.0,0.33436246170199674,0.030369156477811333
27,41.07922399307252,157,0.08902840931746263,0.15603822959828775,0.34043432292047787,0.0,0.3907246644894585,0.04104200302985851
28,39.11706252807738,148,0.08782792288441744,0.17105922038408236,0.395548857653333,0.0,0.4326323742354431,0.05895883243273798
29,37.24067930394986,141,0.08637957981999023,0.18816874867848565,0.4353794714922878,0.0,0.45866089324878107,0.0925453804814697
30,35.43014654841335,137,0.0847242492074818,0.2059009913512536,0.45897611295433705,0.0,0.4700804016100052,0.14846547279626143
31,33.700469995160915,123,0.08289497676456113,0.22822568949020047,0.46825313407199837,0.0,0.4704107038386399,0.2243921028256451
32,32.3729193686583,115,0.08092431721219769,0.2532895783283229,0.46650261691155775,0.0,0.46382091819429094,0.31013038621684863
33,31.161933624649098,107,0.07890180787260134,0.2762059775889096,0.45734590467193753,0.0,0.45281359417657796,0.38852499748452407
