step,total_activity,active_count,mean_fatigue,region_A_activity,region_F_activity,region_P_activity,region_Q_activity,region_R_activity
1,2.5585509307835026,17,0.00032475952641916454,0.448646470862524,0.0,0.0,0.0,0.0
2,4.1721158123492295,19,0.0007720118732991547,0.4155061161328441,0.0,0.0,0.0,0.0
3,6.246809431336903,29,0.0014770824007847199,0.4442065723460031,0.0,0.0,0.0,0.0
4,8.724273159151235,33,0.002500650929081917,0.49105666327885933,0.0,0.0,0.0,0.0
5,11.360892960265462,40,0.0038863870535145815,0.5211919669555292,0.0,0.0,0.0,0.0
6,13.995799983014214,45,0.005627915778212898,0.5269649720747348,0.0,0.0,0.0,0.0
7,16.52992494508031,51,0.007689336697206772,0.5122871419389398,0.0,0.0,0.0,0.0
8,18.916404176147676,59,0.010019763954688654,0.48373912063927577,0.0,0.0,0.0,0.0
9,21.13406452627706,64,0.012564613342247477,0.4469828453069777,0.0,0.0,0.0,0.0
10,23.324236476899717,73,0.01527078910669968,0.4062488927536208,0.0,0.0,0.0,0.0
11,25.464674046779656,80,0.018117004535448407,0.36424813339492773,0.0,0.0,0.0,0.0
12,27.528296580923165,83,0.021079930465674752,0.3224969395898876,0.0,0.0,0.0,0.0
13,29.61222796505309,92,0.024133493028030372,0.28151831198031574,0.006458890739304391,0.005663757861317231,0.01096480594769187,0.0
14,31.651469206805718,102,0.027272436468674787,0.2410947338957001,0.021378997763996887,0.019451780867645093,0.03503229246828496,0.0
15,33.58287022986569,107,0.030479843298083384,0.2005706538169764,0.0436476239337682,0.0387523407618181,0.07055130694365237,0.0
16,35.37123013565609,115,0.03372864713637487,0.15875369971262981,0.07775639647819792,0.06157308505080475,0.11583847135213733,0.0
17,37.02220942719956,122,0.036987888073172895,0.11365727387022133,0.11958169730728296,0.0983168790234152,0.16465367662193708,0.0
18,38.47189576920495,128,0.04023076353345552,0.06184131585970748,0.16525028277059053,0.14475433560631554,0.21301290100960846,0.0
19,39.70201684238668,133,0.0434211676368359,0.014563634211348578,0.21615483512652625,0.1941953659608729,0.2607691108758431,0.0
20,40.814158812947554,134,0.046523179031099815,0.0,0.2680056999798298,0.24247312508027744,0.3051089860832502,0.0
21,41.95001542084434,137,0.0495235159054175,0.0,0.3159706129523924,0.28839194158296677,0.3433701128916351,0.0
22,42.967169050098434,142,0.05243679220628406,0.0,0.35504564329481364,0.32937348332905286,0.37280199148898185,0.0
23,43.80719339881875,143,0.05524945718254911,0.0,0.3828476675605234,0.36334705258658995,0.3923066072866574,0.0
24,44.6503621023086,148,0.05793836022657272,0.0,0.3992101809022952,0.38775933673151175,0.40210113602441344,0.004438538464793321
25,45.365726126544374,156,0.06051646709809832,0.0,0.4054539899242591,0.4016484390231716,0.4033512934076143,0.01601330441005864
26,45.858572112310995,153,0.06297089403701554,0.0,0.40386748675200274,0.4061305438925741,0.3979984344567519,0.033242788826983394
