step,total_activity,active_count,mean_fatigue,region_A_activity,region_F_activity,region_P_activity,region_Q_activity,region_R_activity
1,2.943056124646229,16,0.00032475952641916454,0.4687695643919461,0.0,0.0,0.0,0.0
2,5.116527889308699,21,0.000844106597148416,0.46018912890622915,0.0,0.0,0.0,0.0
3,7.784826032716791,29,0.0017190449166789555,0.5004618334567512,0.0,0.0,0.0,0.0
4,10.712099034023286,33,0.003006795306145458,0.5394035266430328,0.0,0.0,0.0,0.0
5,13.673157575574058,41,0.004714634344410279,0.5493302363872626,0.0,0.0,0.0,0.0
6,16.34291512165186,44,0.006806887955389387,0.5337003706748376,0.0,0.0,0.0,0.0
7,18.769032953197286,56,0.009190495745160171,0.5034642575526624,0.0,0.0,0.0,0.0
8,20.935557491821232,60,0.011790639849368645,0.4675267012277185,0.0,0.0,0.0,0.0
9,22.709070771414034,63,0.014536992894148261,0.4313592307472039,0.0,0.0003493443409401587,0.0,0.0
10,24.205305960167752,70,0.01734124437437357,0.39759018449209416,0.0,0.014582992079857228,0.0,0.0
11,25.379520457238065,72,0.020145614804467662,0.36706605865404573,0.0,0.039236661003531015,0.0,0.0
12,26.251804897262108,78,0.022889713409753036,0.3399988985548492,0.0,0.06990629134397001,0.0,0.0
13,26.960957670777766,87,0.025522955487014377,0.3162791326657855,0.0,0.11809320023454044,0.0,0.0
14,27.517465192687432,88,0.02802583950158377,0.2955400640129324,0.0,0.17445242959089433,0.0,0.0
15,27.944256665785115,91,0.03038278027505429,0.2773351871259199,0.0,0.22797560397487232,0.0,0.0
16,28.3469893491048,97,0.032584050372383565,0.2611749029807246,0.0,0.27635183482435044,0.0,0.0
17,28.715748324243364,101,0.034640705838102366,0.24657949503706625,0.0,0.31896350561811515,0.0,0.0
18,28.98124689647951,103,0.03656083806508776,0.2331386586362086,0.0,0.3544550242291257,0.0,0.0
19,29.154746602378356,109,0.03833873805166889,0.22046992849062286,0.0,0.3812087354584939,0.0,0.0
20,29.194202867276978,113,0.03997137923444795,0.2080721660319842,0.0,0.3975430670287279,0.0,0.0
21,29.050400851492757,114,0.04144815434861759,0.19520303070705589,0.0,0.4037058714244308,0.0,0.0
22,28.909781002823234,110,0.042750289073410726,0.18071155099069292,0.0,0.4017518401032168,0.0,0.0
23,28.898437867989944,114,0.043895844104099004,0.16356907169424797,0.0,0.39385882456236954,0.0,0.0
24,28.914896967317258,111,0.04492471679393722,0.15988518413455302,0.0,0.38045546937032765,0.0,0.0
25,29.097103991260497,113,0.045853788295915486,0.15655520776662665,0.0,0.36258383725921794,0.0,0.0
26,29.304719671615942,110,0.04672411646468528,0.1541432270992885,0.0,0.3407773906521058,0.0,0.0
27,29.603295330140934,113,0.04754633975664475,0.15243400778652966,0.0,0.31637210401274224,0.0,0.0
28,29.885680674525666,111,0.048342323655381686,0.15115471805223535,0.0,0.2900044054542989,0.0,0.0
29,30.178554411308582,112,0.04911165641631709,0.1501984377551808,0.0,0.2622792636232359,0.0,0.0
30,30.442962960281534,111,0.04985896972680574,0.14953037418095202,0.0,0.2332261007859045,0.0,0.0
31,30.768368153917194,115,0.05058112830917795,0.1490528373618436,0.0,0.20260105860077865,0.0,0.0
32,31.13399685529374,120,0.05129208450711964,0.14854149803108777,0.0,0.17556320412175053,0.0,0.0
33,31.473857762258948,123,0.052000500466775255,0.1483469596219675,0.0,0.1539933935885308,0.0,0.0
34,31.800463418901913,122,0.05270179875052128,0.1513687706592949,0.0,0.13351954192461157,0.0,0.0
35,32.12948222032696,128,0.053394205766513256,0.15675318273640926,0.0,0.11377896234609929,0.0,0.0
36,32.41333680886532,129,0.05407906310617324,0.16353948412949412,0.0,0.09398963880154552,0.0,0.0
37,32.64662188377083,129,0.054748657447218164,0.1710172089913656,0.0,0.07391052247461587,0.0,0.0
38,32.906961269466876,132,0.05539503330570338,0.17892564701062122,0.0,0.06139346251313808,0.0,0.0
39,33.167909403152265,133,0.056025585213158084,0.18704786227805126,0.0,0.04890393163056737,0.0,0.0
40,33.64087743257769,139,0.05664200970493332,0.19414957851702078,0.0,0.043070702719570704,0.0,0.0
41,34.26528048266676,140,0.057285473253048315,0.20001007698168402,0.0,0.03728393270201429,0.0,0.0
42,35.04191781663542,138,0.05798166601824349,0.20609988950866595,0.0,0.03151533575094656,0.0,0.0
