step,total_activity,active_count,mean_fatigue,region_A_activity,region_F_activity,region_P_activity,region_Q_activity,region_R_activity
1,2.389929116177904,12,0.000375,0.0,0.0,0.43073828342875753,0.0,0.0
2,3.3173429691711043,18,0.000785611709283357,0.0,0.0,0.4191449151379516,0.0,0.0
3,4.2677716370250085,19,0.0013290523450746035,0.0,0.0,0.42345938019954105,0.0,0.0
4,5.311266149144199,22,0.0019963542925093324,0.0,0.0,0.43835949870385776,0.0,0.0
5,6.344169622163611,27,0.0027925812662229358,0.0,0.0,0.45069884604071764,0.0,0.0
6,7.310863796617128,29,0.0037028549437563194,0.0,0.0,0.45526083345193447,0.0,0.0
7,8.19794891964963,30,0.0047033564112463995,0.0,0.0,0.4512632241676662,0.0,0.0
8,8.985888456279893,34,0.005770136192556065,0.0,0.0,0.4402222882334079,0.0,0.0
9,9.66305720813451,37,0.006877976658852938,0.0,0.0,0.42430369910244026,0.0,0.0
10,10.247550059180174,37,0.008002002219492866,0.0,0.0,0.4054444375157031,0.0,0.0
11,10.780404917466825,41,0.00912321763363986,0.0,0.0,0.3850302025939743,0.0,0.0
12,11.275043393237503,48,0.010232221792300905,0.0,0.0,0.36401818539904995,0.0,0.0
13,11.758678300624135,51,0.011323070249302847,0.0,0.0,0.34302586516080635,0.0,0.0
14,12.23600954951359,53,0.012395515405739587,0.0,0.0,0.32238054198249366,0.0,0.0
15,12.718169808531751,53,0.013450215655699429,0.0,0.0,0.3022726259499353,0.0,0.0
16,13.20192315910014,56,0.01448985092922919,0.0,0.0,0.28281025879104316,0.0,0.0
17,13.71084718528698,59,0.015516226428637547,0.0,0.0,0.26410915838389537,0.0,0.0
18,14.230307940543588,60,0.0165353876330151,0.0,0.0,0.24628954947903683,0.0,0.0
19,14.769703020470562,64,0.01755003160856551,0.0,0.0,0.22953953313880343,0.0,0.0
20,15.331318791659173,67,0.018564347764047192,0.0,0.0,0.214064843542786,0.0,0.0
21,15.910058880593795,70,0.019582535261078567,0.0,0.0,0.20005045232114915,0.0,0.0
22,16.506135897143285,72,0.020607417775082047,0.0,0.0,0.1876273662061283,0.0,0.0
23,17.104314377528322,75,0.021641576478288207,0.0,0.0,0.17681142931186214,0.0,0.0
24,17.709537922299553,78,0.02268447777624595,0.0,0.0,0.1674902594252298,0.0,0.0
25,18.31364627843,81,0.02373656835905252,0.0,0.0,0.15941550716347755,0.0,0.0
26,18.895300627760058,83,0.024796720200352892,0.0,0.0,0.1522627201951278,0.0,0.0
27,19.431984493717714,85,0.025859917048022617,0.0,0.0,0.145698631890814,0.0,0.0
28,19.930938218579996,86,0.026917422435792426,0.0,0.0,0.13945663632404892,0.0,0.0
29,20.368003379683238,90,0.027962731108196928,0.0,0.0,0.1333670918111732,0.0,0.0
30,20.737031428621933,90,0.028985458631067846,0.0,0.0,0.12736411495954378,0.0,0.0
31,21.02323643609752,91,0.029975106160827672,0.0,0.0,0.12141713627660188,0.0,0.0
32,21.270953383822828,91,0.03091945237651319,0.0,0.0,0.11764893965242298,0.0,0.0
33,21.481103607556328,91,0.031815810898328654,0.004348147886051478,0.0,0.11526136564811935,0.0,0.0
34,21.669550394951905,96,0.0326619367349126,0.018130821897409954,0.0,0.11270039610187575,0.0,0.0
35,21.856195381791252,98,0.03345878376047482,0.040186552460751854,0.0,0.10953920322901534,0.0,0.0
36,22.04569474041111,98,0.034210942018513206,0.06764834925149595,0.0,0.1052699216643542,0.0,0.0
37,22.238716093266397,99,0.03492341558048896,0.10296687795344722,0.0,0.1004361245390549,0.0,0.0
38,22.426659429716846,101,0.03560083328992752,0.14550581954333883,0.0,0.09437506880292884,0.0,0.0
39,22.552190703822806,100,0.03624574860400667,0.19003066634032428,0.0,0.08553372158536507,0.0,0.0
40,22.601977770449082,99,0.03684970950057278,0.2305206850440332,0.0,0.07508072126641407,0.0,0.0
41,22.590107370988267,97,0.037402609382474715,0.2622690654877588,0.0,0.0662082643249781,0.0,0.0
42,22.584869626141824,98,0.037897993576287536,0.28635853632850844,0.0,0.0599542692722426,0.0,0.0
43,22.64763025246728,100,0.03834285727356037,0.3080389495323166,0.0,0.058814817019078244,0.0,0.0
44,22.762917152349125,101,0.038755002218541966,0.3278825714382109,0.0,0.059847202350021875,0.0,0.0
45,22.926358282068932,98,0.03914754896275322,0.34528734836796865,0.0,0.06299304848510634,0.0,0.0
46,23.12787508634002,97,0.03953148624436583,0.3588966531749986,0.0,0.06837335600879307,0.0,0.0
47,23.391632213887352,97,0.039914814198618,0.36814684285657284,0.0,0.07617238320180728,0.0,0.0
48,23.66246946650786,98,0.04030926381886008,0.37324280805383275,0.0,0.08789140290879101,0.0,0.0
49,23.94573235172281,99,0.0407150504619443,0.37460665145666844,0.0,0.10293430234641132,0.0,0.0
50,24.204291027946482,100,0.04113337023169789,0.3727439939400625,0.0,0.1204758443030243,0.0,0.0
51,24.351954396206736,101,0.041558337776268064,0.3683639303110699,0.0,0.13909945199852664,0.0,0.0
52,24.380190869740026,99,0.04196849544793002,0.36220336206820175,0.0,0.15717246148773237,0.0,0.0
53,24.30045869361204,99,0.042342931691213274,0.35483748431274703,0.0,0.17326534011158484,0.0,0.0
54,24.162906529728836,102,0.04266497452714421,0.34691339892220485,0.0,0.18610495843367805,0.0,0.0
55,24.072107983536316,104,0.04292902204875394,0.33901016414489105,0.0,0.19433050487309333,0.0,0.0
56,23.99587444535952,102,0.04314964009079161,0.3315948295873102,0.0,0.19678412114320437,0.0,0.0
57,24.06309879128076,105,0.043333902540217364,0.3249869882326673,0.0,0.19370079475116322,0.0,0.0
58,24.250125667752535,106,0.043512343309560775,0.3192902337815988,0.0,0.18506542183629487,0.0,0.0
59,24.542780391919,106,0.0437080075413083,0.3144933975602857,0.0,0.17333011160132866,0.0,0.0
60,24.93356318554155,108,0.043938978110662275,0.3104682394438154,0.0,0.15947414228573337,0.0,0.0
61,25.378182636521533,109,0.04422012339688509,0.3070345489518896,0.0,0.1437482869656595,0.0,0.0
62,25.95087246567048,113,0.04455652030154436,0.30407408178436585,0.0,0.13666177355062872,0.0,0.0
63,26.50794954985561,116,0.04496665685870315,0.30153473553027327,0.0,0.1306953719921806,0.0,0.0
64,26.99971456736379,117,0.04544023171343075,0.299512786769426,0.0,0.12633515883189758,0.0,0.0
65,27.409623287083836,114,0.0459586550234684,0.29811776150444363,0.0,0.12350816314916443,0.0,0.0
66,27.799390920835407,119,0.046502093887449775,0.2974561544492877,0.0,0.12214281533195405,0.0,0.0
67,28.1085305695075,120,0.047064270296361434,0.297582724554272,0.0,0.1233487127911394,0.0,0.0
68,28.351547314220383,120,0.04762819274850795,0.29847969775869765,0.0,0.1273331069045079,0.0,0.0
69,28.497800730831656,120,0.048181288595073486,0.30013918400358514,0.0,0.13336243284081692,0.0,0.0
70,28.586666296549975,120,0.048706497372597066,0.30249899973763394,0.0,0.1401953360683868,0.0,0.0
71,28.682903175808534,123,0.04919584756594048,0.3053914685160843,0.0,0.1478729311732095,0.0,0.0
72,28.754690237506004,125,0.049654307154810534,0.3084898605259955,0.0,0.1584480927129827,0.0,0.0
73,28.79336346117281,124,0.050080380858861864,0.31158260479341915,0.0,0.17153090588867062,0.0,0.0
74,28.784475075510453,126,0.050471098421945575,0.3143846582174214,0.0,0.18617869280888022,0.0,0.0
75,28.716899023597175,128,0.05082107765640923,0.3165890819832838,0.0,0.20077578283648587,0.0,0.0
76,28.578007073119476,128,0.051123388457692785,0.3178576912964101,0.0,0.21351845546196643,0.0,0.0
77,28.395675456380474,126,0.05136942593813341,0.31783492429375143,0.0,0.22285429724111777,0.0,0.0
78,28.227159735657533,126,0.051556672492391396,0.31613812290627075,0.0,0.22803447305429964,0.0,0.0
79,28.00779943152656,124,0.05169359769358805,0.3123547113175438,0.0,0.2294253759607615,0.0,0.0
80,27.861843563924367,123,0.05177570031764048,0.30610579616440137,0.0,0.22763566950299058,0.0,0.0
81,27.725432081563284,125,0.051822225954112254,0.2969306113138966,0.0,0.22300049519532097,0.0,0.0
82,27.52257307833767,122,0.051838521873994146,0.28422098409753854,0.0,0.2159637402836571,0.0,0.0
83,27.284526049944148,122,0.051815152138783044,0.26694059607484305,0.0,0.207360835781762,0.0,0.0
84,26.887595603617747,116,0.05174948555926926,0.2425567488495113,0.0,0.19895587437776333,0.0,0.0
85,26.488279127351916,113,0.05161596117902067,0.20899879650150868,0.0,0.19319607608077605,0.0,0.0
86,25.98338580504973,110,0.05142091739749709,0.1727491257681626,0.0,0.1917918091254781,0.0,0.0
87,25.50785562800561,108,0.051150710496194206,0.15246975480912886,0.0,0.19601527573471425,0.0,0.0
88,25.01773596097359,104,0.05081836237682583,0.12825755145513254,0.0,0.20634697284395748,0.0,0.0
89,24.465280901245727,97,0.050427351631825795,0.103629586213274,0.0,0.22190856960787125,0.0,0.0
