step,total_activity,active_count,mean_fatigue,region_A_activity,region_F_activity,region_P_activity,region_Q_activity,region_R_activity
1,3.4652883968828343,15,0.00032475952641916454,0.0,0.4837097377201185,0.0,0.272459702020188,0.027059989555083798
2,6.566607293645514,24,0.0009420251481927794,0.0,0.5084889678072417,0.0,0.4328521143212234,0.07071238040523994
3,10.38798651589316,32,0.0020790615009320355,0.0,0.5693821229233583,0.0,0.5353147655545207,0.14007810255410566
4,14.362010914184278,41,0.003818902822568799,0.0,0.5962818915786801,0.0,0.5846931981498408,0.2462201101318687
5,18.00775556260526,46,0.006129889586721472,0.0,0.5789839555413151,0.0,0.5880035642207198,0.37305103640387255
6,21.108511921977897,52,0.008893354796037811,0.0,0.5377053680336256,0.0,0.5638732346662412,0.4818349444782328
7,23.635501176941155,60,0.011961865301804885,0.0,0.4877904418349443,0.0,0.5280769942752099,0.5430918013351972
8,25.471602778567544,62,0.015197335242300861,0.0,0.43817459927951846,0.0,0.4897520118589032,0.557115801091312
9,26.713382633854692,69,0.018453527239052196,0.0,0.39309312228306553,0.0,0.4529263183679336,0.5418275012176057
10,27.354159906175013,73,0.021616933758994726,0.0,0.35343437384323456,0.0,0.4186266250694501,0.5125814381418955
11,27.491221655001002,75,0.02458414536550307,0.0,0.31866345305038385,0.0,0.3870704500417136,0.47846816173548057
12,27.253277724021103,80,0.027280334889265453,0.0,0.2877545439452114,0.0,0.35806856585126673,0.4440115041646675
13,26.76922090912162,81,0.029662290973592867,0.0,0.2597506179829587,0.0,0.3312857568304159,0.41104132680030964
14,26.126851151277812,85,0.03171529079669388,0.0,0.23379921822197405,0.0,0.306354663996128,0.3800825433675138
15,25.3859232944614,88,0.03344254630788909,0.0,0.20909402109793618,0.0,0.2829302652659046,0.3510665341186727
16,24.592776314006112,90,0.03485815229481169,0.0,0.18476278343847197,0.0,0.26063687663133484,0.32357680441871234
17,23.754106936375912,92,0.03598348262420667,0.0,0.15972643759233054,0.0,0.23900398280028973,0.29700001331492076
18,22.852206691845623,94,0.036839029412356485,0.0,0.13244240736834048,0.0,0.21734968746214256,0.27050301976428653
19,21.862972752044843,97,0.037439915225841884,0.0,0.10041139842879787,0.0,0.19462928321996661,0.2428361466393745
20,20.782044783488878,95,0.03779523109426611,0.0,0.06449543852588217,0.0,0.16904570377531603,0.21180149844551055
21,19.708943563019446,92,0.03791234138174367,0.0,0.03646728879657648,0.0,0.13728809763474997,0.17335559962505992
22,18.73598570069211,89,0.03781653416163545,0.0,0.019895831246132447,0.0,0.0946087955834951,0.13187572102337985
23,17.84358571782882,88,0.03754787806435167,0.0004559056899024239,0.0002955546122802015,0.0,0.05922578407264977,0.09195658176575337
24,17.036928389344897,86,0.03713876258000941,0.004654158669808689,0.0,0.0,0.032961509727793936,0.05317838893333722
25,16.547863900701866,85,0.03661931039501064,0.012320579941042131,0.0,0.0,0.018619037728029145,0.016629137647783964
26,16.407005885680896,83,0.03606010383689117,0.022639099077599593,0.0,0.0,0.002812238871721214,0.0
27,16.563942936627605,82,0.03553040705676722,0.03465463530058454,0.0,0.0,0.0,0.0
28,17.12699743518099,85,0.03508310565170818,0.04762438030363254,0.0,0.0,0.0,0.0
29,17.928424380007,86,0.0347861071056338,0.06297984652366788,0.0,0.0,0.0,0.0
30,18.961705028562292,90,0.034669075966321725,0.08062747734093798,0.0,0.0,0.0,0.0
