step,total_activity,active_count,mean_fatigue,region_A_activity,region_F_activity,region_P_activity,region_Q_activity,region_R_activity
1,3.2981969266948554,23,0.00042371392896287466,0.0,0.08688571536486006,0.4446952131586963,0.03490945012399997,0.00198823474727231
2,5.3004440286132946,29,0.0009997544598218727,0.0,0.10250245888888514,0.45769160656430063,0.05996166337505114,0.005450571323140171
3,7.882910968125346,41,0.0018936122692046781,0.0,0.13939104662122995,0.4886612444165835,0.09391603933116444,0.00994786809724738
4,11.161245248883532,55,0.0031822968488077123,0.0,0.19837547725669805,0.5185556903169836,0.14198924582862174,0.017838635657230408
5,15.05458186998405,69,0.004956800648092604,0.0,0.27422004452062937,0.529358952154185,0.20644827343086725,0.031364725073816234
6,19.551459654481402,78,0.007283854683905352,0.0,0.35716113743171807,0.519584238513064,0.2834447780240772,0.05265567523210415
7,24.503383123574586,92,0.01022136790073008,0.0,0.4316608672325925,0.4936563598342447,0.36106552883126913,0.08346871234620779
8,29.649530915506823,101,0.013793615446327307,0.0,0.48263665332323824,0.4571058922022161,0.42422976224817377,0.12246147843246044
9,34.660742131267334,112,0.01797354094835211,0.0,0.5036062492565976,0.41450225741595836,0.4628850397412433,0.16930052301014195
10,39.36183660691948,126,0.02267507600312952,0.0,0.49816166600956996,0.3691557544338101,0.47608994253963766,0.22076364155011388
11,43.57396746317916,136,0.02778791276661397,0.0,0.4745742213847468,0.3230866152340288,0.4693029700309568,0.2722035616162954
12,47.15038603062955,147,0.03317924038929867,0.0,0.4407508793688479,0.2774292520705357,0.4494238309798703,0.3188913922661379
13,50.132758153022564,156,0.038702013731111845,0.0041574330306433675,0.4023441486785863,0.23252499910988955,0.42193102489649537,0.356614754619666
14,52.7461911933268,171,0.04423170451169239,0.018131625754426513,0.36265757194434317,0.1879009704242336,0.390083377436723,0.3828434748935815
15,55.05267315394158,185,0.04969844490927193,0.03929862741976946,0.3231042806944692,0.14221842235965423,0.3554605075272315,0.39724391899831535
16,56.9770877256546,193,0.05505097663470878,0.06299328546686707,0.2840067645557933,0.0931506866934873,0.31881743302388665,0.40119283646391063
17,58.43597155975588,198,0.060229082919798144,0.08951940142232846,0.2450140950392188,0.03722047386612489,0.28049888347797064,0.3970305673903374
18,59.45155011655076,206,0.06516291929527256,0.11947076346070805,0.2053497084553955,0.0,0.24061811001117683,0.38642435635538197
19,60.05651071993938,204,0.06979379301259855,0.15613819415716834,0.16378420213782616,0.0,0.19893133988546347,0.3702726350642216
20,60.1315268538796,213,0.07407500947132735,0.20024395656105168,0.11832554867513112,0.0,0.15444387120002273,0.34928360039322276
21,59.60338516343562,213,0.07794216980929702,0.249441999452669,0.06551984527673334,0.0,0.10483979257479388,0.3242871364179881
22,58.547704720679036,206,0.0813235875465115,0.2992946321582341,0.00954432902911896,0.0,0.04532202911216659,0.2961525003742374
23,57.409463580840736,206,0.08416892342698769,0.34373797591831656,0.0,0.0,0.018468089677443244,0.2654423718972153
24,56.10424133156302,202,0.08651630550569656,0.377638625410683,0.0,0.0,0.005160660235202278,0.2314035739515075
25,54.57397083630191,195,0.08838422020479496,0.3989787067163532,0.0,0.0,0.0,0.19405114283644065
26,52.99703143166034,187,0.08977841771612208,0.4088198542327393,0.0,0.0,0.0,0.15950296666575334
