step,total_activity,active_count,mean_fatigue,region_A_activity,region_F_activity,region_P_activity,region_Q_activity,region_R_activity
1,2.9811524642823795,22,0.00042371392896287466,0.0,0.09556737674035072,0.42151883887199054,0.050418523714052935,0.00345961898969133
2,4.7982623543031355,34,0.0009403086231195335,0.0,0.1377145311371869,0.3981996300034834,0.1077875918404326,0.010451315068521046
3,7.632879582004657,46,0.001745951952239418,0.0,0.22453397817938203,0.39320708991058206,0.1961935138688347,0.02578894078283774
4,12.205419190495025,61,0.0030025216786413495,0.0,0.34507393220604854,0.4023141624481598,0.319797179895207,0.058971681855521804
5,18.72012483712954,79,0.004990785608995032,0.0,0.46142982934655086,0.4123456712866584,0.44912529132025036,0.12434520839047584
6,26.614386664289242,94,0.008001730455057317,0.0,0.5288057733223834,0.4165881747654807,0.5329260639785011,0.22763513579648842
7,34.99049561432349,109,0.012191754909105817,0.005918868427004083,0.5326649366223921,0.4129200968021931,0.5493177191791859,0.35294796852320914
8,43.03997719583959,120,0.01753329734588089,0.0320198434735448,0.49491402853138705,0.4020874127285931,0.5176777174217666,0.4606446509574691
9,50.425365455722954,139,0.023849963335512724,0.0795236324393203,0.4434893747077509,0.38577413080779566,0.465465292545472,0.5180965353920023
10,56.88883806562415,153,0.03091972302490951,0.16048118931790253,0.3938471692207983,0.36516868829660243,0.41040107705469,0.5247926613121571
11,62.08094416546635,164,0.03849440785972309,0.24830716846084466,0.35067313737179523,0.3398114057987183,0.36061308035139633,0.4986476906190676
12,65.88877798855543,175,0.046285144104775716,0.3190926552948259,0.3143074560046311,0.30592982767864096,0.3179877433760674,0.457188014711095
13,68.39134237716695,189,0.05401077556715229,0.38211139723208104,0.28405367871503134,0.25694166308123995,0.28182725094623523,0.4113015798172617
14,69.7206034338506,194,0.06143307470615587,0.4300660590596115,0.25903914337997486,0.18457759924700784,0.2510870554276462,0.36698153915730797
15,70.00782308910092,197,0.06836238037938726,0.4550288529659014,0.23842319952323351,0.08969396353689003,0.22496286133920876,0.3269375259254894
16,69.76322552814133,205,0.07465260917065497,0.45819728197099446,0.2216792171909733,0.03751172475893902,0.20287129481790328,0.2922120742308428
17,68.86176422425679,209,0.08026795304011597,0.44652365441391034,0.20854393876447921,0.011375735413875564,0.18430693181916544,0.2626648538837886
18,67.43323378657811,212,0.08515273852815253,0.42509072322031777,0.19929039710899557,0.0,0.1692580508033923,0.23812793345784627
19,65.4185186853937,215,0.08928119601032065,0.3971728447364668,0.1945486821138334,0.021425376171428517,0.1581681475975841,0.21835346511560316
20,62.99307645312261,215,0.09261904866279994,0.3642433338844202,0.1955731003925114,0.06684183517424765,0.15228267638064405,0.2034392491806688
21,60.284203798301704,213,0.09516834563148042,0.3269665830064313,0.2041863291447853,0.12448511435302917,0.15391041362161928,0.19375223719127657
22,57.41225364744423,207,0.09695479928051395,0.28230964865513813,0.22112294507953908,0.17388090661326122,0.16512621050291393,0.1900301790194071
23,54.48790743544629,195,0.09802411691135834,0.22550168313867403,0.24574832937882826,0.20888957443384865,0.18692864295453326,0.19335108152411595
24,51.89669381427142,189,0.0984381878643687,0.1801042735938212,0.2767584030387491,0.23002338593350286,0.2195569105034666,0.20489483649956164
25,49.58575972849118,184,0.0983249991681077,0.1377022314198214,0.31144806330850905,0.2402555356841672,0.2616266584443675,0.2253078721615205
26,47.86140017889256,176,0.09778982920038905,0.0935787338563277,0.34481331389989517,0.2443809492567075,0.30876515784045666,0.25427494942105233
27,46.78633504504282,170,0.09698485881389249,0.07135527616578147,0.370223107184713,0.24906168555395136,0.3530661620182005,0.28918263702720265
28,46.578138251018785,162,0.09605881075344878,0.04882755015354013,0.38218785521451126,0.25987230582168597,0.38580239120745174,0.32387164583718875
29,47.080681040237856,160,0.09518633060016993,0.026965883512897706,0.37886952275857516,0.272290878887489,0.4015685400235103,0.3512611874584283
30,48.138432024657,154,0.09449532523519753,0.004486147070886945,0.3622370871501526,0.27979518536263115,0.39944837590434856,0.36757519797226335
31,49.49344102495816,163,0.09407174871630096,0.0,0.33546604082718506,0.27722266852654787,0.3813051779029742,0.3719133835754455
32,50.93034707591373,163,0.09394459403685054,0.0,0.3029141188093527,0.25691924696861645,0.3518761275764568,0.3648559400242822
33,52.50398900265454,162,0.09409957470989931,0.008667987740820945,0.2679271018569947,0.21398116896047403,0.3157182800124857,0.34800949514568574
34,53.990869533792576,174,0.0945341151769071,0.04149909948016412,0.23268807941318861,0.15821390239366695,0.2762925350660216,0.323516727378196
35,55.27366000867234,171,0.09520399169680248,0.08550689775622734,0.19783457021923148,0.11627460700191895,0.23580170076776386,0.2936809947014977
36,55.93102259289566,176,0.0960474037787483,0.15356133807677713,0.1625447015642665,0.09280510585180769,0.19474646088582212,0.26013294646272384
37,56.13587636591432,181,0.09692973013704141,0.22495997179385463,0.12487052574313429,0.07425020700245423,0.15187857423005177,0.224232186532901
38,55.440873286952154,186,0.09776223394194619,0.276377982547344,0.08087837903419533,0.06352426895504004,0.10349746914651636,0.18568460218870286
39,53.71007694216276,179,0.09838117428905511,0.3158155633575828,0.022977294230925368,0.055874445168565434,0.042255264270392175,0.14309103682629992
40,51.65768134805412,167,0.09861369628680512,0.36146717944704515,0.0,0.0463283271415154,0.0,0.0902604829078452
41,49.25435761664487,155,0.09843814191088476,0.4008033875766726,0.0,0.0338499361584801,0.0,0.02685515957951651
42,46.982995649099934,150,0.09782951977291719,0.42612314777340243,0.0,0.024925721567356268,0.0,0.0
43,44.691035887334245,141,0.09685587947983174,0.4365672187605993,0.0,0.03674880947787883,0.0,0.0
44,42.14664353374012,131,0.09554986076072372,0.4349925775580307,0.0,0.09060577780237788,0.0,0.0
45,39.94369097027856,123,0.09389737034722763,0.42179578122808853,0.0,0.16048086322004562,0.0,0.0
46,37.610246862434316,119,0.0919970753694321,0.3958066109875837,0.0,0.22044884221726027,0.0,0.0
47,35.248499111233194,112,0.08984928911919532,0.35522702641613996,0.0,0.260711389029829,0.0,0.0
48,32.874225331652234,101,0.08747345379063202,0.3032286784899588,0.0,0.28707600954958823,0.0,0.0
49,30.711825462530296,93,0.08489002566125362,0.24925073336187356,0.0,0.3069340291621427,0.0,0.0
