step,total_activity,active_count,mean_fatigue,region_A_activity,region_F_activity,region_P_activity,region_Q_activity,region_R_activity
1,2.857635288394059,18,0.000375,0.0,0.0,0.4448018425365373,0.0,0.0
2,4.498290765673883,18,0.000873306616573886,0.0,0.0,0.4579604996164216,0.0,0.0
3,6.493961788372319,26,0.0016294054734803504,0.0,0.0,0.4891955077192312,0.0,0.0
4,8.843307425529844,34,0.0026840827614521253,0.0,0.0,0.519433544530391,0.0,0.0
5,11.378530131126066,42,0.004073794627593759,0.0,0.0,0.5306626417824976,0.0,0.0
6,14.04095919916667,47,0.005799889564420521,0.0,0.0,0.5214143272244433,0.0,0.0
7,16.78250467091865,56,0.007852580457822219,0.0,0.0,0.4961164868590729,0.0,0.0
8,19.571931756623563,62,0.010214042037837245,0.0,0.0,0.46026713409137077,0.0,0.0
9,22.374926870020516,68,0.012862375038420438,0.0,0.0,0.41841534638633066,0.0,0.0
10,25.176817467330103,80,0.01577143632270724,0.0,0.0,0.37379437561381085,0.0,0.0
11,27.857230705538136,86,0.01891494596556091,0.0,0.0,0.32844044132527017,0.0,0.0
12,30.320502357212323,90,0.022246682126293223,0.0013430410634273692,0.0,0.2835753646345844,0.0,0.0
13,32.62377733838271,101,0.02570710810564121,0.013970340376162753,0.0,0.23963257509611574,0.0,0.0
14,34.707086075951295,107,0.02925335554602385,0.03740081509956814,0.0,0.19624596537533245,0.0,0.0
15,36.59012285224305,114,0.03283559863066233,0.07354664267298038,0.0,0.15236724696799248,0.0,0.0
16,38.2882663659515,123,0.036412686802391674,0.1211659237248463,0.0,0.10601833574887252,0.0,0.0
17,39.83608625494185,131,0.039950468065768414,0.1718086151155641,0.0,0.05382012020530008,0.0,0.0
18,41.23910574581137,138,0.04342468743199317,0.22655997631353778,0.0,0.006741902780263132,0.0,0.0
19,42.52360260284492,137,0.04681455101613349,0.27992012336956784,0.0,0.0,0.0,0.0
20,43.73517049693656,146,0.050106271402553554,0.3256715098793508,0.0,0.0,0.0,0.0
21,44.73860072387911,151,0.05329598873047381,0.3602682557172106,0.0,0.0,0.0,0.0
22,45.52561589684075,150,0.05635487749315376,0.38428004871728566,0.0,0.0,0.0,0.0
23,46.123546249860915,155,0.05925544272449603,0.39999843988899597,0.0,0.0,0.006310262043920852,0.0
24,46.449541143048044,154,0.061978063373895345,0.4091171625429983,0.0,0.0,0.02188947627961689,0.0
25,46.616539609774854,153,0.06448954600082732,0.412399806938581,0.0,0.0,0.04758663052792158,0.0
26,46.62424169608016,158,0.06678119257757738,0.41015228964618605,0.0,0.0,0.07968999429990298,0.0
27,46.40082818297719,160,0.06884511863783468,0.40237873773975147,0.0,0.0,0.11814680482701452,0.002462966485936009
28,46.07327690980527,156,0.07066076205835943,0.39001099202818024,0.0027749319731630636,0.0,0.16163417257102536,0.01355950867312336
29,45.86013145006824,156,0.07223342527311198,0.3735778105747798,0.017955626464619876,0.0,0.21193870996003725,0.030920880443833586
30,45.409715929649174,151,0.07360885739268858,0.35273579868077,0.041605288037000906,0.0,0.2631216896072773,0.05525937022904089
31,44.90833542585865,154,0.07476229339022894,0.3286366530382231,0.07707074016527705,0.0,0.30872354998510904,0.10095630229317747
32,44.257481759726545,151,0.07570637694355456,0.3013148461168445,0.12055801028092161,0.0,0.3444539163852355,0.16301443146189717
33,43.499311682954385,151,0.07643401707914782,0.27103014025848365,0.17489357206002643,0.0,0.3694654537946475,0.23039272975758548
34,42.57191239995525,151,0.076946736311787,0.23901290481632428,0.23073829239482913,0.0,0.3848168392012127,0.2910046686066511
35,41.425111282088366,146,0.0772342962555999,0.20537925707765434,0.2806950716174618,0.0,0.3922941951117515,0.33766363053272175
36,40.1491098739653,144,0.07727807499543146,0.1687711171921563,0.32070728957291145,0.0,0.3935729483716024,0.36982572427861643
37,38.691432603773386,139,0.07707822559725683,0.13460258406018424,0.3488374686100378,0.0,0.3901058755877266,0.3900837722974849
38,37.05563096584565,130,0.07662504665073865,0.11018627784431219,0.36597994529146716,0.0,0.38290528499953913,0.400838553617675
39,35.42623061618883,128,0.07591047279176084,0.0834931186511777,0.37446414789534227,0.0,0.37274352963571006,0.403789379917897
40,33.7470511127641,120,0.07496184375312016,0.05515792709716791,0.37647766137393934,0.0,0.36015442681304877,0.40010565658195696
41,32.100406390167066,115,0.07379323146145142,0.027916464245940645,0.37439049512665207,0.0,0.34565646013857865,0.39125788854249294
42,30.440722428226373,105,0.0724327345134626,0.010645012165641012,0.37002146415665216,0.0,0.3294774380091341,0.3789748567074695
43,28.749445860622288,102,0.07089709651740879,0.0,0.36448989111103586,0.0,0.31237445119763574,0.3651972185118258
44,26.994854039660773,97,0.0691979079645346,0.0,0.35813518892946017,0.0,0.29446227671190395,0.35145130176776035
45,25.22988423032138,94,0.06733965230051751,0.0,0.3512559578123853,0.0,0.2760245679132133,0.33834145863141524
46,23.426850744273437,89,0.06533629036365103,0.0,0.34371163815772604,0.0,0.25697527046928303,0.3260846051171046
47,21.669751794369844,82,0.0631951958418372,0.0,0.33574103394538635,0.0,0.2372662477759992,0.3145347634366084
48,20.06173015892702,78,0.060938754719097835,0.0,0.3272871521731268,0.0,0.21661225247214955,0.30328903424825493
49,18.58156714478058,74,0.05860645365198687,0.0,0.3181455435667749,0.0,0.19544319010634187,0.2917656027366104
50,17.26725784359718,71,0.05622985212643453,0.0,0.3081721028708735,0.0,0.17335948533132778,0.27933338147712183
51,16.030640488146396,66,0.05384447775946556,0.0,0.29715152069282585,0.0,0.15162113953839423,0.26529143550339224
52,14.912086367651845,63,0.05146577507504645,0.0,0.2851246199516111,0.0,0.13026361051828336,0.2497886587422561
53,13.928688792534512,61,0.049115213761476526,0.0,0.27201266265057705,0.0,0.1106204506811621,0.23297217458264136
54,13.00847362581409,59,0.046815321533929095,0.0,0.2579396623902876,0.0,0.09610226938353222,0.21522280932205284
55,12.171252082143205,56,0.04457287818537633,0.0,0.24355339584989247,0.0,0.08229511508905328,0.19698042839102647
56,11.394174158860825,54,0.04239770013224055,0.0,0.22892460753979496,0.0,0.0689832611365273,0.17862477696679685
57,10.675826261136088,52,0.040294337773802896,0.0,0.21395480035962086,0.0,0.056038669955367465,0.16049876799805587
58,10.030575844326666,49,0.03826662142038562,0.0,0.19873372531982259,0.0,0.04732659636631515,0.142621027614046
59,9.454377141031781,48,0.03632069224915832,0.0,0.1840498962610679,0.0,0.03925307468766827,0.12520974815369237
60,8.972020460638408,47,0.03446131873818595,0.0,0.17018039858985554,0.0,0.03190077062696907,0.11192243002443733
61,8.546353111721896,46,0.03269744070073705,0.0,0.15723862084567,0.0,0.025283714432777073,0.1017789247928593
62,8.17717661960932,45,0.0310301378391112,0.0,0.14547578862021684,0.0,0.019494920385942274,0.09362647371515734
63,7.877725670057489,45,0.02946034467137683,0.0,0.13495025081888415,0.0,0.014497577621357404,0.08747215780173961
64,7.643871572328705,45,0.027991383767374926,0.0,0.1256687491384319,0.0,0.010249469306246274,0.08339098445961485
