brain,checkpoint,mode,cue,P_peak_activity,P_cumulative_activity,P_final_activity,trial_similarity,experience_similarity,P_peak_gain_vs_local,P_cumulative_gain_vs_local
1,0,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,0,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,0,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,0,local,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,0,local,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,0,local,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,0,field,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,0,field,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,0,field,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,100,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,100,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,100,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,100,local,A,0.4835485851805658,19.12633194100025,0.0,1.0,0.5295827837134717,0.0,0.0
1,100,local,F,0.471543721957176,18.026131065698976,0.32401507490764614,1.0,0.523337305852428,0.0,0.0
1,100,local,P,0.6189702237570522,21.54408155008163,0.15751836349846682,0.9999999999999998,0.0,0.0,0.0
1,100,field,A,0.5372179344338065,27.258957192908873,0.3184778237687807,1.0,0.9411049435403929,0.053669349253240684,8.132625251908625
1,100,field,F,0.5357751248121039,23.810671682917523,0.313721927985406,1.0000000000000002,0.9446932717914425,0.0642314028549279,5.784540617218546
1,100,field,P,0.6811655887014048,39.84202142846347,0.31578785618526245,1.0,0.0,0.062195364944352516,18.29793987838184
1,200,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,200,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,200,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,200,local,A,0.4796892005976717,8.81138520412868,0.0,1.0,0.6852963635763442,0.0,0.0
1,200,local,F,0.4812064573296679,8.052555610148598,0.0,1.0,0.5073490364511297,0.0,0.0
1,200,local,P,0.630029992778082,12.207643027505206,0.2898266089810307,0.9999999999999998,0.0,0.0,0.0
1,200,field,A,0.0,0.0,0.0,1.0000000000000002,0.6351747088258646,-0.4796892005976717,-8.81138520412868
1,200,field,F,0.0,0.0,0.0,0.9999999999999998,0.7932957210110285,-0.4812064573296679,-8.052555610148598
1,200,field,P,0.6975921200344904,41.083348795540594,0.3272486375587226,0.9999999999999998,0.0,0.06756212725640842,28.875705768035388
1,300,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,300,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,300,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,300,local,A,0.0190233527538247,0.21145218092946597,0.0,1.0,0.5613202066313194,0.0,0.0
1,300,local,F,0.0,0.0,0.0,0.9999999999999998,0.35936744564699286,0.0,0.0
