step,total_activity,P_activity
1,3.997378985880541,0.0
2,7.316734412298787,0.0
3,10.454840760074454,0.0
4,13.259166583991075,0.0
5,15.711633456648318,0.0
6,18.09087470178668,0.0
7,20.48593538833191,0.0
8,22.995069513830984,0.0
9,25.750558817183233,0.0
10,28.8604755049738,0.0
11,32.302743028844525,0.0
12,35.817044040297624,0.0
13,39.381383095555414,0.0
14,42.560321137976175,0.0
15,45.224759675647064,0.0
16,47.4162869927391,0.0
17,49.16264004518969,0.0
18,50.514329541506406,0.0
19,51.3035862355804,0.0
20,51.488880926067445,0.0
21,51.22396107711064,0.0
22,50.733233802091306,0.0
23,50.09636098017185,0.0
24,49.42453103064553,0.0
25,48.80517871891273,0.0
26,48.14733063551057,0.0
27,47.267497555155416,0.0
28,46.28228842451354,0.0
29,45.38659068273622,0.0
30,44.64635873984882,0.0
31,44.089593334310464,0.0
32,43.708204375249906,0.0
33,43.44685370244744,0.0
34,43.26125015195953,0.0
35,43.167433462252745,0.0
36,43.11828857915401,0.0
37,43.08890386912505,0.0
38,43.066430088096,0.0
39,43.06129237523421,0.0
40,43.06110674232141,0.0
41,43.080823370130105,0.0
42,43.147388474329574,0.0
43,43.250657198890835,0.0
44,43.42891213350657,0.0
45,43.67390329274864,0.0
46,43.94389121577401,0.0
47,44.22763109603831,0.0
48,44.51792527681087,0.0
49,44.802516670266016,0.0
50,45.05162937113821,0.0
51,45.25959979387957,0.0
52,45.42085889366382,0.0
53,45.5171794356683,0.0
54,45.5623517895129,0.0
55,45.58114968058945,0.0
56,45.56896415071178,0.0
57,45.529786514494475,0.0
58,45.47147832857115,0.0
59,45.39278463765283,0.0
60,45.2899371853162,0.0
61,45.16981121854441,0.0
62,45.0239410780422,0.0
63,44.83970795331379,0.0
64,44.63854515808863,0.0
65,44.37118843473691,0.0
66,44.1115572778898,0.0
67,43.851429771806316,0.0
68,43.6381025297824,0.0
69,43.40410896079352,0.0
70,43.21625749741597,0.0
71,43.0903462008838,0.0
72,42.959545948368344,0.0
73,42.87866391910394,0.0
74,42.846220957085876,0.0
75,42.82422816508188,0.0
76,42.828334217286255,0.0
77,42.85189915304042,0.0
78,42.90547086019529,0.0
79,42.96228901666918,0.0
80,43.01967352669028,0.0
81,43.074896388523804,0.0
82,43.13342236885274,0.0
83,43.19707187509054,0.0
84,43.26718091128298,0.0
85,43.35632777845575,0.0
86,43.47228231263143,0.0
87,43.61627082070339,0.0
88,43.800293518980304,0.0
89,44.024114312834,0.0
90,44.279528688193466,0.0
91,44.55069631252975,0.0
92,44.80987808376219,0.0
93,45.050302490111406,0.0
94,45.255441664104985,0.0
95,45.40064224785219,0.0
96,45.50941545034317,0.0
97,45.57780061900412,0.0
98,45.59995957905946,0.0
99,45.58498939630087,0.0
100,45.533962729924674,0.0
101,45.44603117353421,0.0
102,45.32049637583192,0.0
103,45.16640667836751,0.0
104,44.965166104671695,0.0
105,44.74210603530134,0.0
106,44.46213913707598,0.0
107,44.1633261861376,0.0
108,43.90535210624129,0.0
109,43.669043201644556,0.0
110,43.469144360176614,0.0
111,43.27852727346901,0.0
112,43.178749732601084,0.0
113,43.08226070321434,0.0
114,43.018937421374176,0.0
115,43.01093745631239,0.0
116,43.004441955751204,0.0
117,43.011639887705975,0.0
118,43.029259278795365,0.0
119,43.067512971598305,0.0
120,43.103961325940496,0.0
