step,total_activity,P_activity
1,4.26305516533703,0.0
2,8.439454964323708,0.0
3,13.22768784088692,0.0
4,18.28455174340063,0.0
5,23.521813320126846,0.0
6,28.700982311072444,0.0
7,33.54167728074276,0.0
8,37.66613425831356,0.0
9,41.26434302918058,0.0
10,44.61199882938976,0.0
11,47.61381518634412,0.0
12,50.184356403903365,0.0
13,51.95986655950054,0.0
14,53.028809248245295,0.0
15,53.327059557315415,0.0
16,52.96033638425437,0.0
17,52.15962285126216,0.0
18,50.82134496213881,0.0
19,49.324380275106165,0.0
20,47.573141991405535,0.0
21,45.84020178512938,0.0
22,44.22986992943301,0.0
23,42.99655140346935,0.0
24,42.23981250998227,0.0
25,41.88749078782034,0.0
26,42.04694056199787,0.0
27,42.576944723688825,0.0
28,43.32044272922492,0.0
29,44.154687505631415,0.0
30,44.991351114105385,0.0
31,45.76551094712987,0.0
32,46.27781315412719,0.0
33,46.57189381076829,0.0
34,46.71119270149604,0.0
35,46.741768252518575,0.0
36,46.6931108665267,0.0
37,46.582187019254704,0.0
38,46.47754065760238,0.0
39,46.3927658033719,0.0
40,46.31723518191706,0.0
41,46.19470434806652,0.0
42,45.99640613960925,0.0
43,45.705772968713944,0.0
44,45.3382929726604,0.0
45,44.93318669615191,0.0
46,44.530493670672925,0.0
47,44.141819852815,0.0
48,43.82978467139205,0.0
49,43.55739107722058,0.0
50,43.38575580581244,0.0
51,43.203650102895885,0.0
52,43.01940830332569,0.0
53,42.86508889304535,0.0
54,42.721021127038384,0.0
55,42.61395876927176,0.0
56,42.561833730108305,0.0
57,42.56196809906233,0.0
58,42.62662564539292,0.0
59,42.71499557373248,0.0
60,42.81840796892706,0.0
61,42.93369691137181,0.0
62,43.04768385716023,0.0
63,43.16435807045123,0.0
64,43.300186105525356,0.0
65,43.4621398823383,0.0
66,43.64875326703599,0.0
67,43.86586496499489,0.0
68,44.12156470792281,0.0
69,44.39573455452465,0.0
70,44.672838417814646,0.0
71,44.92392548078915,0.0
72,45.1405188062396,0.0
73,45.30776007308786,0.0
74,45.413345679171606,0.0
75,45.48830534249202,0.0
76,45.52758956011837,0.0
77,45.53124496685876,0.0
78,45.50631703201141,0.0
79,45.45255730832136,0.0
80,45.36640684614,0.0
81,45.245230162106324,0.0
82,45.088345948708124,0.0
83,44.88398528414306,0.0
84,44.65778223757183,0.0
85,44.36584487210651,0.0
86,44.07934974144952,0.0
87,43.803012860130124,0.0
88,43.57589288826426,0.0
89,43.339718219373786,0.0
90,43.15406920737875,0.0
91,43.03567656685695,0.0
92,42.91899705566057,0.0
93,42.86470782278258,0.0
94,42.846860731370015,0.0
95,42.838786517913704,0.0
96,42.84930239058037,0.0
97,42.87696935462306,0.0
98,42.92985906143186,0.0
99,42.98574218099203,0.0
100,43.04108487686526,0.0
101,43.093272079470815,0.0
102,43.15117984259524,0.0
103,43.213477309661,0.0
104,43.28358043633453,0.0
105,43.374243919649786,0.0
106,43.491933993630894,0.0
107,43.63867407787184,0.0
108,43.82336089346653,0.0
109,44.046621629661516,0.0
110,44.29936239511411,0.0
111,44.56305699546416,0.0
112,44.81342192436679,0.0
113,45.04319756105873,0.0
114,45.23429281057697,0.0
115,45.36519189851525,0.0
116,45.46311903355114,0.0
117,45.52570819943965,0.0
118,45.54616190706082,0.0
119,45.535145968282734,0.0
120,45.49186874381825,0.0
