step,total_activity,P_activity
1,5.086143981663945,0.55490237656945
2,10.452701850504932,0.6486692291665435
3,16.685387157441106,0.6675297633110511
4,22.337913390345847,0.6265190769064164
5,26.325497814093175,0.557613428531026
6,28.67021335257769,0.4880060903532325
7,29.964458357461826,0.42740762633172413
8,30.638758804868402,0.3766524880198879
9,30.862461016133775,0.3339735901962066
10,30.86523685503905,0.29744450388237065
11,30.77212959299347,0.2653719498216929
12,30.644235620481908,0.2364297618556298
13,30.476075614254043,0.20950818091372148
14,30.316077235260064,0.18354531722639983
15,30.13751895034729,0.15726763061807766
16,29.86114030684756,0.1288840953333614
17,29.403457670965196,0.0954189663719727
18,28.544753253519513,0.05120356709485667
19,27.287095186702867,0.006874522363360746
20,26.203328848390733,0.0
21,25.24385164668402,0.0
22,24.790465279249396,0.0
23,24.58030303935641,0.0
24,24.7520055062723,0.0
25,25.008479660413915,0.0
26,25.390365267157414,0.0
27,25.91689297175864,0.0
28,26.552391945456208,0.0
29,27.420110660697613,0.0
30,28.501991565911855,0.0
31,29.722738344675477,0.0
32,31.057415125779272,0.0
33,32.447033667928,0.0
34,33.69522054350601,0.0
35,34.72013170910277,0.0
36,35.348573202648204,0.0
37,35.51669512089218,0.0
38,35.26410382624065,0.0
39,34.71882348010848,0.0
40,34.078132516165006,0.0
41,33.27966524894785,0.0
42,32.473673066069026,0.0
43,31.756730057500718,0.0
44,31.115955269647642,0.0
45,30.535035887283723,0.0
46,30.20168781212398,0.0
47,30.1540862572117,0.0
48,30.186241779546187,0.0
49,30.31382219129592,0.0
50,30.539459467293007,0.0
51,30.915596550773593,0.0
52,31.438775460448838,0.0
53,32.17273061008077,0.0
54,33.15907222747482,0.0
55,34.33271842014217,0.0
56,35.61156492827956,0.0
57,36.93186648502893,0.0
58,38.27626721059295,0.0
59,39.65838935377984,0.0
60,40.93371010589251,0.0
61,41.971009312305284,0.0
62,42.64426345757006,0.0
63,43.066120541138154,0.0
64,43.21161002110883,0.0
65,43.040197799283455,0.0
66,42.48285976709822,0.0
67,41.6230513392,0.0
68,40.54941633964601,0.0
69,39.38984933682036,0.0
70,38.229546144841734,0.0
71,37.09946021497922,0.0
72,36.1722495337964,0.0
73,35.23216115508173,0.0
74,34.3677315006869,0.0
75,33.51347583081174,0.0
76,32.89855490451094,0.0
77,32.38138083738155,0.0
78,32.03404179919646,0.0
79,31.850056690712716,0.0
80,31.846974991448448,0.0
81,31.922434290544572,0.0
82,32.016299386802515,0.0
83,32.09427423527766,0.0
84,32.16876544193029,0.0
85,32.28455295583085,0.0
86,32.425684203716976,0.0
87,32.60885354408258,0.0
88,32.783309397054495,0.0
89,33.02261609766476,0.0
90,33.253809381092324,0.0
91,33.380531947083725,0.0
92,33.3731677253908,0.0
93,33.10585126880132,0.0
94,32.58934944591355,0.0
95,32.71574020987768,0.0
96,32.85848478013301,0.0
97,32.924221946401325,0.0
98,32.99151233073802,0.0
99,33.08136728282892,0.0
100,33.27260422727868,0.0
101,33.50767343054102,0.0
102,33.85911427017156,0.0
103,33.89541444263266,0.0
104,33.90456051048504,0.0
105,33.62854989407793,0.0
106,33.34384277559542,0.0
107,32.940777875749816,0.0
108,32.613190682463376,0.0
109,32.342359919117726,0.0
110,32.000430767009846,0.0
111,31.640684141513667,0.0
112,31.21315067152051,0.0
113,30.73808041497428,0.0
114,30.20719521909411,0.0
115,29.561729042901757,0.0
116,28.887584871953283,0.0
117,28.268076527834992,0.0
118,27.74207882330976,0.0
119,27.387119019472856,0.0
120,27.23105116977777,0.0
