step,total_activity,P_activity
1,3.8204706974329556,0.0
2,7.577951933296772,0.0
3,12.268685931945786,0.0
4,17.71875113091414,0.0
5,23.22778273764944,0.0
6,28.73061302128894,0.0
7,33.71784204867927,0.0
8,37.82617970517313,0.0
9,40.592521642233734,0.0
10,42.011691219078585,0.0
11,42.470807406570884,0.0
12,42.225706746076554,0.0
13,41.40850313768783,0.0
14,40.16509300917053,0.0
15,38.546805157146,0.0
16,36.971202871578534,0.0
17,35.61292834533685,0.0
18,34.28009919503385,0.0
19,33.184693961060105,0.0
20,32.310796869894084,0.0
21,31.39024548904877,0.0
22,30.875510489266496,0.0
23,30.726099017018143,0.0
24,30.61157795155162,0.0
25,31.101298764438738,0.0
26,31.702072905091377,0.0
27,32.32486301222444,0.0
28,32.89783875232045,0.0
29,33.40738008576729,0.0
30,33.66350049342243,0.0
31,33.715595076133894,0.0
32,33.45512831283527,0.0
33,32.978611059108815,0.0
34,32.247253875343944,0.0
35,31.242779088935386,0.0
36,29.997368652165076,0.0
37,28.674556126217652,0.0
38,27.382820643716723,0.0
39,26.12757760945981,0.0
40,24.941876969155174,0.0
41,23.903407237571663,0.0
42,22.97281652497802,0.0
43,22.15425509277138,0.0
44,21.520560164292284,0.0
45,21.06248566782103,0.0
46,20.7605492939567,0.0
47,20.76133327164642,0.0
48,21.062358571538713,0.0
49,21.555160632023544,0.0
50,22.17689362728149,0.0
51,22.84723419897769,0.0
52,23.508999597239963,0.0
53,24.146102792904564,0.0
54,24.723184621291725,0.0
55,25.24715046425776,0.0
56,25.729512481021093,0.0
57,26.143560954015015,0.0
58,26.61048190668492,0.0
59,27.198107819255252,0.0
60,27.87376168067079,0.0
61,28.62866127600963,0.0
62,29.5255355315711,0.0
63,30.578965706316524,0.0
64,31.778018280425687,0.0
65,33.09693042586088,0.0
66,34.53147580651343,0.0
67,36.12925156614564,0.0
68,37.827882808606944,0.0
69,39.51590009245087,0.0
70,41.32914636702383,0.0
71,42.970005442730795,0.0
72,44.42203148389319,0.0
73,45.62764090017015,0.0
74,46.46373033938067,0.0
75,46.93955236995207,0.0
76,47.021663094159884,0.0
77,46.635451981549124,0.0
78,45.91272941755635,0.0
79,45.05791949492259,0.0
80,44.29284365228984,0.0
81,43.68422089853934,0.0
82,43.330318162076885,0.0
83,43.27876944289714,0.0
84,43.462327733949465,0.0
85,43.80764243020384,0.0
86,44.15960838236266,0.0
87,44.39381206602317,0.0
88,44.40870601934391,0.0
89,44.08167241532735,0.0
90,43.35179981633178,0.0
91,42.43159995212476,0.0
92,41.22742910048325,0.0
93,39.92695791223554,0.0
94,38.66764372236694,0.0
95,37.69181244830304,0.0
96,36.989596126158304,0.0
97,36.453391004945026,0.0
98,36.09077997558455,0.0
99,35.92013967705497,0.0
100,35.83474558960107,0.0
101,35.820372292348665,0.0
102,35.82688957714696,0.0
103,35.80873214703982,0.0
104,35.71145451472729,0.0
105,35.801437669295424,0.0
106,36.11832426785088,0.0
107,36.383858619674655,0.0
108,36.47506072294704,0.0
109,36.469040194993894,0.0
110,36.39794344811594,0.0
111,36.2575902483097,0.0
112,36.135716720872395,0.0
113,36.06709859074918,0.0
114,35.995778579317005,0.0
115,35.85011741887658,0.0
116,35.89259899526546,0.0
117,36.02566689928656,0.0
118,36.26943990115928,0.0
119,36.63551342083523,0.0
120,37.04174280984306,0.0
