brain,checkpoint,mode,cue,P_peak_activity,P_cumulative_activity,P_final_activity,trial_similarity,experience_similarity,experience_strength_sum,experience_strength_mean,P_peak_gain_vs_local,P_cumulative_gain_vs_local
1,0,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,0,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0,0.0,0.0
1,0,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0,0.0,0.0
1,0,local,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,0,local,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0,0.0,0.0
1,0,local,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0,0.0,0.0
1,0,field,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,0,field,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0,0.0,0.0
1,0,field,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0,0.0,0.0
1,100,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,100,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0,0.0,0.0
1,100,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0,0.0,0.0
1,100,local,A,0.5563903988038051,35.57928942817559,0.3667351619563518,1.0,0.5016445781889286,0.0,0.0,0.0,0.0
1,100,local,F,0.5396672798344633,29.64376772117756,0.3806146220304353,1.0,0.6122531188484444,0.0,0.0,0.0,0.0
1,100,local,P,0.6521098432102737,25.628027143824703,0.25650186644458145,1.0000000000000002,0.0,0.0,0.0,0.0,0.0
1,100,field,A,0.5815737906005835,36.002227916631284,0.37348831523862447,1.0,0.846008451866786,250.34775305635924,1.04311563773483,0.02518339179677831,0.42293848845569215
