brain,checkpoint,mode,cue,P_peak_activity,P_cumulative_activity,P_final_activity,trial_similarity,experience_similarity,P_peak_gain_vs_local,P_cumulative_gain_vs_local
1,0,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,0,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,0,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,0,local,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,0,local,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,0,local,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,0,field,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,0,field,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,0,field,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,100,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,100,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,100,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,100,local,A,0.4835485851805658,19.12633194100025,0.0,1.0,0.5295827837134717,0.0,0.0
1,100,local,F,0.471543721957176,18.026131065698976,0.32401507490764614,1.0,0.523337305852428,0.0,0.0
1,100,local,P,0.6189702237570522,21.54408155008163,0.15751836349846682,0.9999999999999998,0.0,0.0,0.0
1,100,field,A,0.6096604692419435,14.85752041719984,0.40571859024159657,1.0000000000000002,0.9611282297685259,0.1261118840613777,-4.268811523800409
1,100,field,F,0.5998657206805258,13.194445477596878,0.4060383239078507,1.0000000000000002,0.9785174411223524,0.12832199872334982,-4.831685588102099
1,100,field,P,0.753466398023617,23.713229959932463,0.405728569847018,1.0,0.0,0.1344961742665648,2.169148409850834
1,200,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,200,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,200,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,200,local,A,0.4796892005976717,8.81138520412868,0.0,1.0,0.6852963635763442,0.0,0.0
1,200,local,F,0.4812064573296679,8.052555610148598,0.0,1.0,0.5073490364511297,0.0,0.0
1,200,local,P,0.630029992778082,12.207643027505206,0.2898266089810307,0.9999999999999998,0.0,0.0,0.0
1,200,field,A,0.009603954360414071,0.07789280736949586,0.0,1.0,0.8603955323936293,-0.47008524623725767,-8.733492396759184
1,200,field,F,0.6154911064283173,13.795308232743958,0.4077961533966084,0.9999999999999998,0.9808415875767582,0.1342846490986494,5.74275262259536
1,200,field,P,0.7718734723552254,28.057274120373457,0.40796922800599456,1.0,0.0,0.14184347957714338,15.84963109286825
1,300,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,300,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,300,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,300,local,A,0.0190233527538247,0.21145218092946597,0.0,1.0,0.5613202066313194,0.0,0.0
1,300,local,F,0.0,0.0,0.0,0.9999999999999998,0.35936744564699286,0.0,0.0
