brain,checkpoint,mode,cue,P_peak_activity,P_cumulative_activity,P_final_activity,trial_similarity,experience_similarity,P_peak_gain_vs_local,P_cumulative_gain_vs_local
1,0,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,0,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,0,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,0,local,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,0,local,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,0,local,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,0,field,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,0,field,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,0,field,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,100,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,100,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,100,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,100,local,A,0.4835485851805658,19.12633194100025,0.0,1.0,0.5295827837134717,0.0,0.0
1,100,local,F,0.471543721957176,18.026131065698976,0.32401507490764614,1.0,0.523337305852428,0.0,0.0
1,100,local,P,0.6189702237570522,21.54408155008163,0.15751836349846682,0.9999999999999998,0.0,0.0,0.0
1,100,field,A,0.6394976221715386,16.757453004842898,0.4381432811767708,1.0,0.97047784324448,0.1559490369909728,-2.3688789361573512
1,100,field,F,0.6224431969165857,14.100917280469286,0.4393615788009567,1.0,0.9820345438326773,0.1508994749594097,-3.9252137852296904
1,100,field,P,0.7740064200340199,23.188994056406887,0.4376831941075071,1.0,0.0,0.15503619627696763,1.6449125063252588
1,200,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,200,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,200,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,200,local,A,0.4796892005976717,8.81138520412868,0.0,1.0,0.6852963635763442,0.0,0.0
1,200,local,F,0.4812064573296679,8.052555610148598,0.0,1.0,0.5073490364511297,0.0,0.0
1,200,local,P,0.630029992778082,12.207643027505206,0.2898266089810307,0.9999999999999998,0.0,0.0,0.0
1,200,field,A,0.6373435140861279,15.16366595480927,0.43968067373313335,1.0,0.974860859599979,0.15765431348845615,6.35228075068059
1,200,field,F,0.6327021799882034,13.711883690326356,0.44077612266464705,1.0,0.9842103146173395,0.15149572265853556,5.659328080177758
1,200,field,P,0.8092043818957212,25.983933930433732,0.4387507503655055,1.0,0.0,0.17917438911763917,13.776290902928526
1,300,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,300,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,300,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,300,local,A,0.0190233527538247,0.21145218092946597,0.0,1.0,0.5613202066313194,0.0,0.0
1,300,local,F,0.0,0.0,0.0,0.9999999999999998,0.35936744564699286,0.0,0.0
